CustomerID,CustomerName,Gender,Age,City,State,Region,Country,Segment,SignupDate,LoyaltyTier,PreferredChannel,NewsletterOptIn,PostalCode,CustomerStatus
C0043,Customer 43,Male,59,Pune,Maharashtra,West,India,Small Business,2024-10-04,Gold,Referral,Yes,367096,Active
C0044,Customer 44,Female,44,Delhi,Delhi,North,India,Corporate,2023-01-04,Gold,Web,No,795613,Active
C0045,Customer 45,Male,63,Mumbai,Maharashtra,West,India,Corporate,2025-11-04,Silver,Referral,No,681344,Active
C0046,Customer 46,Male,64,Hyderabad,Telangana,South,India,Small Business,2025-05-11,Gold,Web,No,674554,Active
C0047,Customer 47,Female,48,Mumbai,Maharashtra,West,India,Small Business,2024-08-10,Bronze,Web,No,563247,Inactive
C0048,Customer 48,Male,31,Hyderabad,Telangana,South,India,Small Business,2025-11-12,Gold,Web,No,197924,Active
C0049,Customer 49,Female,30,Mumbai,Maharashtra,West,India,Consumer,2024-04-05,Gold,Phone,No,740968,Active
C0050,Customer 50,Female,65,Jaipur,Rajasthan,North,India,Corporate,2025-04-28,Silver,Referral,Yes,254740,Active
C0051,Customer 51,Female,32,Coimbatore,Tamil Nadu,South,India,Small Business,2025-05-20,Bronze,Referral,Yes,684483,Active
C0052,Customer 52,Female,50,Coimbatore,Tamil Nadu,South,India,Small Business,2025-07-23,Bronze,Web,No,742413,Inactive
C0053,Customer 53,Female,51,Kolkata,West Bengal,East,India,Corporate,2025-07-02,Silver,Phone,No,903014,Inactive
C0054,Customer 54,Male,25,Hyderabad,Telangana,South,India,Small Business,2024-07-16,Silver,Phone,No,452162,Active
C0055,Customer 55,Female,30,Kolkata,West Bengal,East,India,Consumer,2023-06-15,Silver,Phone,Yes,167349,Inactive
C0056,Customer 56,Male,47,Delhi,Delhi,North,India,Consumer,2024-11-08,Gold,Referral,No,907190,Active
C0057,Customer 57,Male,21,Bhubaneswar,Odisha,East,India,Corporate,2025-02-18,Silver,Referral,No,664366,Active
C0058,Customer 58,Male,48,Jaipur,Rajasthan,North,India,Corporate,2024-03-25,Gold,Referral,No,801365,Inactive
C0059,Customer 59,Female,60,Bengaluru,Karnataka,South,India,Small Business,2025-08-15,Gold,Referral,Yes,188026,Inactive
C0060,Customer 60,Female,24,Bengaluru,Karnataka,South,India,Corporate,2025-08-03,Silver,Web,Yes,576787,Active
C0061,Customer 61,Male,47,Pune,Maharashtra,West,India,Corporate,2025-02-15,Gold,Referral,Yes,885409,Active
C0062,Customer 62,Female,62,Pune,Maharashtra,West,India,Consumer,2024-04-04,Gold,Phone,Yes,979996,Active
C0063,Customer 63,Female,29,Bhubaneswar,Odisha,East,India,Corporate,2023-11-09,Bronze,Email,Yes,587624,Active
C0064,Customer 64,Female,31,Pune,Maharashtra,West,India,Corporate,2023-12-10,Gold,Email,No,703767,Inactive
C0065,Customer 65,Female,58,Delhi,Delhi,North,India,Small Business,2024-02-11,Bronze,Phone,Yes,831060,Active
C0066,Customer 66,Female,43,Bhubaneswar,Odisha,East,India,Small Business,2023-09-05,Silver,Web,Yes,630539,Active
C0067,Customer 67,Male,27,Chennai,Tamil Nadu,South,India,Corporate,2025-05-10,Silver,Referral,Yes,556642,Active
C0068,Customer 68,Male,50,Kolkata,West Bengal,East,India,Corporate,2024-07-07,Bronze,Web,No,993086,Active
C0069,Customer 69,Male,36,Coimbatore,Tamil Nadu,South,India,Corporate,2024-07-25,Bronze,Referral,No,130095,Inactive
C0070,Customer 70,Male,34,Pune,Maharashtra,West,India,Corporate,2024-01-08,Silver,Web,No,725114,Active
C0071,Customer 71,Female,26,Kolkata,West Bengal,East,India,Consumer,2023-01-21,Bronze,Referral,No,682145,Active
C0072,Customer 72,Male,22,Jaipur,Rajasthan,North,India,Consumer,2025-10-02,Silver,Phone,No,825392,Active
C0073,Customer 73,Male,51,Mumbai,Maharashtra,West,India,Small Business,2026-04-06,Bronze,Web,No,882170,Active
C0074,Customer 74,Male,40,Pune,Maharashtra,West,India,Corporate,2025-07-18,Gold,Email,Yes,430877,Active
C0075,Customer 75,Female,34,Kolkata,West Bengal,East,India,Small Business,2024-01-15,Silver,Web,No,205410,Active
C0076,Customer 76,Male,32,Mumbai,Maharashtra,West,India,Corporate,2024-04-10,Gold,Phone,No,147727,Active
C0077,Customer 77,Female,61,Kolkata,West Bengal,East,India,Corporate,2024-08-21,Gold,Email,No,592199,Inactive
C0078,Customer 78,Female,24,Jaipur,Rajasthan,North,India,Corporate,2024-11-28,Silver,Email,Yes,520173,Inactive
C0079,Customer 79,Female,30,Coimbatore,Tamil Nadu,South,India,Consumer,2026-03-27,Bronze,Web,Yes,360248,Active
C0080,Customer 80,Female,54,Kolkata,West Bengal,East,India,Corporate,2025-05-02,Silver,Referral,No,717114,Inactive
C0081,Customer 81,Female,60,Mumbai,Maharashtra,West,India,Small Business,2026-03-10,Gold,Phone,Yes,377502,Active
C0082,Customer 82,Female,56,Bengaluru,Karnataka,South,India,Consumer,2024-05-06,Gold,Email,No,572388,Inactive
C0083,Customer 83,Female,39,Mumbai,Maharashtra,West,India,Small Business,2023-03-08,Silver,Referral,Yes,820776,Active
C0084,Customer 84,Male,28,Mumbai,Maharashtra,West,India,Small Business,2024-02-10,Gold,Phone,No,966786,Active
C0085,Customer 85,Female,40,Coimbatore,Tamil Nadu,South,India,Small Business,2023-05-03,Bronze,Web,No,230395,Inactive
C0086,Customer 86,Male,53,Mumbai,Maharashtra,West,India,Small Business,2025-04-04,Silver,Referral,Yes,727087,Active
C0087,Customer 87,Male,22,Delhi,Delhi,North,India,Consumer,2024-10-22,Gold,Email,No,704239,Active
C0088,Customer 88,Male,38,Bengaluru,Karnataka,South,India,Consumer,2025-08-21,Bronze,Referral,No,195675,Inactive
C0089,Customer 89,Male,41,Pune,Maharashtra,West,India,Small Business,2025-04-16,Gold,Phone,No,531642,Inactive
C0090,Customer 90,Female,50,Mumbai,Maharashtra,West,India,Consumer,2025-03-31,Silver,Web,No,221553,Inactive
C0091,Customer 91,Male,47,Kolkata,West Bengal,East,India,Consumer,2023-01-03,Gold,Web,No,755789,Inactive
C0092,Customer 92,Male,56,Chennai,Tamil Nadu,South,India,Consumer,2024-02-21,Silver,Referral,No,227325,Active
C0093,Customer 93,Female,40,Bhubaneswar,Odisha,East,India,Small Business,2024-05-05,Gold,Referral,Yes,335616,Active
C0094,Customer 94,Female,52,Jaipur,Rajasthan,North,India,Small Business,2023-08-29,Silver,Web,No,975272,Inactive
C0095,Customer 95,Male,56,Jaipur,Rajasthan,North,India,Consumer,2024-05-14,Silver,Phone,Yes,173202,Active
C0096,Customer 96,Male,21,Delhi,Delhi,North,India,Corporate,2024-11-27,Bronze,Web,No,255814,Inactive
C0097,Customer 97,Male,42,Kolkata,West Bengal,East,India,Small Business,2025-09-18,Bronze,Referral,No,437409,Active
C0098,Customer 98,Male,35,Hyderabad,Telangana,South,India,Corporate,2026-03-17,Gold,Web,No,839486,Inactive
C0099,Customer 99,Male,23,Delhi,Delhi,North,India,Consumer,2023-11-08,Bronze,Web,Yes,986089,Inactive
C0100,Customer 100,Male,21,Coimbatore,Tamil Nadu,South,India,Small Business,2025-12-13,Gold,Referral,Yes,178464,Inactive
C0101,Customer 101,Male,62,Mumbai,Maharashtra,West,India,Consumer,2024-11-24,Silver,Referral,No,757247,Inactive
C0102,Customer 102,Female,36,Kolkata,West Bengal,East,India,Small Business,2023-03-15,Bronze,Web,Yes,883042,Active
C0103,Customer 103,Female,49,Delhi,Delhi,North,India,Consumer,2023-07-21,Bronze,Web,Yes,148226,Active
C0104,Customer 104,Male,44,Chennai,Tamil Nadu,South,India,Corporate,2024-08-23,Gold,Phone,No,693419,Active
C0105,Customer 105,Female,60,Bengaluru,Karnataka,South,India,Corporate,2023-12-25,Bronze,Phone,No,711485,Active
C0106,Customer 106,Male,50,Hyderabad,Telangana,South,India,Corporate,2025-08-02,Bronze,Email,No,401604,Active
C0107,Customer 107,Male,58,Coimbatore,Tamil Nadu,South,India,Corporate,2025-06-23,Bronze,Referral,No,579028,Active
C0108,Customer 108,Male,27,Hyderabad,Telangana,South,India,Consumer,2025-02-26,Silver,Web,No,833248,Active
C0109,Customer 109,Male,21,Chennai,Tamil Nadu,South,India,Small Business,2025-03-21,Bronze,Email,No,973295,Active
C0110,Customer 110,Female,61,Hyderabad,Telangana,South,India,Consumer,2024-12-22,Bronze,Web,Yes,758766,Active
C0111,Customer 111,Male,23,Chennai,Tamil Nadu,South,India,Small Business,2024-09-24,Silver,Phone,Yes,409446,Active
C0112,Customer 112,Female,29,Delhi,Delhi,North,India,Small Business,2023-12-26,Silver,Web,Yes,369453,Inactive
C0113,Customer 113,Female,50,Mumbai,Maharashtra,West,India,Consumer,2024-11-24,Gold,Phone,No,986828,Active
C0114,Customer 114,Female,37,Coimbatore,Tamil Nadu,South,India,Small Business,2025-03-19,Gold,Referral,No,805512,Active
C0115,Customer 115,Male,27,Bhubaneswar,Odisha,East,India,Small Business,2025-02-19,Gold,Referral,Yes,749642,Active
C0116,Customer 116,Female,61,Bhubaneswar,Odisha,East,India,Corporate,2024-03-29,Bronze,Web,No,222344,Active
C0117,Customer 117,Male,52,Chennai,Tamil Nadu,South,India,Consumer,2023-03-18,Gold,Phone,Yes,507525,Inactive
C0118,Customer 118,Male,58,Pune,Maharashtra,West,India,Small Business,2026-01-11,Bronze,Phone,No,786736,Active
C0119,Customer 119,Male,23,Jaipur,Rajasthan,North,India,Small Business,2025-04-15,Silver,Phone,No,566298,Active
C0120,Customer 120,Male,55,Pune,Maharashtra,West,India,Small Business,2023-07-23,Silver,Email,No,389283,Active
C0121,Customer 121,Female,63,Coimbatore,Tamil Nadu,South,India,Consumer,2025-07-20,Bronze,Email,Yes,925014,Active
C0122,Customer 122,Female,25,Hyderabad,Telangana,South,India,Small Business,2023-09-15,Gold,Phone,Yes,444520,Active
C0123,Customer 123,Male,30,Bhubaneswar,Odisha,East,India,Consumer,2023-01-06,Bronze,Web,Yes,215267,Active
C0124,Customer 124,Male,36,Bengaluru,Karnataka,South,India,Small Business,2023-01-31,Silver,Email,Yes,378259,Active
C0125,Customer 125,Female,25,Bengaluru,Karnataka,South,India,Corporate,2025-05-12,Silver,Web,Yes,573963,Active
C0126,Customer 126,Male,50,Bhubaneswar,Odisha,East,India,Small Business,2023-03-30,Gold,Email,No,988457,Inactive
C0127,Customer 127,Male,49,Delhi,Delhi,North,India,Consumer,2023-08-10,Gold,Web,Yes,168873,Active
C0128,Customer 128,Male,45,Mumbai,Maharashtra,West,India,Small Business,2026-04-13,Bronze,Web,No,630109,Inactive
C0129,Customer 129,Female,48,Coimbatore,Tamil Nadu,South,India,Corporate,2023-08-23,Gold,Referral,No,967612,Inactive
C0130,Customer 130,Female,41,Delhi,Delhi,North,India,Corporate,2025-05-01,Silver,Web,No,260054,Inactive
C0131,Customer 131,Female,26,Coimbatore,Tamil Nadu,South,India,Corporate,2023-07-06,Gold,Web,Yes,683398,Active
C0132,Customer 132,Male,63,Bhubaneswar,Odisha,East,India,Consumer,2026-02-24,Silver,Web,No,856087,Active
C0133,Customer 133,Male,27,Mumbai,Maharashtra,West,India,Small Business,2024-10-01,Bronze,Phone,Yes,788638,Inactive
C0134,Customer 134,Male,56,Hyderabad,Telangana,South,India,Corporate,2023-08-10,Gold,Web,Yes,946433,Inactive
C0135,Customer 135,Female,59,Kolkata,West Bengal,East,India,Small Business,2026-02-14,Bronze,Web,Yes,289180,Active
C0136,Customer 136,Male,21,Mumbai,Maharashtra,West,India,Consumer,2024-11-26,Gold,Referral,Yes,248767,Active
C0137,Customer 137,Female,45,Coimbatore,Tamil Nadu,South,India,Corporate,2025-12-22,Silver,Web,Yes,488029,Active
C0138,Customer 138,Female,24,Pune,Maharashtra,West,India,Consumer,2026-03-08,Gold,Email,Yes,385321,Inactive
C0139,Customer 139,Male,47,Delhi,Delhi,North,India,Corporate,2025-09-21,Gold,Email,No,550798,Active
C0140,Customer 140,Male,23,Mumbai,Maharashtra,West,India,Consumer,2025-09-23,Silver,Email,Yes,314354,Active
C0141,Customer 141,Male,39,Hyderabad,Telangana,South,India,Corporate,2023-10-09,Gold,Email,No,883302,Inactive
C0142,Customer 142,Male,55,Bengaluru,Karnataka,South,India,Small Business,2023-09-22,Gold,Web,Yes,516360,Active
C0143,Customer 143,Male,25,Delhi,Delhi,North,India,Corporate,2023-02-08,Bronze,Referral,No,843964,Inactive
C0144,Customer 144,Male,22,Mumbai,Maharashtra,West,India,Corporate,2023-08-24,Gold,Referral,No,192411,Inactive
C0145,Customer 145,Male,58,Coimbatore,Tamil Nadu,South,India,Corporate,2024-05-13,Bronze,Email,No,425347,Active
C0146,Customer 146,Female,25,Hyderabad,Telangana,South,India,Small Business,2024-11-13,Bronze,Email,Yes,913935,Active
C0147,Customer 147,Female,27,Pune,Maharashtra,West,India,Consumer,2023-10-30,Silver,Phone,Yes,731662,Active
C0148,Customer 148,Male,50,Coimbatore,Tamil Nadu,South,India,Small Business,2023-12-29,Bronze,Referral,No,757686,Active
C0149,Customer 149,Female,51,Bengaluru,Karnataka,South,India,Corporate,2025-06-19,Bronze,Web,No,720149,Active
C0150,Customer 150,Female,40,Pune,Maharashtra,West,India,Corporate,2025-11-05,Silver,Email,Yes,486650,Active
C0151,Customer 151,Male,50,Coimbatore,Tamil Nadu,South,India,Small Business,2023-07-04,Bronze,Email,No,949154,Active
C0152,Customer 152,Female,24,Pune,Maharashtra,West,India,Corporate,2025-09-01,Gold,Web,Yes,629058,Active
C0153,Customer 153,Male,49,Chennai,Tamil Nadu,South,India,Small Business,2024-05-22,Bronze,Phone,No,490964,Active
C0154,Customer 154,Male,64,Delhi,Delhi,North,India,Small Business,2025-04-17,Gold,Web,Yes,445706,Active
C0155,Customer 155,Male,37,Kolkata,West Bengal,East,India,Small Business,2025-03-02,Bronze,Phone,No,185462,Active
C0156,Customer 156,Male,29,Pune,Maharashtra,West,India,Small Business,2024-09-27,Bronze,Email,No,686073,Inactive
C0157,Customer 157,Female,62,Pune,Maharashtra,West,India,Small Business,2023-09-19,Silver,Web,Yes,480212,Active
C0158,Customer 158,Male,52,Bengaluru,Karnataka,South,India,Consumer,2024-03-14,Gold,Phone,Yes,180914,Active
C0159,Customer 159,Female,63,Coimbatore,Tamil Nadu,South,India,Corporate,2025-11-05,Bronze,Phone,No,261746,Active
C0160,Customer 160,Male,23,Bengaluru,Karnataka,South,India,Corporate,2023-12-06,Silver,Phone,No,740256,Active
C0161,Customer 161,Female,40,Jaipur,Rajasthan,North,India,Corporate,2024-04-24,Gold,Web,No,584107,Active
C0162,Customer 162,Male,31,Delhi,Delhi,North,India,Consumer,2025-10-26,Bronze,Phone,No,154715,Inactive
C0163,Customer 163,Female,54,Pune,Maharashtra,West,India,Consumer,2026-02-09,Silver,Email,Yes,386043,Inactive
C0164,Customer 164,Male,26,Kolkata,West Bengal,East,India,Consumer,2023-10-29,Silver,Web,Yes,535051,Active
C0165,Customer 165,Male,36,Delhi,Delhi,North,India,Corporate,2025-10-25,Gold,Web,Yes,129557,Active
C0166,Customer 166,Female,29,Coimbatore,Tamil Nadu,South,India,Consumer,2024-11-17,Silver,Referral,Yes,895703,Inactive
C0167,Customer 167,Female,22,Jaipur,Rajasthan,North,India,Corporate,2023-01-11,Gold,Phone,No,216588,Active
C0168,Customer 168,Female,24,Hyderabad,Telangana,South,India,Consumer,2024-09-08,Silver,Referral,Yes,216243,Inactive
C0169,Customer 169,Female,61,Bhubaneswar,Odisha,East,India,Small Business,2026-01-02,Bronze,Phone,Yes,405421,Inactive
C0170,Customer 170,Female,57,Chennai,Tamil Nadu,South,India,Corporate,2024-12-23,Gold,Email,No,170967,Active
C0171,Customer 171,Female,61,Delhi,Delhi,North,India,Corporate,2025-08-20,Silver,Web,Yes,474441,Active
C0172,Customer 172,Female,58,Pune,Maharashtra,West,India,Small Business,2024-05-08,Silver,Phone,Yes,469413,Active
C0173,Customer 173,Male,61,Bengaluru,Karnataka,South,India,Consumer,2025-08-09,Gold,Email,No,138781,Active
C0174,Customer 174,Female,23,Hyderabad,Telangana,South,India,Corporate,2023-03-31,Silver,Referral,No,365619,Active
C0175,Customer 175,Male,24,Hyderabad,Telangana,South,India,Small Business,2024-08-08,Silver,Web,Yes,938172,Active
C0176,Customer 176,Male,45,Delhi,Delhi,North,India,Corporate,2025-03-30,Gold,Referral,No,485192,Active
C0177,Customer 177,Female,48,Coimbatore,Tamil Nadu,South,India,Small Business,2025-05-19,Gold,Web,No,207582,Active
C0178,Customer 178,Male,49,Pune,Maharashtra,West,India,Small Business,2024-08-28,Bronze,Referral,Yes,823271,Inactive
C0179,Customer 179,Female,43,Pune,Maharashtra,West,India,Small Business,2025-07-04,Silver,Web,Yes,178687,Inactive
C0180,Customer 180,Female,22,Pune,Maharashtra,West,India,Consumer,2025-11-16,Bronze,Referral,Yes,232362,Active
C0181,Customer 181,Male,45,Hyderabad,Telangana,South,India,Small Business,2025-01-20,Gold,Phone,No,488985,Active
C0182,Customer 182,Female,54,Jaipur,Rajasthan,North,India,Corporate,2023-06-07,Silver,Web,No,361737,Active
C0183,Customer 183,Male,54,Chennai,Tamil Nadu,South,India,Corporate,2024-01-17,Bronze,Email,No,912610,Active
C0184,Customer 184,Male,65,Jaipur,Rajasthan,North,India,Corporate,2024-03-15,Gold,Email,Yes,994254,Active
C0185,Customer 185,Male,26,Jaipur,Rajasthan,North,India,Small Business,2023-12-20,Silver,Web,Yes,676714,Active
C0186,Customer 186,Female,44,Mumbai,Maharashtra,West,India,Small Business,2023-11-19,Gold,Email,Yes,930542,Active
C0187,Customer 187,Female,44,Hyderabad,Telangana,South,India,Small Business,2025-10-08,Bronze,Web,No,942701,Active
C0188,Customer 188,Female,40,Bhubaneswar,Odisha,East,India,Corporate,2023-06-26,Bronze,Referral,No,906528,Inactive
C0189,Customer 189,Female,41,Bhubaneswar,Odisha,East,India,Small Business,2023-06-01,Gold,Referral,No,813146,Active
C0190,Customer 190,Female,29,Bengaluru,Karnataka,South,India,Corporate,2026-02-03,Bronze,Email,Yes,643270,Active
C0191,Customer 191,Female,41,Mumbai,Maharashtra,West,India,Small Business,2023-12-04,Gold,Web,No,987026,Active
C0192,Customer 192,Male,29,Mumbai,Maharashtra,West,India,Small Business,2024-02-07,Silver,Email,Yes,720557,Active
C0193,Customer 193,Female,22,Bengaluru,Karnataka,South,India,Consumer,2024-11-22,Gold,Web,Yes,904215,Inactive
C0194,Customer 194,Male,61,Bhubaneswar,Odisha,East,India,Small Business,2023-03-04,Silver,Web,No,356774,Inactive
C0195,Customer 195,Female,65,Mumbai,Maharashtra,West,India,Consumer,2025-07-17,Gold,Referral,No,607775,Inactive
C0196,Customer 196,Female,41,Hyderabad,Telangana,South,India,Small Business,2024-11-27,Silver,Web,No,237119,Active
C0197,Customer 197,Female,41,Kolkata,West Bengal,East,India,Consumer,2026-02-24,Silver,Email,No,571436,Active
C0198,Customer 198,Female,39,Bengaluru,Karnataka,South,India,Corporate,2023-07-18,Bronze,Referral,Yes,267458,Active
C0199,Customer 199,Female,31,Bhubaneswar,Odisha,East,India,Corporate,2024-10-02,Bronze,Referral,No,423529,Inactive
C0200,Customer 200,Male,53,Chennai,Tamil Nadu,South,India,Corporate,2023-07-04,Gold,Phone,No,151022,Active
C0201,Customer 201,Male,39,Mumbai,Maharashtra,West,India,Small Business,2025-10-10,Gold,Email,No,240441,Active
C0202,Customer 202,Male,23,Pune,Maharashtra,West,India,Corporate,2025-04-05,Gold,Phone,No,680097,Active
C0203,Customer 203,Male,56,Coimbatore,Tamil Nadu,South,India,Corporate,2025-03-02,Bronze,Email,Yes,201378,Inactive
C0204,Customer 204,Male,30,Pune,Maharashtra,West,India,Consumer,2024-11-25,Bronze,Referral,Yes,147505,Active
C0205,Customer 205,Male,54,Bengaluru,Karnataka,South,India,Corporate,2024-11-13,Gold,Phone,No,742849,Active
C0206,Customer 206,Male,58,Bengaluru,Karnataka,South,India,Corporate,2025-03-15,Bronze,Referral,No,597961,Active
C0207,Customer 207,Female,47,Pune,Maharashtra,West,India,Small Business,2024-11-09,Silver,Email,No,378429,Active
C0208,Customer 208,Male,31,Chennai,Tamil Nadu,South,India,Small Business,2026-04-10,Bronze,Referral,Yes,961575,Active
C0209,Customer 209,Female,33,Chennai,Tamil Nadu,South,India,Consumer,2026-03-18,Silver,Web,No,258788,Inactive
C0210,Customer 210,Male,24,Hyderabad,Telangana,South,India,Small Business,2025-04-20,Gold,Phone,No,794396,Inactive
C0211,Customer 211,Male,32,Kolkata,West Bengal,East,India,Corporate,2025-02-10,Bronze,Web,No,808700,Active
C0212,Customer 212,Female,36,Bhubaneswar,Odisha,East,India,Corporate,2025-09-18,Bronze,Web,Yes,412072,Active
C0213,Customer 213,Male,51,Hyderabad,Telangana,South,India,Corporate,2025-09-28,Bronze,Web,No,227795,Inactive
C0214,Customer 214,Female,39,Delhi,Delhi,North,India,Consumer,2024-12-07,Silver,Email,No,563865,Active
C0215,Customer 215,Female,55,Jaipur,Rajasthan,North,India,Corporate,2024-03-14,Bronze,Web,Yes,214533,Active
C0216,Customer 216,Female,61,Hyderabad,Telangana,South,India,Consumer,2023-04-14,Gold,Email,No,446338,Inactive
C0217,Customer 217,Female,56,Coimbatore,Tamil Nadu,South,India,Consumer,2023-10-09,Silver,Referral,No,782140,Active
C0218,Customer 218,Male,62,Mumbai,Maharashtra,West,India,Consumer,2024-10-19,Gold,Phone,Yes,283569,Inactive
C0219,Customer 219,Male,52,Bengaluru,Karnataka,South,India,Consumer,2023-03-16,Bronze,Web,Yes,109718,Active
C0220,Customer 220,Male,39,Bhubaneswar,Odisha,East,India,Corporate,2023-08-08,Bronze,Referral,Yes,992401,Inactive
C0221,Customer 221,Female,42,Mumbai,Maharashtra,West,India,Consumer,2024-01-30,Bronze,Referral,No,853505,Active
C0222,Customer 222,Male,57,Chennai,Tamil Nadu,South,India,Small Business,2024-11-21,Gold,Phone,No,967162,Inactive
C0223,Customer 223,Female,46,Kolkata,West Bengal,East,India,Small Business,2024-11-02,Gold,Phone,Yes,600647,Active
C0224,Customer 224,Male,45,Hyderabad,Telangana,South,India,Consumer,2023-01-14,Silver,Web,No,416614,Active
C0225,Customer 225,Female,24,Mumbai,Maharashtra,West,India,Small Business,2025-01-06,Gold,Referral,No,267476,Inactive
C0226,Customer 226,Female,61,Kolkata,West Bengal,East,India,Corporate,2024-09-28,Silver,Phone,Yes,240058,Inactive
