ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost,ProductClass,Supplier,StockQty,ReorderLevel,OnlineOnly,PackageSize,WarrantyMonths,ProductStatus
P0025,Apex Notebook 25,Office Supplies,Notebook,Nimbus,5475.01,4250.62,Standard,Supplier A,15,18,No,Large,12,Active
P0026,Vertex Mobile 26,Electronics,Mobile,Nova,4794.58,4009.85,Standard,Supplier C,170,4,Yes,Small,34,Active
P0027,Pulse Folder 27,Office Supplies,Folder,Orbit,30155.79,19730.96,Standard,Supplier D,96,23,Yes,Medium,5,Discontinued
P0028,Orbit Vacuum 28,Appliances,Vacuum,Zenith,11125.44,7424.29,Economy,Supplier C,87,23,No,Medium,13,Active
P0029,Vertex Yoga Mat 29,Sports,Yoga Mat,Pulse,17591.42,11278.65,Standard,Supplier D,192,5,Yes,Large,26,Active
P0030,Nimbus Notebook 30,Office Supplies,Notebook,Orbit,23399.49,16484.57,Economy,Supplier D,201,17,Yes,Large,21,Active
P0031,Apex Iron 31,Appliances,Iron,Nova,3998.74,2832.77,Standard,Supplier B,228,1,Yes,Small,34,Active
P0032,Pulse Laptop 32,Electronics,Laptop,Prime,22439.63,14309.62,Standard,Supplier C,61,19,Yes,Small,16,Discontinued
P0033,Nimbus Monitor 33,Electronics,Monitor,Vertex,23655.89,20041.42,Economy,Supplier A,215,19,No,Large,5,Active
P0034,Apex Notebook 34,Office Supplies,Notebook,Apex,38506.75,23619.52,Economy,Supplier B,141,12,Yes,Small,36,Active
P0035,Apex Yoga Mat 35,Sports,Yoga Mat,Vertex,20001.15,13995.91,Economy,Supplier D,184,21,No,Small,13,Active
P0036,Pulse Racket 36,Sports,Racket,Vertex,18716.65,12656.94,Premium,Supplier C,221,11,No,Large,30,Active
P0037,Prime Yoga Mat 37,Sports,Yoga Mat,Vertex,17740.25,14113.57,Premium,Supplier D,250,12,Yes,Large,5,Active
P0038,Prime Shoes 38,Sports,Shoes,Nova,21372.32,12978.83,Premium,Supplier B,59,27,No,Small,20,Active
P0039,Prime Laptop 39,Electronics,Laptop,Vertex,14186.99,11552.42,Economy,Supplier B,64,8,No,Small,28,Active
P0040,Apex Headphones 40,Electronics,Headphones,Prime,24530.17,19839.17,Standard,Supplier D,25,24,Yes,Medium,25,Discontinued
P0041,Nova Mixer 41,Appliances,Mixer,Nimbus,27484.47,21755.08,Standard,Supplier C,139,1,No,Large,12,Active
P0042,Nimbus Yoga Mat 42,Sports,Yoga Mat,Pulse,5795.14,3897.68,Economy,Supplier A,61,13,No,Medium,12,Active
P0043,Nimbus Notebook 43,Office Supplies,Notebook,Prime,18177.94,11938.3,Standard,Supplier D,133,13,Yes,Small,33,Active
P0044,Orbit Kettle 44,Appliances,Kettle,Orbit,20385.68,16334.03,Standard,Supplier C,203,13,No,Large,8,Active
P0045,Vertex Kettle 45,Appliances,Kettle,Nova,11434.42,9182.47,Premium,Supplier B,94,19,No,Large,12,Discontinued
P0046,Apex Mobile 46,Electronics,Mobile,Apex,6759.63,5056.16,Economy,Supplier A,67,30,Yes,Medium,3,Active
P0047,Orbit Headphones 47,Electronics,Headphones,Orbit,13118.34,11295.53,Standard,Supplier C,145,15,Yes,Large,4,Discontinued
P0048,Prime Bottle 48,Sports,Bottle,Orbit,1437.19,1163.57,Economy,Supplier C,18,14,Yes,Small,27,Active
P0049,Nimbus Notebook 49,Office Supplies,Notebook,Orbit,879.64,555.43,Premium,Supplier A,236,10,No,Large,8,Active
P0050,Nova Cabinet 50,Furniture,Cabinet,Nova,34574.9,24172.44,Standard,Supplier C,90,15,No,Large,13,Active
P0051,Prime Paper 51,Office Supplies,Paper,Nova,11627.22,8936.02,Economy,Supplier C,229,12,Yes,Large,20,Active
P0052,Apex Bookshelf 52,Furniture,Bookshelf,Nimbus,33173.24,22437.61,Economy,Supplier B,111,7,Yes,Medium,22,Active
P0053,Orbit Vacuum 53,Appliances,Vacuum,Zenith,4965.7,3363.76,Premium,Supplier B,115,29,Yes,Large,13,Active
P0054,Zenith Keyboard 54,Electronics,Keyboard,Vertex,20171.98,13361.4,Standard,Supplier A,200,10,No,Medium,22,Discontinued
P0055,Zenith Pen 55,Office Supplies,Pen,Nova,23460.45,19495.37,Economy,Supplier C,160,18,Yes,Large,17,Active
P0056,Zenith Headphones 56,Electronics,Headphones,Pulse,3173.04,2060.53,Economy,Supplier C,52,27,No,Medium,33,Active
P0057,Nova Desk 57,Furniture,Desk,Prime,7744.83,5718.72,Premium,Supplier B,195,21,Yes,Small,7,Active
P0058,Pulse Vacuum 58,Appliances,Vacuum,Orbit,16129.17,12289.38,Premium,Supplier D,203,1,No,Large,23,Discontinued
P0059,Nova Bottle 59,Sports,Bottle,Apex,21016.38,14877.64,Premium,Supplier D,216,28,Yes,Small,36,Discontinued
P0060,Nova Keyboard 60,Electronics,Keyboard,Orbit,14918.06,9733.95,Premium,Supplier D,106,28,No,Medium,32,Active
P0061,Zenith Iron 61,Appliances,Iron,Pulse,18082.11,15359.31,Economy,Supplier D,28,23,Yes,Small,11,Discontinued
P0062,Orbit Iron 62,Appliances,Iron,Pulse,14025.59,11316.08,Standard,Supplier C,87,22,Yes,Large,10,Active
P0063,Nimbus Monitor 63,Electronics,Monitor,Zenith,18940.62,15881.08,Premium,Supplier D,16,24,Yes,Medium,12,Active
P0064,Prime Desk 64,Furniture,Desk,Prime,22628.3,19247.39,Economy,Supplier D,78,20,Yes,Small,11,Active
P0065,Pulse Keyboard 65,Electronics,Keyboard,Pulse,22143.62,19153.66,Economy,Supplier A,160,28,No,Small,16,Discontinued
P0066,Nova Kettle 66,Appliances,Kettle,Orbit,16089.47,11091.53,Economy,Supplier C,163,20,Yes,Small,14,Active
P0067,Prime Headphones 67,Electronics,Headphones,Vertex,1569.17,995.09,Standard,Supplier A,32,13,Yes,Small,21,Active
P0068,Prime Vacuum 68,Appliances,Vacuum,Vertex,10576.57,9055.9,Premium,Supplier D,214,2,No,Large,7,Active
P0069,Vertex Fan 69,Appliances,Fan,Nimbus,4929.97,3120.82,Economy,Supplier B,183,6,Yes,Small,36,Active
P0070,Prime Vacuum 70,Appliances,Vacuum,Nimbus,38371.54,23352.58,Economy,Supplier C,71,16,No,Small,34,Discontinued
P0071,Prime Fan 71,Appliances,Fan,Orbit,27987.71,22100.9,Standard,Supplier A,11,14,Yes,Large,16,Discontinued
P0072,Orbit Mixer 72,Appliances,Mixer,Nova,12011.03,8398.1,Economy,Supplier B,181,9,No,Small,22,Active
P0073,Vertex Bottle 73,Sports,Bottle,Vertex,9400.0,8152.18,Premium,Supplier A,218,5,Yes,Medium,24,Discontinued
P0074,Pulse Mixer 74,Appliances,Mixer,Vertex,22487.9,16169.65,Premium,Supplier D,242,23,Yes,Large,22,Active
P0075,Vertex Bottle 75,Sports,Bottle,Vertex,786.19,546.46,Standard,Supplier B,76,26,Yes,Medium,27,Active
P0076,Prime Bottle 76,Sports,Bottle,Vertex,14169.05,9787.99,Economy,Supplier A,74,13,Yes,Medium,18,Active
P0077,Apex Iron 77,Appliances,Iron,Vertex,7112.41,5466.21,Standard,Supplier B,238,2,No,Large,4,Discontinued
P0078,Prime Yoga Mat 78,Sports,Yoga Mat,Vertex,7769.09,4820.08,Standard,Supplier A,215,30,Yes,Small,5,Discontinued
P0079,Nova Vacuum 79,Appliances,Vacuum,Apex,3872.91,2966.63,Premium,Supplier D,232,1,Yes,Large,22,Active
P0080,Orbit Dumbbell 80,Sports,Dumbbell,Orbit,20078.97,16000.16,Premium,Supplier C,141,10,No,Large,10,Active
P0081,Apex Desk 81,Furniture,Desk,Orbit,7986.51,6899.03,Economy,Supplier C,145,10,No,Small,21,Active
P0082,Pulse Chair 82,Furniture,Chair,Nova,12512.84,7839.53,Standard,Supplier A,125,28,Yes,Small,27,Active
P0083,Pulse Monitor 83,Electronics,Monitor,Vertex,14792.88,9846.57,Premium,Supplier C,214,6,Yes,Medium,11,Active
P0084,Pulse Mixer 84,Appliances,Mixer,Pulse,17061.01,11433.16,Standard,Supplier B,41,27,No,Medium,28,Active
P0085,Pulse Paper 85,Office Supplies,Paper,Apex,13254.32,11375.81,Premium,Supplier D,123,27,Yes,Medium,25,Active
P0086,Apex Shoes 86,Sports,Shoes,Vertex,15357.25,10189.69,Economy,Supplier A,207,9,No,Medium,29,Active
P0087,Nimbus Yoga Mat 87,Sports,Yoga Mat,Apex,22483.27,13734.89,Premium,Supplier B,213,22,No,Medium,24,Active
P0088,Pulse Chair 88,Furniture,Chair,Apex,27867.73,18505.03,Economy,Supplier D,88,17,Yes,Medium,14,Active
P0089,Nimbus Mixer 89,Appliances,Mixer,Vertex,22374.33,14988.62,Premium,Supplier A,28,6,Yes,Large,3,Active
P0090,Pulse Sofa 90,Furniture,Sofa,Orbit,17913.81,13318.9,Standard,Supplier C,81,18,No,Medium,25,Active
P0091,Zenith Shoes 91,Sports,Shoes,Prime,21525.53,15318.35,Standard,Supplier C,235,17,Yes,Small,25,Active
P0092,Nimbus Notebook 92,Office Supplies,Notebook,Vertex,8919.92,5942.21,Economy,Supplier D,108,12,No,Large,16,Active
P0093,Vertex Fan 93,Appliances,Fan,Nimbus,6403.58,4770.61,Standard,Supplier C,228,21,Yes,Small,3,Active
P0094,Nimbus Mobile 94,Electronics,Mobile,Zenith,25158.02,18055.77,Standard,Supplier B,169,25,No,Medium,30,Active
P0095,Nimbus Vacuum 95,Appliances,Vacuum,Vertex,16613.12,10649.19,Standard,Supplier B,113,19,Yes,Large,34,Active
P0096,Vertex Dumbbell 96,Sports,Dumbbell,Nova,14683.49,10318.08,Standard,Supplier D,185,11,Yes,Large,33,Active
P0097,Prime Cabinet 97,Furniture,Cabinet,Pulse,40374.0,24590.79,Economy,Supplier A,138,28,Yes,Small,33,Active
P0098,Vertex Bottle 98,Sports,Bottle,Nova,9255.21,7867.49,Premium,Supplier D,136,28,No,Large,24,Discontinued
P0099,Prime Paper 99,Office Supplies,Paper,Prime,8508.84,7287.07,Standard,Supplier D,153,5,Yes,Large,21,Active
P0100,Prime Stapler 100,Office Supplies,Stapler,Prime,2996.59,2136.15,Standard,Supplier C,75,27,No,Small,10,Active
P0101,Zenith Yoga Mat 101,Sports,Yoga Mat,Prime,22033.8,16506.16,Economy,Supplier B,129,5,Yes,Medium,8,Active
P0102,Nimbus Yoga Mat 102,Sports,Yoga Mat,Nimbus,31982.79,20953.35,Standard,Supplier D,190,20,Yes,Small,25,Active
P0103,Pulse Notebook 103,Office Supplies,Notebook,Prime,1919.44,1388.88,Premium,Supplier B,102,21,No,Medium,19,Active
P0104,Pulse Racket 104,Sports,Racket,Nimbus,606.12,375.63,Economy,Supplier C,140,21,Yes,Small,25,Discontinued
P0105,Apex Dumbbell 105,Sports,Dumbbell,Prime,10816.93,8427.39,Economy,Supplier D,123,24,Yes,Large,15,Active
P0106,Apex Bookshelf 106,Furniture,Bookshelf,Nova,20403.08,13726.5,Premium,Supplier A,139,3,No,Medium,17,Active
P0107,Nova Pen 107,Office Supplies,Pen,Orbit,1355.07,928.32,Economy,Supplier A,186,30,Yes,Small,11,Discontinued
P0108,Prime Yoga Mat 108,Sports,Yoga Mat,Prime,33563.84,22408.36,Premium,Supplier A,168,14,No,Medium,23,Active
P0109,Nimbus Chair 109,Furniture,Chair,Vertex,8256.54,6990.0,Standard,Supplier C,249,26,No,Small,31,Active
P0110,Pulse Fan 110,Appliances,Fan,Apex,18946.1,15288.72,Standard,Supplier D,60,19,Yes,Medium,19,Active
P0111,Pulse Laptop 111,Electronics,Laptop,Nova,2777.29,1834.68,Premium,Supplier B,172,20,Yes,Small,27,Active
P0112,Pulse Bookshelf 112,Furniture,Bookshelf,Pulse,32516.59,22623.07,Premium,Supplier D,221,23,Yes,Large,17,Active
P0113,Vertex Kettle 113,Appliances,Kettle,Vertex,4395.27,3100.39,Economy,Supplier C,107,1,Yes,Medium,24,Active
P0114,Nova Iron 114,Appliances,Iron,Nimbus,20089.08,16222.99,Economy,Supplier B,81,22,No,Small,25,Discontinued
P0115,Orbit Monitor 115,Electronics,Monitor,Nova,22452.7,18404.28,Economy,Supplier B,130,12,Yes,Large,22,Discontinued
P0116,Vertex Racket 116,Sports,Racket,Nova,27990.48,24167.03,Premium,Supplier A,108,3,Yes,Large,36,Discontinued
P0117,Apex Yoga Mat 117,Sports,Yoga Mat,Nova,23489.64,18547.0,Economy,Supplier B,130,20,Yes,Medium,5,Active
P0118,Prime Chair 118,Furniture,Chair,Apex,5137.54,4372.45,Premium,Supplier B,218,18,Yes,Small,10,Discontinued
P0119,Nimbus Bottle 119,Sports,Bottle,Vertex,8656.26,5576.67,Economy,Supplier D,88,3,Yes,Medium,16,Active
P0120,Zenith Yoga Mat 120,Sports,Yoga Mat,Nimbus,10216.45,8440.75,Standard,Supplier C,146,5,No,Small,5,Active
P0121,Pulse Keyboard 121,Electronics,Keyboard,Apex,11616.81,9453.19,Standard,Supplier A,50,29,Yes,Large,21,Discontinued
P0122,Pulse Fan 122,Appliances,Fan,Nimbus,7669.29,5217.51,Standard,Supplier B,161,22,Yes,Large,14,Discontinued
P0123,Vertex Shoes 123,Sports,Shoes,Nimbus,24213.1,15709.62,Standard,Supplier B,54,3,Yes,Large,26,Active
P0124,Zenith Fan 124,Appliances,Fan,Pulse,8688.8,6968.55,Premium,Supplier B,45,21,Yes,Small,26,Active
P0125,Pulse Sofa 125,Furniture,Sofa,Nova,9252.78,6344.43,Standard,Supplier A,241,17,Yes,Small,4,Discontinued
P0126,Pulse Shoes 126,Sports,Shoes,Vertex,2339.85,1845.82,Premium,Supplier B,196,21,No,Small,10,Active
P0127,Orbit Chair 127,Furniture,Chair,Nimbus,8122.85,5988.99,Standard,Supplier A,125,18,No,Small,30,Active
P0128,Zenith Cabinet 128,Furniture,Cabinet,Pulse,15342.47,11418.37,Economy,Supplier B,166,11,No,Small,24,Active
P0129,Pulse Keyboard 129,Electronics,Keyboard,Pulse,1908.41,1566.52,Premium,Supplier B,199,10,Yes,Medium,13,Active
P0130,Pulse Bottle 130,Sports,Bottle,Orbit,25519.41,21386.7,Economy,Supplier D,219,14,No,Small,30,Active
P0131,Zenith Bookshelf 131,Furniture,Bookshelf,Nova,13748.98,10901.48,Premium,Supplier A,15,15,Yes,Medium,36,Discontinued
P0132,Nova Mixer 132,Appliances,Mixer,Nimbus,14423.55,11354.84,Standard,Supplier B,96,9,Yes,Large,8,Active
P0133,Nova Iron 133,Appliances,Iron,Pulse,5673.26,4112.13,Premium,Supplier B,228,22,No,Small,26,Discontinued
P0134,Nova Laptop 134,Electronics,Laptop,Prime,14462.06,9671.19,Premium,Supplier C,183,30,Yes,Large,8,Active
P0135,Nova Keyboard 135,Electronics,Keyboard,Apex,35156.58,23637.43,Premium,Supplier C,124,19,Yes,Medium,26,Active
P0136,Zenith Shoes 136,Sports,Shoes,Vertex,21598.15,14054.09,Standard,Supplier A,171,15,Yes,Large,17,Active
P0137,Nova Paper 137,Office Supplies,Paper,Apex,17193.75,12628.86,Premium,Supplier C,120,15,Yes,Medium,21,Discontinued
P0138,Apex Dumbbell 138,Sports,Dumbbell,Orbit,32475.72,20013.6,Premium,Supplier A,25,12,Yes,Medium,7,Active
P0139,Zenith Bookshelf 139,Furniture,Bookshelf,Orbit,3514.83,2871.65,Economy,Supplier A,80,13,Yes,Medium,25,Discontinued
P0140,Orbit Mixer 140,Appliances,Mixer,Vertex,8677.46,7344.6,Premium,Supplier C,172,20,No,Medium,36,Discontinued
P0141,Prime Iron 141,Appliances,Iron,Zenith,22733.24,14215.91,Premium,Supplier B,128,11,No,Small,12,Active
P0142,Zenith Stapler 142,Office Supplies,Stapler,Prime,34890.55,23908.85,Standard,Supplier B,219,22,Yes,Small,18,Active
P0143,Vertex Headphones 143,Electronics,Headphones,Zenith,19730.52,14397.17,Standard,Supplier A,175,10,No,Small,26,Discontinued
P0144,Nova Yoga Mat 144,Sports,Yoga Mat,Nimbus,16197.81,13378.38,Premium,Supplier B,247,14,No,Small,3,Active
P0145,Zenith Stapler 145,Office Supplies,Stapler,Pulse,36632.27,22407.76,Premium,Supplier A,192,15,Yes,Small,10,Active
P0146,Vertex Monitor 146,Electronics,Monitor,Apex,19493.32,15468.65,Premium,Supplier A,160,20,Yes,Large,36,Active
P0147,Pulse Pen 147,Office Supplies,Pen,Apex,911.0,641.91,Economy,Supplier D,54,15,No,Large,35,Active
P0148,Vertex Stapler 148,Office Supplies,Stapler,Nimbus,5939.89,3766.81,Premium,Supplier A,77,11,No,Medium,31,Active
P0149,Pulse Sofa 149,Furniture,Sofa,Prime,25199.32,18558.87,Standard,Supplier D,191,28,No,Small,8,Active
P0150,Vertex Bookshelf 150,Furniture,Bookshelf,Apex,18858.44,11907.36,Economy,Supplier D,27,0,No,Large,20,Discontinued
P0151,Zenith Cabinet 151,Furniture,Cabinet,Orbit,16628.22,11596.03,Standard,Supplier D,79,17,No,Small,22,Active
P0152,Nova Vacuum 152,Appliances,Vacuum,Zenith,23373.54,18517.21,Premium,Supplier C,249,20,No,Small,21,Discontinued
P0153,Nova Sofa 153,Furniture,Sofa,Apex,33389.88,22677.29,Premium,Supplier D,22,19,No,Large,33,Discontinued
P0154,Vertex Stapler 154,Office Supplies,Stapler,Nova,37978.37,24358.53,Premium,Supplier B,153,1,Yes,Medium,32,Active
P0155,Vertex Pen 155,Office Supplies,Pen,Nova,1860.13,1397.98,Premium,Supplier C,140,20,Yes,Large,15,Active
P0156,Vertex Keyboard 156,Electronics,Keyboard,Prime,26781.37,18835.5,Premium,Supplier C,29,17,No,Small,3,Active
P0157,Vertex Dumbbell 157,Sports,Dumbbell,Zenith,13054.92,9375.51,Standard,Supplier B,44,16,Yes,Small,36,Active
P0158,Zenith Kettle 158,Appliances,Kettle,Nova,27678.74,22907.5,Premium,Supplier C,84,22,No,Small,31,Active
P0159,Orbit Bookshelf 159,Furniture,Bookshelf,Zenith,1240.68,796.69,Economy,Supplier B,181,7,No,Small,16,Active
P0160,Apex Monitor 160,Electronics,Monitor,Nova,26669.44,17295.19,Premium,Supplier D,15,6,Yes,Small,35,Active
P0161,Prime Mixer 161,Appliances,Mixer,Nova,26620.32,22720.55,Standard,Supplier A,240,19,Yes,Large,15,Active
P0162,Prime Notebook 162,Office Supplies,Notebook,Vertex,3684.15,2342.22,Premium,Supplier B,223,16,Yes,Large,7,Active
P0163,Prime Shoes 163,Sports,Shoes,Zenith,19992.81,13258.66,Economy,Supplier A,190,3,Yes,Large,33,Active
P0164,Zenith Yoga Mat 164,Sports,Yoga Mat,Vertex,17977.02,11036.47,Premium,Supplier D,59,16,Yes,Medium,10,Active
P0165,Vertex Monitor 165,Electronics,Monitor,Prime,3445.7,2829.08,Economy,Supplier A,26,10,No,Small,27,Active
P0166,Pulse Vacuum 166,Appliances,Vacuum,Orbit,27518.87,18425.47,Economy,Supplier D,79,27,No,Small,7,Discontinued
P0167,Apex Pen 167,Office Supplies,Pen,Nimbus,592.78,398.62,Premium,Supplier A,35,4,No,Medium,9,Active
P0168,Nimbus Headphones 168,Electronics,Headphones,Apex,32167.78,24382.17,Standard,Supplier D,190,15,No,Large,20,Discontinued
P0169,Pulse Stapler 169,Office Supplies,Stapler,Prime,27128.24,16693.59,Standard,Supplier D,32,3,No,Medium,34,Active
P0170,Apex Chair 170,Furniture,Chair,Pulse,3014.15,2562.12,Economy,Supplier A,50,12,No,Small,22,Active
P0171,Orbit Keyboard 171,Electronics,Keyboard,Prime,29702.44,19207.9,Economy,Supplier D,130,16,No,Large,24,Active
P0172,Pulse Monitor 172,Electronics,Monitor,Vertex,26625.87,22012.73,Premium,Supplier D,122,1,Yes,Small,22,Active
P0173,Pulse Kettle 173,Appliances,Kettle,Apex,5174.15,3431.45,Economy,Supplier D,173,17,No,Medium,13,Active
P0174,Vertex Iron 174,Appliances,Iron,Prime,20291.99,12407.7,Premium,Supplier A,12,18,Yes,Small,26,Active
P0175,Nimbus Shoes 175,Sports,Shoes,Apex,28006.34,19148.63,Premium,Supplier C,96,13,No,Small,18,Active
P0176,Apex Bookshelf 176,Furniture,Bookshelf,Prime,23830.54,14845.89,Standard,Supplier C,48,0,No,Small,32,Discontinued
P0177,Pulse Bottle 177,Sports,Bottle,Nova,28929.81,22543.13,Premium,Supplier D,151,12,No,Large,9,Discontinued
P0178,Vertex Mobile 178,Electronics,Mobile,Zenith,11844.93,8452.31,Economy,Supplier C,98,13,Yes,Medium,7,Active
P0179,Nimbus Paper 179,Office Supplies,Paper,Orbit,2084.01,1264.48,Economy,Supplier A,188,27,Yes,Large,24,Active
P0180,Orbit Keyboard 180,Electronics,Keyboard,Vertex,27815.89,20045.55,Standard,Supplier C,134,25,No,Medium,23,Active
P0181,Zenith Kettle 181,Appliances,Kettle,Nova,8926.86,6341.52,Economy,Supplier B,152,15,Yes,Large,32,Active
P0182,Nova Bottle 182,Sports,Bottle,Orbit,34202.73,21331.14,Premium,Supplier D,42,7,Yes,Large,22,Discontinued
P0183,Orbit Iron 183,Appliances,Iron,Nimbus,34545.15,21515.83,Premium,Supplier C,170,5,No,Large,18,Discontinued
P0184,Prime Chair 184,Furniture,Chair,Pulse,4442.49,3817.06,Premium,Supplier D,113,20,Yes,Small,13,Active
P0185,Zenith Chair 185,Furniture,Chair,Nova,10116.37,6519.25,Economy,Supplier D,205,0,Yes,Small,23,Active
P0186,Apex Monitor 186,Electronics,Monitor,Nimbus,33323.72,22427.59,Economy,Supplier B,65,3,Yes,Large,36,Active
P0187,Vertex Mixer 187,Appliances,Mixer,Vertex,7282.43,6012.88,Economy,Supplier D,211,23,Yes,Medium,16,Active
P0188,Nimbus Mobile 188,Electronics,Mobile,Prime,6971.35,5415.59,Economy,Supplier A,130,17,No,Large,10,Active
P0189,Prime Racket 189,Sports,Racket,Zenith,15167.77,11913.36,Premium,Supplier D,188,11,No,Small,5,Active
P0190,Vertex Bookshelf 190,Furniture,Bookshelf,Apex,18074.38,13853.98,Economy,Supplier B,224,14,No,Small,28,Active
P0191,Prime Notebook 191,Office Supplies,Notebook,Orbit,35783.11,23413.15,Standard,Supplier D,166,10,No,Small,20,Active
P0192,Vertex Kettle 192,Appliances,Kettle,Nimbus,29755.71,18444.59,Standard,Supplier B,183,8,Yes,Medium,29,Active
P0193,Zenith Mixer 193,Appliances,Mixer,Pulse,28043.68,19068.43,Economy,Supplier B,5,12,Yes,Large,22,Active
P0194,Zenith Shoes 194,Sports,Shoes,Nimbus,3622.78,2841.84,Premium,Supplier D,127,27,Yes,Medium,14,Active
P0195,Nimbus Pen 195,Office Supplies,Pen,Nimbus,2911.98,2183.22,Economy,Supplier B,10,30,Yes,Large,17,Active
P0196,Nova Fan 196,Appliances,Fan,Nimbus,10406.78,6603.64,Economy,Supplier D,158,8,Yes,Small,26,Active
P0197,Pulse Shoes 197,Sports,Shoes,Pulse,610.01,431.74,Standard,Supplier B,187,6,Yes,Medium,21,Discontinued
P0198,Orbit Fan 198,Appliances,Fan,Prime,13571.03,10828.21,Economy,Supplier B,112,5,No,Small,4,Active
P0199,Vertex Pen 199,Office Supplies,Pen,Pulse,24812.84,15472.59,Standard,Supplier A,125,4,No,Large,28,Active
P0200,Apex Kettle 200,Appliances,Kettle,Nova,23547.58,18423.71,Standard,Supplier C,243,7,No,Medium,5,Active
P0201,Nimbus Folder 201,Office Supplies,Folder,Vertex,20197.89,15521.87,Standard,Supplier A,153,5,No,Small,35,Discontinued
P0202,Nimbus Stapler 202,Office Supplies,Stapler,Zenith,4406.82,3367.43,Premium,Supplier A,85,1,Yes,Medium,20,Active
P0203,Prime Iron 203,Appliances,Iron,Vertex,28935.62,22577.59,Premium,Supplier B,85,23,No,Small,31,Active
P0204,Pulse Desk 204,Furniture,Desk,Prime,1787.63,1439.81,Standard,Supplier D,116,3,No,Small,31,Active
P0205,Zenith Racket 205,Sports,Racket,Apex,13856.59,11487.37,Premium,Supplier A,57,27,No,Small,13,Active
P0206,Nova Bottle 206,Sports,Bottle,Zenith,8859.94,5372.91,Premium,Supplier A,68,24,No,Large,9,Active
P0207,Nimbus Headphones 207,Electronics,Headphones,Vertex,25422.32,17058.3,Economy,Supplier A,219,10,Yes,Small,8,Discontinued
P0208,Nova Kettle 208,Appliances,Kettle,Vertex,20218.8,15738.65,Standard,Supplier D,88,30,Yes,Small,6,Active
P0209,Nimbus Notebook 209,Office Supplies,Notebook,Apex,26500.62,18615.5,Premium,Supplier C,50,7,No,Small,4,Active
