SalesID,OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount,CostAmount,Profit,SalesChannel,PaymentMethod,ShipMode,OrderStatus,Region,City,SalesRep
S00035,O10035,2025-07-02,C0164,P0388,2,26597.14,0,53194.28,40802.78,12391.5,Partner,Card,Express,Delivered,East,Kolkata,Sales Rep C
S00036,O10036,2025-10-19,C0051,P0178,2,11844.93,0,23689.86,16904.62,6785.24,Store,Net Banking,Express,Returned,South,Coimbatore,Sales Rep B
S00037,O10037,2025-10-23,C0454,P0087,3,22483.27,0.15,57332.34,41204.67,16127.67,Online,Card,Same Day,Delivered,West,Pune,Sales Rep B
S00038,O10038,2026-07-20,C0050,P0106,5,20403.08,0,102015.4,68632.5,33382.9,Online,UPI,Same Day,Delivered,North,Jaipur,Sales Rep A
S00039,O10039,2025-01-27,C0251,P0427,3,29644.19,0,88932.57,63095.94,25836.63,Store,Cash,Same Day,Returned,North,Jaipur,Sales Rep B
S00040,O10040,2025-10-30,C0426,P0233,1,357.2,0.2,285.76,276.92,8.84,Partner,UPI,Express,Returned,South,Hyderabad,Sales Rep D
S00041,O10041,2025-05-21,C0135,P0045,3,11434.42,0.2,27442.61,27547.41,-104.8,Partner,UPI,Express,Delivered,East,Kolkata,Sales Rep B
S00042,O10042,2025-12-01,C0373,P0039,2,14186.99,0.15,24117.88,23104.84,1013.04,Store,Net Banking,Express,Delivered,South,Bengaluru,Sales Rep C
S00043,O10043,2025-02-09,C0457,P0474,4,27354.83,0,109419.32,69158.32,40261.0,Partner,Net Banking,Standard,Delivered,South,Coimbatore,Sales Rep A
S00044,O10044,2026-01-21,C0126,P0071,2,27987.71,0.2,44780.34,44201.8,578.54,Online,Net Banking,Express,Delivered,East,Bhubaneswar,Sales Rep D
S00045,O10045,2026-05-24,C0417,P0096,3,14683.49,0,44050.47,30954.24,13096.23,Online,UPI,Same Day,Delivered,South,Bengaluru,Sales Rep A
S00046,O10046,2026-05-18,C0223,P0035,5,20001.15,0.15,85004.89,69979.55,15025.34,Online,Card,Standard,Returned,East,Kolkata,Sales Rep C
S00047,O10047,2025-08-29,C0315,P0195,6,2911.98,0.05,16598.29,13099.32,3498.97,Store,Card,Express,Delivered,South,Hyderabad,Sales Rep C
S00048,O10048,2026-05-17,C0343,P0249,6,6933.5,0.1,37440.9,27611.58,9829.32,Partner,Net Banking,Same Day,Returned,South,Coimbatore,Sales Rep C
S00049,O10049,2025-04-26,C0050,P0113,3,4395.27,0.1,11867.23,9301.17,2566.06,Store,Net Banking,Standard,Returned,North,Jaipur,Sales Rep A
S00050,O10050,2025-11-23,C0091,P0238,6,24682.53,0,148095.18,124348.02,23747.16,Store,Cash,Same Day,Delivered,East,Kolkata,Sales Rep D
S00051,O10051,2026-05-16,C0431,P0413,5,22530.53,0.1,101387.38,71438.65,29948.73,Partner,Card,Standard,Delivered,East,Kolkata,Sales Rep C
S00052,O10052,2026-02-23,C0260,P0111,1,2777.29,0.15,2360.7,1834.68,526.02,Store,Net Banking,Same Day,Delivered,East,Bhubaneswar,Sales Rep D
S00053,O10053,2026-03-29,C0201,P0415,4,8203.99,0.1,29534.36,28068.44,1465.92,Store,UPI,Express,Returned,West,Mumbai,Sales Rep B
S00054,O10054,2025-02-16,C0174,P0326,3,26504.24,0.1,71561.45,59433.96,12127.49,Store,Card,Same Day,Delivered,South,Hyderabad,Sales Rep B
S00055,O10055,2025-04-23,C0400,P0321,5,24511.4,0.15,104173.45,79668.05,24505.4,Store,Card,Same Day,Delivered,North,Delhi,Sales Rep A
S00056,O10056,2025-04-03,C0411,P0195,6,2911.98,0.05,16598.29,13099.32,3498.97,Store,UPI,Same Day,Delivered,West,Pune,Sales Rep B
S00057,O10057,2025-07-23,C0186,P0275,2,7039.26,0.15,11966.74,8839.46,3127.28,Store,Card,Express,Delivered,West,Mumbai,Sales Rep C
S00058,O10058,2025-08-09,C0170,P0212,5,1436.74,0.2,5746.96,5438.6,308.36,Online,UPI,Standard,Delivered,South,Chennai,Sales Rep A
S00059,O10059,2026-05-12,C0257,P0204,1,1787.63,0,1787.63,1439.81,347.82,Store,Net Banking,Standard,Delivered,South,Coimbatore,Sales Rep B
S00060,O10060,2025-05-07,C0018,P0140,4,8677.46,0.2,27767.87,29378.4,-1610.53,Store,Card,Same Day,Delivered,West,Mumbai,Sales Rep A
S00061,O10061,2026-06-01,C0040,P0038,6,21372.32,0.2,102587.14,77872.98,24714.16,Partner,Cash,Standard,Delivered,South,Coimbatore,Sales Rep B
S00062,O10062,2026-02-05,C0049,P0377,2,19068.96,0.15,32417.23,31552.46,864.77,Store,Net Banking,Express,Delivered,West,Mumbai,Sales Rep C
S00063,O10063,2025-07-27,C0141,P0235,1,31618.05,0.05,30037.15,22266.76,7770.39,Partner,Cash,Express,Delivered,South,Hyderabad,Sales Rep D
S00064,O10064,2026-02-21,C0048,P0114,5,20089.08,0.05,95423.13,81114.95,14308.18,Store,Net Banking,Same Day,Delivered,South,Hyderabad,Sales Rep D
S00065,O10065,2026-02-08,C0009,P0255,3,36833.92,0.15,93926.5,73477.92,20448.58,Partner,UPI,Express,Delivered,South,Hyderabad,Sales Rep A
S00066,O10066,2025-08-26,C0204,P0395,4,17665.43,0.05,67128.63,49871.16,17257.47,Store,UPI,Same Day,Delivered,West,Pune,Sales Rep C
S00067,O10067,2025-03-27,C0074,P0415,1,8203.99,0.15,6973.39,7017.11,-43.72,Online,Card,Express,Delivered,West,Pune,Sales Rep A
S00068,O10068,2026-04-30,C0073,P0207,5,25422.32,0.2,101689.28,85291.5,16397.78,Partner,Card,Standard,Returned,West,Mumbai,Sales Rep C
S00069,O10069,2025-12-12,C0211,P0160,2,26669.44,0,53338.88,34590.38,18748.5,Store,Cash,Standard,Delivered,East,Kolkata,Sales Rep B
S00070,O10070,2026-05-16,C0387,P0288,5,28544.52,0.1,128450.34,95450.05,33000.29,Store,Card,Express,Returned,South,Bengaluru,Sales Rep D
S00071,O10071,2025-03-25,C0264,P0285,1,9400.28,0.1,8460.25,7103.58,1356.67,Partner,UPI,Express,Delivered,North,Jaipur,Sales Rep A
S00072,O10072,2025-05-05,C0083,P0267,2,9960.71,0,19921.42,14858.66,5062.76,Store,UPI,Standard,Returned,West,Mumbai,Sales Rep D
S00073,O10073,2026-06-22,C0088,P0321,4,24511.4,0,98045.6,63734.44,34311.16,Partner,Cash,Express,Delivered,South,Bengaluru,Sales Rep C
S00074,O10074,2025-10-29,C0061,P0223,6,7387.78,0.2,35461.34,35184.06,277.28,Store,Net Banking,Same Day,Delivered,West,Pune,Sales Rep B
S00075,O10075,2026-06-20,C0073,P0149,6,25199.32,0,151195.92,111353.22,39842.7,Partner,Net Banking,Same Day,Delivered,West,Mumbai,Sales Rep D
S00076,O10076,2025-12-05,C0237,P0108,6,33563.84,0.2,161106.43,134450.16,26656.27,Online,Card,Same Day,Returned,South,Chennai,Sales Rep A
S00077,O10077,2025-07-03,C0163,P0214,2,17370.7,0.1,31267.26,25610.88,5656.38,Online,UPI,Express,Delivered,West,Pune,Sales Rep B
S00078,O10078,2026-07-05,C0356,P0049,4,879.64,0.05,3342.63,2221.72,1120.91,Online,UPI,Same Day,Returned,North,Delhi,Sales Rep B
S00079,O10079,2026-07-27,C0035,P0180,2,27815.89,0.05,52850.19,40091.1,12759.09,Partner,UPI,Standard,Delivered,West,Mumbai,Sales Rep C
S00080,O10080,2026-03-13,C0421,P0467,5,274.31,0.2,1097.24,1034.25,62.99,Store,Net Banking,Same Day,Returned,South,Chennai,Sales Rep C
S00081,O10081,2025-07-27,C0288,P0278,1,23210.59,0.15,19729.0,14716.16,5012.84,Online,UPI,Same Day,Delivered,East,Kolkata,Sales Rep C
S00082,O10082,2026-08-01,C0092,P0135,1,35156.58,0,35156.58,23637.43,11519.15,Partner,Cash,Express,Delivered,South,Chennai,Sales Rep D
S00083,O10083,2025-01-03,C0108,P0087,2,22483.27,0,44966.54,27469.78,17496.76,Online,Card,Standard,Delivered,South,Hyderabad,Sales Rep D
S00084,O10084,2025-11-28,C0448,P0001,1,9078.55,0,9078.55,5791.85,3286.7,Online,Cash,Express,Returned,South,Chennai,Sales Rep C
S00085,O10085,2025-05-01,C0155,P0257,2,13815.5,0.15,23486.35,17753.26,5733.09,Store,Cash,Express,Returned,East,Kolkata,Sales Rep C
S00086,O10086,2026-06-19,C0160,P0430,3,28522.86,0.15,72733.29,53138.37,19594.92,Online,Card,Standard,Delivered,South,Bengaluru,Sales Rep B
S00087,O10087,2026-07-28,C0431,P0224,4,7841.07,0.1,28227.85,20974.56,7253.29,Partner,Net Banking,Same Day,Delivered,East,Kolkata,Sales Rep D
S00088,O10088,2025-07-02,C0334,P0179,1,2084.01,0.05,1979.81,1264.48,715.33,Store,Net Banking,Same Day,Returned,East,Bhubaneswar,Sales Rep B
S00089,O10089,2025-07-15,C0316,P0287,4,24856.82,0.05,94455.92,85341.48,9114.44,Online,UPI,Standard,Returned,South,Coimbatore,Sales Rep C
S00090,O10090,2025-01-06,C0270,P0100,5,2996.59,0.05,14233.8,10680.75,3553.05,Store,UPI,Express,Delivered,West,Mumbai,Sales Rep A
S00091,O10091,2025-02-04,C0311,P0140,6,8677.46,0.05,49461.52,44067.6,5393.92,Partner,Cash,Express,Delivered,West,Mumbai,Sales Rep C
S00092,O10092,2025-02-28,C0141,P0321,5,24511.4,0,122557.0,79668.05,42888.95,Partner,Cash,Same Day,Returned,South,Hyderabad,Sales Rep D
S00093,O10093,2026-07-13,C0089,P0243,1,15063.41,0,15063.41,10485.97,4577.44,Store,UPI,Same Day,Delivered,West,Pune,Sales Rep B
S00094,O10094,2025-05-15,C0446,P0436,1,9385.53,0.1,8446.98,6748.36,1698.62,Online,UPI,Express,Delivered,East,Bhubaneswar,Sales Rep C
S00095,O10095,2026-07-12,C0050,P0440,3,7788.68,0,23366.04,18579.99,4786.05,Partner,UPI,Express,Delivered,North,Jaipur,Sales Rep B
S00096,O10096,2026-01-11,C0464,P0301,5,13704.5,0,68522.5,55306.0,13216.5,Partner,Cash,Express,Delivered,South,Bengaluru,Sales Rep A
S00097,O10097,2026-05-29,C0099,P0423,2,15389.0,0.2,24622.4,23027.76,1594.64,Store,UPI,Standard,Returned,North,Delhi,Sales Rep A
S00098,O10098,2025-07-23,C0142,P0312,6,21290.98,0.15,108584.0,82543.62,26040.38,Store,Card,Same Day,Delivered,South,Bengaluru,Sales Rep C
S00099,O10099,2025-12-26,C0141,P0288,1,28544.52,0.05,27117.29,19090.01,8027.28,Store,UPI,Same Day,Returned,South,Hyderabad,Sales Rep A
S00100,O10100,2025-04-03,C0060,P0471,2,24362.07,0.2,38979.31,34755.6,4223.71,Online,Card,Express,Delivered,South,Bengaluru,Sales Rep B
S00101,O10101,2025-08-11,C0404,P0006,6,21966.44,0.05,125208.71,83514.42,41694.29,Store,UPI,Same Day,Delivered,West,Pune,Sales Rep C
S00102,O10102,2025-07-15,C0429,P0349,6,24559.92,0.2,117887.62,104411.58,13476.04,Online,Net Banking,Standard,Returned,South,Hyderabad,Sales Rep C
S00103,O10103,2025-05-24,C0092,P0143,5,19730.52,0.05,93719.97,71985.85,21734.12,Store,Card,Standard,Delivered,South,Chennai,Sales Rep B
S00104,O10104,2025-09-23,C0091,P0152,6,23373.54,0.1,126217.12,111103.26,15113.86,Store,UPI,Express,Delivered,East,Kolkata,Sales Rep C
S00105,O10105,2026-06-20,C0179,P0396,4,8106.06,0.2,25939.39,20582.92,5356.47,Partner,Card,Standard,Returned,West,Pune,Sales Rep B
S00106,O10106,2025-08-04,C0276,P0292,6,6891.16,0.1,37212.26,26171.4,11040.86,Store,Net Banking,Standard,Delivered,South,Hyderabad,Sales Rep C
S00107,O10107,2025-08-04,C0047,P0263,3,5870.72,0,17612.16,14788.89,2823.27,Store,Net Banking,Standard,Delivered,West,Mumbai,Sales Rep B
S00108,O10108,2026-04-24,C0244,P0072,5,12011.03,0.05,57052.39,41990.5,15061.89,Store,Cash,Same Day,Delivered,North,Jaipur,Sales Rep C
S00109,O10109,2026-01-03,C0360,P0054,1,20171.98,0,20171.98,13361.4,6810.58,Store,Cash,Express,Delivered,South,Hyderabad,Sales Rep A
S00110,O10110,2026-01-02,C0096,P0468,3,31081.98,0,93245.94,74694.54,18551.4,Store,Card,Standard,Returned,North,Delhi,Sales Rep D
S00111,O10111,2026-03-22,C0304,P0295,6,26399.94,0.1,142559.68,105191.34,37368.34,Store,Card,Express,Delivered,South,Hyderabad,Sales Rep C
S00112,O10112,2026-02-15,C0248,P0348,3,7138.1,0,21414.3,13069.05,8345.25,Online,UPI,Express,Returned,North,Jaipur,Sales Rep C
S00113,O10113,2026-02-15,C0489,P0296,5,20945.56,0,104727.8,87435.85,17291.95,Online,Card,Express,Delivered,South,Coimbatore,Sales Rep B
S00114,O10114,2025-12-08,C0067,P0340,1,5254.94,0,5254.94,3508.02,1746.92,Store,Card,Express,Returned,South,Chennai,Sales Rep D
S00115,O10115,2025-01-01,C0085,P0236,6,30684.94,0,184109.64,113600.82,70508.82,Online,Card,Express,Delivered,South,Coimbatore,Sales Rep A
S00116,O10116,2025-07-28,C0095,P0121,4,11616.81,0,46467.24,37812.76,8654.48,Partner,Card,Standard,Delivered,North,Jaipur,Sales Rep A
S00117,O10117,2025-12-19,C0245,P0082,1,12512.84,0.1,11261.56,7839.53,3422.03,Partner,Cash,Same Day,Delivered,South,Coimbatore,Sales Rep D
S00118,O10118,2026-04-20,C0343,P0193,6,28043.68,0,168262.08,114410.58,53851.5,Online,Cash,Standard,Delivered,South,Coimbatore,Sales Rep B
S00119,O10119,2025-12-01,C0205,P0396,3,8106.06,0.2,19454.54,15437.19,4017.35,Partner,Cash,Same Day,Returned,South,Bengaluru,Sales Rep A
S00120,O10120,2025-01-28,C0178,P0251,2,1992.64,0.15,3387.49,3422.44,-34.95,Online,Card,Express,Delivered,West,Pune,Sales Rep C
S00121,O10121,2025-01-02,C0257,P0422,5,9912.28,0.15,42127.19,38022.3,4104.89,Store,UPI,Same Day,Delivered,South,Coimbatore,Sales Rep B
S00122,O10122,2025-02-15,C0256,P0097,2,40374.0,0.05,76710.6,49181.58,27529.02,Store,UPI,Express,Returned,East,Kolkata,Sales Rep B
S00123,O10123,2025-10-19,C0218,P0078,3,7769.09,0.1,20976.54,14460.24,6516.3,Partner,Cash,Standard,Delivered,West,Mumbai,Sales Rep D
S00124,O10124,2026-02-12,C0092,P0084,6,17061.01,0.15,87011.15,68598.96,18412.19,Online,Cash,Standard,Delivered,South,Chennai,Sales Rep A
S00125,O10125,2026-02-19,C0336,P0442,1,23356.92,0,23356.92,17078.73,6278.19,Store,Card,Same Day,Returned,South,Hyderabad,Sales Rep D
S00126,O10126,2026-02-16,C0006,P0249,4,6933.5,0,27734.0,18407.72,9326.28,Store,Cash,Express,Delivered,South,Coimbatore,Sales Rep D
S00127,O10127,2026-04-30,C0258,P0191,6,35783.11,0.05,203963.73,140478.9,63484.83,Partner,Net Banking,Standard,Delivered,South,Chennai,Sales Rep D
S00128,O10128,2026-01-28,C0273,P0389,6,16400.49,0,98402.94,81914.88,16488.06,Online,UPI,Express,Delivered,North,Delhi,Sales Rep B
S00129,O10129,2026-04-11,C0264,P0417,4,3358.16,0,13432.64,8464.76,4967.88,Store,Net Banking,Standard,Delivered,North,Jaipur,Sales Rep D
S00130,O10130,2025-02-21,C0236,P0188,5,6971.35,0.2,27885.4,27077.95,807.45,Store,Net Banking,Express,Delivered,East,Kolkata,Sales Rep C
S00131,O10131,2025-01-25,C0393,P0420,5,26089.15,0.05,123923.46,108091.95,15831.51,Online,Net Banking,Express,Returned,East,Kolkata,Sales Rep A
S00132,O10132,2025-11-01,C0229,P0167,6,592.78,0,3556.68,2391.72,1164.96,Partner,UPI,Express,Delivered,East,Bhubaneswar,Sales Rep D
S00133,O10133,2025-03-28,C0128,P0090,5,17913.81,0,89569.05,66594.5,22974.55,Online,Card,Same Day,Returned,West,Mumbai,Sales Rep D
S00134,O10134,2025-12-20,C0458,P0141,4,22733.24,0.2,72746.37,56863.64,15882.73,Partner,Card,Same Day,Returned,South,Hyderabad,Sales Rep A
S00135,O10135,2026-01-17,C0040,P0168,1,32167.78,0,32167.78,24382.17,7785.61,Partner,UPI,Express,Delivered,South,Coimbatore,Sales Rep C
S00136,O10136,2025-11-06,C0475,P0327,4,22303.0,0.1,80290.8,66615.0,13675.8,Online,Card,Same Day,Delivered,North,Jaipur,Sales Rep A
S00137,O10137,2026-03-20,C0429,P0468,1,31081.98,0,31081.98,24898.18,6183.8,Partner,Net Banking,Express,Delivered,South,Hyderabad,Sales Rep A
S00138,O10138,2026-04-30,C0192,P0294,2,2259.44,0.1,4066.99,3348.26,718.73,Store,Card,Express,Delivered,West,Mumbai,Sales Rep D
S00139,O10139,2025-10-19,C0466,P0093,3,6403.58,0,19210.74,14311.83,4898.91,Store,Card,Standard,Returned,East,Kolkata,Sales Rep B
S00140,O10140,2026-04-19,C0141,P0137,5,17193.75,0.2,68775.0,63144.3,5630.7,Store,UPI,Standard,Delivered,South,Hyderabad,Sales Rep A
S00141,O10141,2025-08-15,C0364,P0167,1,592.78,0.15,503.86,398.62,105.24,Store,Cash,Same Day,Returned,South,Chennai,Sales Rep C
S00142,O10142,2026-05-03,C0278,P0200,5,23547.58,0,117737.9,92118.55,25619.35,Store,Net Banking,Express,Delivered,East,Kolkata,Sales Rep D
S00143,O10143,2026-05-26,C0078,P0237,2,26010.46,0.15,44217.78,33399.42,10818.36,Partner,Card,Same Day,Returned,North,Jaipur,Sales Rep C
S00144,O10144,2026-08-09,C0207,P0017,1,24037.46,0.2,19229.97,17219.23,2010.74,Store,Net Banking,Standard,Delivered,West,Pune,Sales Rep C
S00145,O10145,2025-11-19,C0156,P0150,4,18858.44,0.2,60347.01,47629.44,12717.57,Store,UPI,Standard,Delivered,West,Pune,Sales Rep C
S00146,O10146,2026-03-02,C0290,P0221,1,17626.15,0.05,16744.84,12193.64,4551.2,Partner,Cash,Standard,Returned,West,Mumbai,Sales Rep B
S00147,O10147,2025-05-07,C0194,P0311,1,6817.53,0.1,6135.78,4653.95,1481.83,Online,Card,Standard,Delivered,East,Bhubaneswar,Sales Rep B
S00148,O10148,2026-02-15,C0443,P0082,5,12512.84,0.1,56307.78,39197.65,17110.13,Store,Card,Express,Delivered,South,Bengaluru,Sales Rep C
S00149,O10149,2025-04-19,C0395,P0186,6,33323.72,0.2,159953.86,134565.54,25388.32,Partner,Net Banking,Same Day,Returned,West,Mumbai,Sales Rep B
S00150,O10150,2026-05-22,C0440,P0207,4,25422.32,0.05,96604.82,68233.2,28371.62,Store,Card,Standard,Returned,South,Hyderabad,Sales Rep C
S00151,O10151,2025-12-09,C0002,P0273,4,24006.71,0.2,76821.47,69420.24,7401.23,Online,UPI,Express,Returned,South,Chennai,Sales Rep D
S00152,O10152,2025-01-30,C0211,P0097,5,40374.0,0,201870.0,122953.95,78916.05,Online,UPI,Same Day,Returned,East,Kolkata,Sales Rep A
S00153,O10153,2025-09-13,C0167,P0313,2,5705.57,0.15,9699.47,8953.54,745.93,Partner,Cash,Same Day,Delivered,North,Jaipur,Sales Rep C
S00154,O10154,2026-02-03,C0012,P0381,5,15421.81,0.15,65542.69,67010.55,-1467.86,Online,Card,Express,Delivered,North,Delhi,Sales Rep B
S00155,O10155,2025-07-24,C0090,P0242,3,24173.28,0,72519.84,59390.4,13129.44,Store,UPI,Standard,Delivered,West,Mumbai,Sales Rep D
S00156,O10156,2026-03-31,C0236,P0126,2,2339.85,0,4679.7,3691.64,988.06,Store,UPI,Same Day,Delivered,East,Kolkata,Sales Rep B
S00157,O10157,2025-03-13,C0126,P0237,1,26010.46,0.2,20808.37,16699.71,4108.66,Online,Cash,Same Day,Returned,East,Bhubaneswar,Sales Rep D
S00158,O10158,2026-03-04,C0037,P0401,3,9738.21,0.2,23371.7,23119.11,252.59,Partner,UPI,Same Day,Delivered,East,Bhubaneswar,Sales Rep D
S00159,O10159,2025-03-03,C0247,P0424,3,2679.85,0.1,7235.59,6941.34,294.25,Partner,UPI,Express,Returned,West,Mumbai,Sales Rep D
S00160,O10160,2025-05-08,C0220,P0404,1,567.39,0,567.39,353.55,213.84,Store,UPI,Same Day,Delivered,East,Bhubaneswar,Sales Rep C
S00161,O10161,2025-12-14,C0212,P0337,2,19882.17,0,39764.34,31612.88,8151.46,Store,Card,Express,Delivered,East,Bhubaneswar,Sales Rep C
S00162,O10162,2025-03-17,C0329,P0356,4,3763.44,0.2,12043.01,13036.4,-993.39,Store,Card,Express,Delivered,North,Delhi,Sales Rep C
S00163,O10163,2025-12-05,C0353,P0228,4,34970.96,0.2,111907.07,87128.28,24778.79,Store,Net Banking,Same Day,Delivered,South,Chennai,Sales Rep B
S00164,O10164,2025-10-23,C0076,P0268,1,18725.95,0,18725.95,12968.95,5757.0,Store,Net Banking,Same Day,Delivered,West,Mumbai,Sales Rep C
S00165,O10165,2025-06-12,C0484,P0367,5,15068.18,0.2,60272.72,52868.5,7404.22,Store,Cash,Same Day,Returned,South,Chennai,Sales Rep C
S00166,O10166,2025-05-12,C0080,P0381,2,15421.81,0.15,26217.08,26804.22,-587.14,Store,Cash,Express,Delivered,East,Kolkata,Sales Rep A
S00167,O10167,2025-11-07,C0436,P0109,2,8256.54,0.15,14036.12,13980.0,56.12,Online,Net Banking,Express,Returned,South,Chennai,Sales Rep D
S00168,O10168,2025-06-24,C0317,P0461,3,17236.54,0.2,41367.7,34077.6,7290.1,Online,Net Banking,Same Day,Delivered,North,Delhi,Sales Rep D
S00169,O10169,2026-05-12,C0444,P0475,6,29130.43,0,174782.58,108006.12,66776.46,Partner,Cash,Standard,Returned,South,Coimbatore,Sales Rep D
S00170,O10170,2025-03-08,C0008,P0343,3,35237.97,0,105713.91,71602.56,34111.35,Store,Card,Standard,Delivered,East,Kolkata,Sales Rep C
S00171,O10171,2025-05-03,C0312,P0399,6,22207.05,0,133242.3,85584.24,47658.06,Store,Cash,Express,Delivered,East,Bhubaneswar,Sales Rep B
