order_id,customer_id,order_date,order_status,channel,currency,subtotal,discount_amount,tax_amount,shipping_cost,total_amount,promo_code,shipping_city,shipping_state,shipping_country,last_updated
O00000021,C000013,2026-04-16 20:37:00,Delivered,Mobile,INR,477541.00,102780.85,67456.83,0.00,442216.98,APP5,Toronto,Ontario,India,2026-04-23 02:37:00
O00000022,C002494,2024-06-08 13:51:00,Delivered,Store,USD,650.00,130.00,93.60,79.00,692.60,APP5,Austin,Texas,United Kingdom,2024-06-12 11:51:00
O00000023,C000315,2025-10-15 00:19:00,CANCELLED,Store,INR,309952.00,48204.00,47114.64,0.00,308862.64,,Kolkata,Tamil Nadu,India,2025-10-16 01:19:00
O00000024,C005516,2024-07-30 13:50:00,Placed,Marketplace,INR,50764.00,17767.40,5939.39,0.00,38935.99,VIP15,Chennai,Ontario,India,2024-08-03 16:50:00
O00000025,C004992,2026-06-20 11:07:00,Shipped,Mobile,INR,339818.00,70996.00,48387.96,0.00,317209.96,NEW10,Kochi,Delhi,India,2026-06-23 11:07:00
O00000026,C000253,2025-12-29 02:18:00,Delivered,Store,INR,70728.00,24754.80,8275.18,0.00,54248.38,FESTIVE20,Kolkata,Maharashtra,India,2025-12-30 05:18:00
O00000027,C004215,2025-07-20 23:38:00,Returned,Marketplace,INR,307418.00,30741.80,49801.72,0.00,326477.92,NEW10,Kochi,Kerala,India,2025-07-26 20:38:00
O00000028,C005870,2025-02-25 20:30:00,Processing,Marketplace,USD,6963.00,1649.90,956.36,0.00,6269.46,NEW10,Pune,Texas,United Kingdom,2025-03-04 01:30:00
O00000029,C004283,2025-04-26 08:44:00,Delivered,Mobile,INR,106188.00,6152.85,18006.33,0.00,118041.48,APP5,Toronto,England,United States,2025-05-05 01:44:00
O00000030,C001820,06/16/2026 23:52,Cancelled,Marketplace,INR,67059.00,16764.75,9052.96,0.00,59347.21,NEW10,Delhi,Texas,India,2026-06-20 15:52:00
O00000031,C004489,2024-06-06 01:05:00,Delivered,marketplace,INR,253307.00,28225.45,40514.68,0.00,265596.23,NEW10,Chennai,England,United States,2024-06-14 18:05:00
O00000032,C001275,2024-01-06 15:55:00,Delivered,Mobile,INR,413747.00,60753.50,63538.83,0.00,416532.33,NEW10,London,West Bengal,India,2024-01-06 15:55:00
O00000033,C004880,2025-11-09 21:53:00,Processing,Marketplace,INR,37729.00,842.45,6639.58,0.00,43526.13,,Seattle,West Bengal,India,2025-11-10 17:53:00
O00000034,C000068,2025/09/14 10:58:00,Delivered,Store,INR,219624.00,86059.60,24041.59,0.00,157605.99,FESTIVE20,Mumbai,Tamil Nadu,India,2025-09-15 12:58:00
O00000035,C000873,2025-05-07 03:05:00,Delivered,Store,INR,6921.00,2422.35,809.76,0.00,5308.41,FESTIVE20,Toronto,Washington,United States,2025-05-07 09:05:00
O00000036,C000519,2024-03-28 00:57:00,Placed,Web,INR,53025.00,18558.75,6203.92,0.00,40670.17,VIP15,Chennai,Ontario,India,2024-03-28 18:57:00
O00000037,C004689,2024-03-04 04:31:00,Delivered,Mobile,INR,3231.00,156.75,553.36,0.00,3627.61,,Austin,England,United Kingdom,2024-03-06 05:31:00
O00000038,C001049,2026-03-21 02:20:00,complete,Mobile,INR,14583.00,3645.75,1968.70,0.00,12905.95,VIP15,Delhi,Washington,India,2026-03-27 03:20:00
O00000039,C002544,2025-07-04 06:52:00,Delivered,Marketplace,INR,323708.00,67179.60,46175.11,0.00,302703.51,FESTIVE20,Hyderabad,Ontario,United Kingdom,2025-07-07 07:52:00
O00000040,C003054,04/19/2025 07:11,Shipped,Store,INR,1112.00,111.20,180.14,0.00,1180.94,,Toronto,Karnataka,United Kingdom,2025-04-20 16:11:00
O00000041,C003234,2026-01-12 20:05:00,Delivered,Web,INR,201339.00,27515.00,31288.32,0.00,205112.32,APP5,Hyderabad,West Bengal,United States,2026-01-16 11:05:00
O00000042,C004223,2026-03-03 18:22:00,Processing,Marketplace,INR,267919.00,60657.75,37307.02,0.00,244568.27,VIP15,Kolkata,Texas,India,2026-03-12 06:22:00
O00000043,C005213,2024-04-21 00:46:00,Shipped,Store,INR,6192.00,2167.20,724.46,0.00,4749.26,FESTIVE20,Chennai,England,India,2024-04-27 09:46:00
O00000044,C003446,2025-10-07 03:04:00,Delivered,Web,INR,7510.00,375.50,1284.21,0.00,8418.71,,Chennai,England,India,2025-10-10 01:04:00
O00000045,C002159,2025-08-20 20:33:00,Returned,Web,INR,850518.00,138468.10,128168.98,0.00,840218.88,APP5,Seattle,Tamil Nadu,India,2025-08-25 18:33:00
O00000046,C002712,2026-05-25 11:28:00,Delivered,Web,USD,4705.00,235.25,804.56,0.00,5274.31,APP5,Austin,Delhi,India,2026-05-26 08:28:00
O00000047,C001643,2024-09-16 20:47:00,Placed,Web,INR,368465.00,75446.20,52743.38,0.00,345762.18,FESTIVE20,Kolkata,Karnataka,United States,2024-09-17 17:47:00
O00000048,C005416,2024-10-13 23:26:00,Placed,Store,INR,14790.00,0.00,2662.20,0.00,17452.20,,Kolkata,England,India,2024-10-18 10:26:00
O00000049,C000186,2026-04-01 16:46:00,Delivered,Mobile,INR,100158.00,11361.55,15983.36,0.00,104779.81,APP5,Delhi,Delhi,United Kingdom,2026-04-09 12:46:00
O00000050,C000093,09/30/2025 16:20,Shipped,Store,INR,512796.00,61884.60,81164.05,0.00,532075.45,APP5,Delhi,Ontario,India,2025-10-07 16:20:00
O00000051,C001420,2024/01/05 11:51:00,Delivered,Store,INR,25697.00,4300.55,3851.36,0.00,25247.81,VIP15,Kochi,Kerala,United States,2024-01-11 14:51:00
O00000052,C001387,2025-11-18 14:24:00,Processing,Mobile,INR,149185.00,49721.25,17903.48,0.00,117367.23,FESTIVE20,Seattle,Karnataka,India,2025-11-21 11:24:00
O00000053,C004500,2025-06-08 10:24:00,Placed,Mobile,INR,56331.00,5633.10,9125.62,0.00,59823.52,NEW10,Kochi,Ontario,India,2025-06-17 23:24:00
O00000054,C001170,2025-09-23 22:53:00,Delivered,Web,INR,182062.00,23456.20,28549.04,0.00,187154.84,NEW10,Delhi,Maharashtra,India,2025-09-28 08:53:00
O00000055,C003634,2024-02-26 05:59:00,Shipped,Web,INR,192401.00,39654.70,27494.33,0.00,180240.63,FESTIVE20,Austin,Tamil Nadu,India,2024-03-07 00:59:00
O00000056,C003616,2026-01-25 02:16:00,Cancelled,Web,INR,96993.00,0.00,17458.74,0.00,114451.74,,Chennai,Tamil Nadu,India,2026-01-28 22:16:00
O00000057,C002314,2024-08-16 19:39:00,complete,Web,INR,302218.00,60663.50,43479.81,0.00,285034.31,NEW10,Kolkata,Maharashtra,United States,2024-08-19 13:39:00
O00000058,C001255,2026-01-07 01:18:00,Cancelled,Store,INR,178943.00,39328.75,25130.56,0.00,164744.81,FESTIVE20,Kochi,England,United Kingdom,2026-01-09 04:18:00
O00000059,C004269,2025-02-01 07:57:00,Delivered,Mobile,INR,161664.00,15842.70,26247.83,0.00,172069.13,,Delhi,England,United States,2025-02-02 03:57:00
O00000060,C005638,02/19/2026 16:03,Shipped,Store,INR,336921.00,21212.80,56827.48,0.00,372535.68,APP5,London,England,India,2026-02-27 09:03:00
O00000061,C000561,2025-10-13 03:39:00,Returned,Store,INR,250773.00,44674.65,37097.70,0.00,243196.05,APP5,Hyderabad,Ontario,India,2025-10-21 17:39:00
O00000062,C004886,2025-11-19 22:28:00,Placed,store,INR,197232.00,15419.90,32726.18,0.00,214538.28,APP5,Hyderabad,Delhi,India,2025-11-25 03:28:00
O00000063,C005093,2025-12-20 13:31:00,Processing,Store,INR,266986.00,33428.70,42040.31,0.00,275597.61,NEW10,Delhi,Maharashtra,United States,2025-12-26 05:31:00
O00000064,C003727,2026-05-05 04:15:00,Delivered,Marketplace,INR,307709.00,30770.90,49848.86,0.00,326786.96,NEW10,London,Texas,United States,2026-05-08 16:15:00
O00000065,C001457,2024-06-05 08:34:00,Processing,Web,INR,62943.00,14841.40,8658.29,0.00,56759.89,NEW10,Kolkata,West Bengal,India,2024-06-05 19:34:00
O00000066,C000929,2024-10-23 02:16:00,Delivered,Mobile,INR,42234.00,7441.40,6262.67,0.00,41055.27,APP5,Kochi,Ontario,United Kingdom,2024-10-29 12:16:00
O00000067,C005160,2026-04-05 18:34:00,Delivered,Web,INR,19930.00,5691.80,2562.88,0.00,16801.08,NEW10,Kochi,Karnataka,India,2026-04-15 12:34:00
O00000068,C000073,2026/06/05 04:59:00,Delivered,Marketplace,INR,82357.00,10191.70,12989.75,0.00,85155.05,,Seattle,Texas,India,2026-06-12 02:59:00
O00000069,C002853,2024-02-09 17:44:00,CANCELLED,Store,INR,14630.00,2926.00,2106.72,0.00,13810.72,FESTIVE20,Kolkata,Washington,United States,2024-02-16 22:44:00
O00000070,C004454,03/19/2024 00:50,Processing,Marketplace,INR,38272.00,0.00,6888.96,0.00,45160.96,,Toronto,Telangana,United States,2024-03-25 02:50:00
O00000071,C000395,2024-03-29 01:57:00,Shipped,Mobile,INR,450788.00,90157.60,64913.47,0.00,425543.87,FESTIVE20,Chennai,Maharashtra,United States,2024-03-31 06:57:00
O00000072,C005448,2026-01-24 12:20:00,Delivered,Store,INR,155991.00,22982.85,23941.47,0.00,156949.62,,Hyderabad,Karnataka,United States,2026-01-29 09:20:00
O00000073,C001586,2026-06-17 11:30:00,Shipped,Store,INR,505698.00,39140.10,83980.42,0.00,550538.32,APP5,Chennai,England,India,2026-06-20 04:30:00
O00000074,C001125,2024-07-14 14:11:00,Shipped,Mobile,INR,366281.00,18914.10,62526.04,0.00,409892.94,,Toronto,Ontario,United States,2024-07-22 21:11:00
O00000075,C000151,2025-12-31 04:33:00,Shipped,Store,INR,249497.00,58912.65,34305.18,0.00,224889.53,VIP15,Mumbai,Karnataka,India,2026-01-09 03:33:00
O00000076,C000275,2025-04-13 00:29:00,Processing,Store,INR,595500.00,140847.70,81837.41,0.00,536489.71,FESTIVE20,London,Maharashtra,India,2025-04-18 10:29:00
O00000077,C003688,2026-05-14 00:42:00,Cancelled,Mobile,EUR,206954.00,51738.50,27938.79,0.00,183154.29,APP5,Mumbai,Maharashtra,India,2026-05-22 23:42:00
O00000078,C003577,2025-05-28 20:44:00,Delivered,Store,INR,404348.00,97596.05,55215.35,0.00,361967.30,NEW10,Seattle,Tamil Nadu,India,2025-05-31 03:44:00
O00000079,C000637,2025-04-09 23:40:00,Pending,Store,INR,279725.00,47161.45,41861.44,0.00,274424.99,APP5,Austin,Tamil Nadu,India,2025-04-17 03:40:00
O00000080,C004009,07/27/2025 00:40,Shipped,Marketplace,INR,112542.00,15940.50,17388.27,0.00,113989.77,NEW10,Hyderabad,Tamil Nadu,India,2025-08-01 09:40:00
O00000081,C003849,2024-04-22 22:44:00,Processing,Mobile,INR,48386.00,0.00,8709.48,0.00,57095.48,,Kolkata,Kerala,India,2024-04-24 11:44:00
O00000082,C001174,2026-06-18 17:36:00,Delivered,Store,INR,24255.00,2601.00,3897.72,0.00,25551.72,APP5,Kochi,Maharashtra,United Kingdom,2026-06-27 12:36:00
O00000083,C900083,2026-02-12 15:25:00,Cancelled,Mobile,INR,213228.00,52907.40,28857.71,0.00,189178.31,FESTIVE20,Pune,Texas,India,2026-02-19 22:25:00
O00000084,C001599,2025-10-11 17:10:00,Delivered,Store,INR,186457.00,37291.40,26849.81,0.00,176015.41,FESTIVE20,London,Delhi,India,2025-10-20 03:10:00
O00000085,C002755,2024/07/17 09:12:00,Delivered,Marketplace,INR,836.00,125.40,127.91,79.00,917.51,VIP15,Delhi,Maharashtra,India,2024-07-19 04:12:00
O00000086,C001293,2025-02-21 07:54:00,Delivered,Mobile,INR,351344.00,106524.60,44067.49,0.00,288886.89,VIP15,Hyderabad,Delhi,United States,2025-02-25 15:54:00
O00000087,C003340,2024-11-28 22:21:00,Pending,Web,INR,4642.00,0.00,835.56,0.00,5477.56,,Hyderabad,Washington,India,2024-12-01 18:21:00
O00000088,C001724,2024-05-01 11:42:00,Shipped,Store,INR,17668.00,5300.40,2226.17,0.00,14593.77,NEW10,London,Maharashtra,India,2024-05-09 14:42:00
O00000089,C000768,2024-08-05 18:38:00,Shipped,Web,INR,537797.00,52288.25,87391.58,0.00,572900.33,APP5,Delhi,England,United Kingdom,2024-08-11 00:38:00
O00000090,C003757,11/11/2025 18:33,Delivered,Web,INR,409796.00,21131.60,69959.59,0.00,458623.99,APP5,Seattle,Ontario,United States,2025-11-12 02:33:00
O00000091,C001509,2025-02-22 14:22:00,Delivered,Marketplace,INR,2758.00,275.80,446.80,0.00,2929.00,NEW10,Toronto,Texas,India,2025-03-03 10:22:00
O00000092,C005122,2025-03-25 13:04:00,Processing,Web,INR,229998.00,121.35,41377.80,0.00,271254.45,,Pune,England,India,2025-04-04 05:04:00
O00000093,C004661,2024-07-24 12:31:00,Delivered,mobile,INR,320915.00,112230.05,37563.29,0.00,246248.24,VIP15,Austin,Delhi,India,2024-07-26 02:31:00
O00000094,C002383,2025-07-22 09:26:00,Delivered,Mobile,INR,81895.00,4183.35,13988.10,0.00,91699.75,,Chennai,Maharashtra,India,2025-07-29 15:26:00
O00000095,C004435,2024-11-05 07:24:00,Shipped,Web,INR,237299.00,73539.20,29476.76,0.00,193236.56,FESTIVE20,London,Maharashtra,United Kingdom,2024-11-11 18:24:00
O00000096,C003434,2025-07-24 04:43:00,Shipped,Marketplace,INR,27981.00,0.00,5036.58,0.00,33017.58,,Seattle,Kerala,India,2025-07-28 08:43:00
O00000097,C004095,2025-06-27 21:54:00,Pending,Mobile,INR,96352.00,21896.80,13401.94,0.00,87857.14,FESTIVE20,Austin,Tamil Nadu,United States,2025-06-28 01:54:00
O00000098,C005440,2026-02-16 11:50:00,Shipped,Store,INR,122967.00,40810.95,14788.09,0.00,96944.14,FESTIVE20,London,Texas,India,2026-02-18 03:50:00
O00000099,C000931,2025-11-16 09:53:00,Shipped,Mobile,INR,582.00,29.10,99.52,79.00,731.42,APP5,Mumbai,West Bengal,India,2025-11-24 20:53:00
O00000100,C003122,12/30/2024 16:51,Delivered,Mobile,INR,106456.00,22772.80,15062.98,0.00,98746.18,VIP15,Delhi,Texas,India,2025-01-06 09:51:00
O00000101,C002523,2024-07-26 04:03:00,Delivered,Store,INR,279343.00,27934.30,45253.57,0.00,296662.27,NEW10,Bengaluru,Washington,India,2024-08-02 00:03:00
O00000102,C001265,2025/04/19 12:26:00,Placed,Store,INR,480.00,48.00,77.76,79.00,588.76,NEW10,Austin,Tamil Nadu,India,2025-04-22 11:26:00
O00000103,C000680,2026-02-12 20:48:00,Processing,Mobile,INR,5444.00,544.40,881.93,0.00,5781.53,,Toronto,Maharashtra,India,2026-02-20 00:48:00
O00000104,C005788,2024-08-15 10:38:00,Processing,Store,INR,51188.00,17699.80,6027.88,0.00,39516.08,FESTIVE20,Chennai,Texas,India,2024-08-23 05:38:00
O00000105,C002134,2025-01-13 07:36:00,Shipped,Mobile,INR,104579.00,16177.35,15912.30,0.00,104313.95,VIP15,Mumbai,Maharashtra,India,2025-01-17 18:36:00
O00000106,C000223,2026-01-23 14:38:00,Pending,Store,USD,65625.00,14168.25,9262.22,0.00,60718.97,VIP15,Toronto,Karnataka,United Kingdom,2026-02-01 23:38:00
O00000107,C000938,2025-03-07 20:41:00,Delivered,Store,USD,506254.00,76485.00,77358.42,0.00,507127.42,VIP15,Kochi,Maharashtra,United States,2025-03-12 08:41:00
O00000108,C000342,2026-03-06 02:44:00,Delivered,Web,INR,8580.00,0.00,1544.40,0.00,10124.40,,Toronto,England,United States,2026-03-11 01:44:00
O00000109,C004373,2025-04-19 05:01:00,Shipped,Mobile,INR,47056.00,5073.20,7556.90,0.00,49539.70,APP5,London,Kerala,India,2025-04-24 15:01:00
O00000110,C003489,03/03/2026 16:03,Delivered,Store,INR,12122.00,0.00,2181.96,0.00,14303.96,,Kolkata,West Bengal,India,2026-03-13 07:03:00
O00000111,C002681,2024-11-07 13:53:00,Processing,Web,INR,94326.00,27880.30,11960.23,0.00,78405.93,FESTIVE20,London,Kerala,United States,2024-11-17 11:53:00
O00000112,C005274,2024-07-28 23:13:00,Delivered,Store,INR,100683.00,1874.90,17785.46,0.00,116593.56,,Hyderabad,Maharashtra,India,2024-07-30 04:13:00
O00000113,C000516,2024-03-17 14:10:00,Delivered,Mobile,INR,16928.00,4232.00,2285.28,0.00,14981.28,VIP15,Toronto,Tamil Nadu,India,2024-03-22 10:10:00
O00000114,C002380,2025-12-06 00:14:00,Returned,Web,INR,312076.00,63810.00,44687.88,0.00,292953.88,VIP15,Pune,Karnataka,India,2025-12-11 14:14:00
O00000115,C003652,2025-05-05 07:22:00,Processing,Mobile,INR,10341.00,3102.30,1302.97,0.00,8541.67,NEW10,Kochi,Telangana,India,2025-05-15 05:22:00
O00000116,C002856,2024-08-02 08:47:00,Delivered,Marketplace,INR,7107.00,2071.65,906.36,0.00,5941.71,VIP15,Bengaluru,Maharashtra,India,2024-08-04 07:47:00
O00000117,C001962,2026-06-02 16:29:00,Shipped,Marketplace,INR,24852.00,2143.50,4087.53,0.00,26796.03,,Bengaluru,Tamil Nadu,United States,2026-06-06 22:29:00
O00000118,C003361,2026-01-23 23:03:00,Cancelled,Web,INR,9812.00,1962.40,1412.93,0.00,9262.53,FESTIVE20,Delhi,Texas,India,2026-01-24 03:03:00
O00000119,C004159,2025/01/18 18:02:00,Cancelled,Store,INR,29468.00,5893.60,4243.39,0.00,27817.79,,London,Texas,India,2025-01-23 22:02:00
O00000120,C003181,05/22/2024 09:05,Delivered,Store,INR,103092.00,25834.20,13906.40,0.00,91164.20,NEW10,Hyderabad,Tamil Nadu,India,2024-05-25 12:05:00
O00000121,C000562,2025-09-12 01:57:00,Delivered,Mobile,INR,368380.00,53463.25,56685.02,0.00,371601.77,NEW10,Kolkata,Washington,India,2025-09-12 01:57:00
O00000122,C003814,2025-12-30 07:36:00,Delivered,Mobile,INR,3654.00,548.10,559.06,0.00,3664.96,,Seattle,Ontario,India,2025-12-31 12:36:00
O00000123,C003381,2025-07-12 17:53:00,Delivered,Web,INR,80896.00,27657.10,9583.00,0.00,62821.90,VIP15,Kolkata,West Bengal,India,2025-07-17 14:53:00
O00000124,C005174,2024-03-07 08:46:00,Delivered,mobile,INR,104128.00,29189.35,13488.96,0.00,88427.61,NEW10,Toronto,Telangana,India,2024-03-12 09:46:00
O00000125,C004700,2024-04-06 18:25:00,Pending,Web,INR,25250.00,3044.90,3996.92,0.00,26202.02,NEW10,Hyderabad,Karnataka,United Kingdom,2024-04-11 01:25:00
O00000126,C002652,2026-01-07 19:04:00,Delivered,Mobile,INR,17067.00,1348.50,2829.33,0.00,18547.83,,Seattle,Karnataka,India,2026-01-10 15:04:00
O00000127,C001249,2025-09-14 03:27:00,Delivered,Marketplace,INR,51846.00,11360.45,7287.40,0.00,47772.95,FESTIVE20,Kochi,England,India,2025-09-18 18:27:00
O00000128,C004063,2024-10-25 01:53:00,Delivered,Marketplace,INR,170310.00,59555.30,19935.85,0.00,130690.55,FESTIVE20,Austin,Texas,India,2024-11-01 13:53:00
O00000129,C003540,2024-04-26 00:30:00,Shipped,Store,INR,66981.00,13396.20,9645.26,0.00,63230.06,VIP15,Delhi,Karnataka,United Kingdom,2024-04-27 02:30:00
O00000130,C004232,11/24/2025 10:33,Pending,Web,INR,315192.00,31519.20,51061.10,0.00,334733.90,NEW10,Kochi,Karnataka,United Kingdom,2025-11-27 11:33:00
O00000131,C002286,2025-05-08 14:22:00,Delivered,Store,INR,470310.00,16873.60,81618.55,0.00,535054.95,,Hyderabad,England,India,2025-05-11 19:22:00
O00000132,C002429,2025-12-19 22:37:00,Delivered,Mobile,USD,39156.00,0.00,7048.08,0.00,46204.08,,Chennai,West Bengal,India,2025-12-27 11:37:00
O00000133,C003032,2025-07-03 07:33:00,Shipped,Web,INR,10026.00,2005.20,1443.74,0.00,9464.54,APP5,Chennai,England,India,2025-07-11 12:33:00
O00000134,C001268,2024-05-05 04:52:00,Delivered,Store,INR,273256.00,27074.50,44312.67,0.00,290494.17,APP5,Delhi,Maharashtra,India,2024-05-07 19:52:00
O00000135,C001576,2026-01-05 13:28:00,Delivered,Web,INR,23262.00,3915.90,3482.30,0.00,22828.40,NEW10,Toronto,Maharashtra,United States,2026-01-13 06:28:00
O00000136,C001272,2026/03/30 12:24:00,Delivered,Store,INR,22950.00,439.50,4051.89,0.00,26562.39,,Kolkata,Washington,United Kingdom,2026-04-02 11:24:00
O00000137,C001448,2025-13-40,Processing,Marketplace,INR,64074.00,12056.30,9363.19,0.00,61380.89,APP5,Hyderabad,West Bengal,United States,2024-10-09 21:00:00
O00000138,C005743,2024-06-04 07:05:00,Delivered,Marketplace,INR,165971.00,17691.35,26690.34,0.00,174969.99,,Toronto,Tamil Nadu,India,2024-06-05 04:05:00
O00000139,C004372,2024-01-13 05:55:00,Cancelled,Mobile,INR,341045.00,67439.50,49248.99,0.00,322854.49,APP5,Pune,Kerala,India,2024-01-17 07:55:00
O00000140,C002343,04/06/2025 23:13,Processing,Store,INR,336959.00,42523.75,52998.34,0.00,347433.59,APP5,Kolkata,Texas,India,2025-04-15 11:13:00
O00000141,C003694,2025-05-18 19:01:00,Cancelled,Mobile,INR,443356.00,117072.00,58731.12,0.00,385015.12,FESTIVE20,Chennai,Texas,United States,2025-05-26 12:01:00
O00000142,C000891,2024-06-02 17:21:00,Delivered,Marketplace,INR,428678.00,74515.60,63749.23,0.00,417911.63,APP5,Seattle,Delhi,United States,2024-06-08 16:21:00
O00000143,C000066,2025-04-12 21:45:00,Returned,Mobile,INR,5613.00,1122.60,808.27,0.00,5298.67,VIP15,Kochi,Maharashtra,India,2025-04-19 21:45:00
O00000144,C001539,2025-07-25 04:51:00,Delivered,Web,INR,71724.00,3586.20,12264.80,0.00,80402.60,,Hyderabad,West Bengal,United States,2025-07-25 21:51:00
O00000145,C001374,2024-07-15 10:20:00,Delivered,Web,INR,59984.00,0.00,10797.12,0.00,70781.12,,Delhi,Telangana,United States,2024-07-19 01:20:00
O00000146,C005695,2025-08-15 20:18:00,Shipped,Marketplace,INR,384073.00,73799.10,55849.30,0.00,366123.20,NEW10,Toronto,Texas,India,2025-08-24 09:18:00
O00000147,C001046,2024-11-07 03:56:00,Placed,Mobile,INR,179824.00,67445.65,20228.10,0.00,132606.45,FESTIVE20,Seattle,Tamil Nadu,India,2024-11-07 22:56:00
O00000148,C005515,2026-02-16 20:56:00,Processing,Mobile,INR,391805.00,59239.80,59861.74,0.00,392426.94,VIP15,Pune,Telangana,India,2026-02-24 09:56:00
O00000149,C000502,2024-04-25 15:29:00,UNKNOWN,Marketplace,INR,345665.00,69133.00,49775.76,0.00,326307.76,APP5,Hyderabad,Telangana,India,2024-04-28 02:29:00
O00000150,C000006,03/05/2024 13:00,Pending,Web,INR,375870.00,37587.00,60890.94,0.00,399173.94,NEW10,Kochi,England,United Kingdom,2024-03-07 09:00:00
O00000151,C001018,2024-10-02 19:20:00,Delivered,Marketplace,INR,1647.00,494.10,207.52,0.00,1360.42,NEW10,Pune,Washington,India,2024-10-03 23:20:00
O00000152,C003896,2024-12-06 02:21:00,complete,Web,INR,28042.00,5233.20,4105.58,0.00,26914.38,NEW10,Toronto,Tamil Nadu,India,2024-12-13 12:21:00
O00000153,C002326,2026/03/19 05:36:00,Delivered,Marketplace,INR,592802.00,16843.50,103672.53,0.00,679631.03,,Pune,West Bengal,United States,2026-03-24 07:36:00
O00000154,C005625,2025-11-25 03:50:00,Delivered,Store,EUR,414621.00,80600.15,60123.75,0.00,394144.60,VIP15,Chennai,Texas,India,2025-11-26 02:50:00
O00000155,C003685,2025-09-11 07:48:00,Shipped,web,INR,300193.00,60712.30,43106.53,0.00,282587.23,VIP15,Mumbai,Kerala,United Kingdom,2025-09-20 05:48:00
O00000156,C001150,2026-06-03 14:44:00,Delivered,Store,INR,239970.00,46518.90,34821.20,0.00,228272.30,,Seattle,Maharashtra,United States,2026-06-05 13:44:00
O00000157,C002573,2025-07-21 11:15:00,Delivered,Web,INR,109202.00,21840.40,15725.09,0.00,103086.69,FESTIVE20,Austin,Maharashtra,India,2025-07-30 07:15:00
