return_id,order_id,product_id,return_date,return_reason,return_status,refund_amount
RET0000057,O00016180,P00336,2024-03-02,Late Delivery,Approved,9519.39
RET0000058,O00001856,P00651,2026-07-06,Wrong Item,Requested,175087.97
RET0000059,O00011476,P00691,2025-09-09,Late Delivery,Refunded,4035.61
RET0000060,O00020851,P00392,2025-09-05,Late Delivery,Approved,4903.21
RET0000061,O00016475,P00157,2025-08-04,Late Delivery,Requested,6046.88
RET0000062,O00003342,P00615,2025-03-20,Late Delivery,Rejected,781.35
RET0000063,O00023796,P00014,2025-07-06,Changed Mind,Requested,251318.50
RET0000064,O00004996,P00669,2025-02-13,Not as Described,Requested,79808.07
RET0000065,O00000567,P00325,2024-04-13,Wrong Item,Rejected,50648.56
RET0000066,O00012087,P01174,2026-04-18,Damaged,Requested,27272.31
RET0000067,O00020128,P00498,2025-09-26,Late Delivery,Requested,20487.70
RET0000068,O00008883,P00193,2025-05-31,Size Issue,Requested,48856.04
RET0000069,O00000127,P00167,2025-09-23,Quality Issue,Rejected,37897.75
RET0000070,O00019977,P00524,2026-01-11,Quality Issue,Refunded,104169.63
RET0000071,O00019474,P01136,2025-12-30,Quality Issue,Refunded,202147.85
RET0000072,O00006293,P00398,2024-01-26,Damaged,Approved,41446.97
RET0000073,O00022841,P00135,2026-07-02,Damaged,Rejected,42745.05
RET0000074,O00012917,P00654,2025-05-29,Quality Issue,Refunded,72019.39
RET0000075,O00012180,P00037,2024-12-21,Damaged,Refunded,41278.25
RET0000076,O00017697,P00578,2025-10-07,Late Delivery,Rejected,159411.85
RET0000077,O00005083,P00432,2024-02-15,Damaged,Approved,110122.00
RET0000078,O00000261,P00972,2026-01-22,Not as Described,Rejected,23340.71
RET0000079,O00024661,P00237,2024-11-07,Size Issue,Refunded,400688.36
RET0000080,O00012353,P00785,2025-01-22,Not as Described,Approved,4069.30
RET0000081,O00013445,P00979,2025-08-22,Size Issue,Rejected,53896.04
RET0000082,O00007752,P00878,2024-12-21,Wrong Item,Rejected,192812.27
RET0000083,O00002015,P01021,2025-01-22,Late Delivery,Rejected,126249.71
RET0000084,O00018138,P00371,2026-05-07,Not as Described,Rejected,200345.10
RET0000085,O00007533,P00566,2026-01-01,Changed Mind,Refunded,138843.65
RET0000086,O00018268,P00508,2024-05-17,Damaged,Requested,192952.68
RET0000087,O00011843,P00652,2025-05-30,Damaged,Refunded,31009.23
RET0000088,O00021118,P00048,2024-01-30,Changed Mind,Rejected,5906.55
RET0000089,O00004325,P00368,2024-06-14,Not as Described,Rejected,169066.09
RET0000090,O00009100,P00571,2024-07-22,Quality Issue,Approved,63816.45
RET0000091,O00015411,P01039,2024-04-22,Damaged,Requested,218328.61
RET0000092,O00009014,P00912,2026-02-01,Quality Issue,Requested,42390.12
RET0000093,O00005403,P00119,2024-07-27,Damaged,Rejected,333116.56
RET0000094,O00011820,P01148,2026-02-05,Size Issue,Refunded,2278.57
RET0000095,O00010020,P00440,2024-10-28,Late Delivery,Refunded,16380.22
RET0000096,O00005025,P00166,2024-07-01,Damaged,Approved,52482.68
RET0000097,O00020894,P00439,2025-04-12,,Requested,10785.59
RET0000098,O00002157,P00405,2025-06-26,Wrong Item,Rejected,4033.19
RET0000099,O00015379,P01085,2024-08-07,Not as Described,Approved,92383.99
RET0000100,O00020368,P00939,2025-04-17,Quality Issue,Rejected,102702.86
RET0000101,O00002517,P01145,2024-10-20,Not as Described,Rejected,47797.29
RET0000102,O00015694,P00776,2025-06-13,Wrong Item,Rejected,149404.82
RET0000103,O00019864,P00355,2025-07-01,Damaged,Refunded,761.45
RET0000104,O00019249,P01066,2025-06-25,Damaged,Approved,141235.43
RET0000105,O00022294,P00272,2025-10-30,Wrong Item,Refunded,48433.14
RET0000106,O00019204,P00888,2024-10-22,Changed Mind,Requested,2103.86
RET0000107,O00002708,P00594,2024-08-20,Not as Described,Refunded,11200.29
RET0000108,O00007759,P00001,2025-10-26,Damaged,Approved,4092.82
RET0000109,O00000402,P00307,2025-02-17,Quality Issue,Rejected,103605.68
RET0000110,O00002048,P00425,2025-02-01,Size Issue,Requested,130123.99
RET0000111,O00021776,P01001,2026-04-27,Wrong Item,Refunded,90724.78
RET0000112,O00002662,P00232,2024-09-25,Size Issue,Approved,12268.20
RET0000113,O00016810,P00284,2025-07-06,Damaged,Approved,148171.92
RET0000114,O00024573,P00932,2025-01-19,Size Issue,Approved,87323.27
RET0000115,O00000272,P00033,2024-12-21,Wrong Item,Refunded,7103.02
RET0000116,O00002035,P01129,2025-04-13,Size Issue,Refunded,18385.96
RET0000117,O00008722,P00388,2024-08-09,Wrong Item,Requested,212513.88
RET0000118,O00010967,P00670,2025-04-25,Not as Described,Refunded,73447.55
RET0000119,O00016787,P00160,2024-12-04,Late Delivery,Requested,133636.80
RET0000120,O00001843,P00674,2026-02-19,Late Delivery,Requested,56809.94
RET0000121,O00011296,P00993,2024-04-23,Late Delivery,Refunded,37718.66
RET0000122,O00020990,P00496,2024-05-22,Wrong Item,Rejected,26318.89
RET0000123,O00007278,P00771,2025-09-26,Quality Issue,Requested,10011.61
RET0000124,O00019920,P00978,2024-05-12,Wrong Item,Requested,111510.87
RET0000125,O00014549,P00843,2024-05-23,Changed Mind,Refunded,68334.54
RET0000126,O00019917,P00534,2025-11-20,Not as Described,Approved,350767.74
RET0000127,O00022289,P00143,2024-11-21,Quality Issue,Refunded,34872.37
RET0000128,O00023837,P00249,2025-05-12,Size Issue,Refunded,195992.11
RET0000129,O00011400,P00008,2025-04-11,Damaged,Rejected,78230.34
RET0000130,O00016051,P00854,2025-10-23,Size Issue,Rejected,39751.29
RET0000131,O00019605,P00833,2025-07-27,Quality Issue,Rejected,43792.48
RET0000132,O00017562,P00999,2024-02-28,Damaged,Refunded,126074.91
RET0000133,O00010617,P00591,2025-06-16,Quality Issue,Requested,6222.85
RET0000134,O00004172,P01048,2024-03-15,Late Delivery,Refunded,70700.38
RET0000135,O00016606,P00167,2024-05-26,Quality Issue,Rejected,30198.83
RET0000136,O00012515,P01162,2026-03-20,Not as Described,Requested,64328.89
RET0000137,O00013382,P00942,2026-05-12,Not as Described,Approved,126356.42
RET0000138,O00009678,P00685,2024-06-30,Wrong Item,Requested,81527.30
RET0000139,O00023474,P00561,2025-11-17,Quality Issue,Refunded,2324.84
RET0000140,O00002629,P00748,2026-01-13,Changed Mind,Approved,80842.57
RET0000141,O00006609,P01032,2024-09-09,Late Delivery,Refunded,116619.08
RET0000142,O00011956,P00760,2026-02-23,Changed Mind,Rejected,108446.64
RET0000143,O00019187,P00615,2026-02-07,Changed Mind,Refunded,790.31
RET0000144,O00003222,P00646,2026-01-23,Late Delivery,Requested,89962.04
RET0000145,O00009961,P00304,2025-02-25,Quality Issue,Approved,36419.14
RET0000146,O00021614,P00644,2026-05-28,Quality Issue,Requested,18512.46
RET0000147,O00022626,P00560,2024-04-10,Late Delivery,Requested,884.95
RET0000148,O00000038,P00245,2026-05-02,Damaged,Refunded,6667.88
RET0000149,O00021025,P00736,2025-05-06,Not as Described,Approved,88611.54
RET0000150,O00000566,P00267,2026-05-04,Wrong Item,Requested,78892.11
RET0000151,O00017650,P00586,2025-09-22,Wrong Item,Rejected,19877.70
RET0000152,O00003196,P00264,2025-01-26,Size Issue,Requested,109261.87
RET0000153,O00007620,P00433,2025-12-04,Wrong Item,Rejected,26715.65
RET0000154,O00004589,P01071,2025-08-15,Size Issue,Requested,43888.61
RET0000155,O00006965,P00644,2026-03-03,Wrong Item,Rejected,221134.62
RET0000156,O00014434,P01033,2024-10-20,Not as Described,Rejected,2739.80
RET0000157,O00005782,P00201,2026-01-16,Damaged,Rejected,33872.39
RET0000158,O00012005,P00712,2025-06-15,Late Delivery,Requested,188002.39
RET0000159,O00013630,P01084,2024-11-27,Quality Issue,Requested,35637.12
RET0000160,O00020731,P01045,2025-05-28,Wrong Item,Refunded,1124.65
RET0000161,O00000278,P00801,2024-08-31,Wrong Item,Refunded,529137.40
RET0000162,O00013222,P01137,2026-01-05,Quality Issue,Refunded,1416.50
RET0000163,O00020032,P00197,2024-08-11,Wrong Item,Refunded,158048.45
RET0000164,O00022279,P00395,2025-12-13,Quality Issue,Approved,115751.84
RET0000165,O00010015,P00793,2024-07-07,Quality Issue,Requested,31671.70
RET0000166,O00017173,P00620,2025-12-09,Changed Mind,Approved,67478.92
RET0000167,O00003975,P00405,2024-06-12,Quality Issue,Approved,147667.19
RET0000168,O00016106,P00257,2024-03-15,Quality Issue,Requested,78144.95
RET0000169,O00018111,P01166,2024-06-24,Damaged,Rejected,73294.51
RET0000170,O00007676,P01035,2026-04-17,Not as Described,Requested,245106.26
RET0000171,O00023129,P00762,2024-04-19,Changed Mind,Requested,39413.44
RET0000172,O00023354,P00833,2025-12-06,Not as Described,Rejected,11300.49
RET0000173,O99999999,P00452,2026-07-03,Size Issue,Rejected,9894.61
RET0000174,O00016386,P00732,2025-01-18,Not as Described,Requested,77935.88
RET0000175,O00011949,P00210,2025-12-01,Wrong Item,Rejected,56434.66
RET0000176,O00018955,P00604,2025-06-23,Late Delivery,Requested,35527.13
RET0000177,O00015825,P00188,2025-08-11,Wrong Item,Approved,60.60
RET0000178,O00021217,P00195,2025-01-18,Quality Issue,Requested,65953.39
RET0000179,O00015851,P00044,2025-11-01,Changed Mind,Rejected,89400.24
RET0000180,O00008624,P00777,2026-03-07,Late Delivery,Approved,51856.86
RET0000181,O00017042,P99999,2024-01-24,Wrong Item,Refunded,29821.68
RET0000182,O00001017,P00385,2024-07-12,Changed Mind,Rejected,149625.86
RET0000183,O00017179,P00513,2025-07-17,Wrong Item,Approved,111909.72
RET0000184,O00010360,P00814,2025-04-11,Size Issue,Approved,5889.34
RET0000185,O00018313,P00876,2024-10-05,Wrong Item,Rejected,13530.70
RET0000186,O00023804,P00922,2026-06-30,Quality Issue,Refunded,177098.66
RET0000187,O00002518,P00205,2026-05-27,Wrong Item,Refunded,5301.94
RET0000188,O00002107,P00371,2026-02-02,Damaged,Refunded,63777.82
RET0000189,O00016585,P00652,2026-06-29,Wrong Item,Approved,81697.71
RET0000190,O00007353,P00939,2024-08-04,Wrong Item,Rejected,48648.28
RET0000191,O00003372,P00529,2026-02-12,Changed Mind,Refunded,4325.34
RET0000192,O00022276,P00435,2024-08-18,Not as Described,Rejected,63915.09
RET0000193,O00019882,P01022,2024-12-24,Quality Issue,UNKNOWN,193868.53
RET0000194,O00015040,P01002,2024-10-26,,Refunded,10077.31
RET0000195,O00021853,P00903,2026-04-28,Size Issue,Rejected,8017.08
RET0000196,O00002768,P00086,2025-07-23,Changed Mind,Requested,58308.75
RET0000197,O00023231,P00040,2025-09-17,Changed Mind,Rejected,15961.97
RET0000198,O00009617,P00761,2024-08-05,Size Issue,Requested,3553.31
RET0000199,O00016703,P00871,2025-09-27,Quality Issue,Refunded,2337.77
RET0000200,O00007083,P00143,2026-06-04,Damaged,Approved,44534.90
RET0000201,O00022646,P00038,2025-09-21,Quality Issue,Approved,195718.62
RET0000202,O00020743,P00638,2026-03-17,Changed Mind,Requested,14955.98
RET0000203,O00004829,P01170,2026-03-27,Wrong Item,Refunded,796.51
RET0000204,O00006587,P00969,2025-03-25,Changed Mind,Approved,48295.64
RET0000205,O00023049,P00433,2024-05-04,Wrong Item,Approved,259134.26
RET0000206,O00014810,P00072,2024-08-30,Late Delivery,Refunded,10611.98
RET0000207,O00010351,P00176,2025-04-27,Size Issue,Refunded,109969.10
RET0000208,O00014353,P00329,2025-08-11,Damaged,Requested,24560.81
RET0000209,O00003701,P01089,2026-03-02,Wrong Item,Refunded,177132.34
RET0000210,O00020346,P00366,2026-02-18,Quality Issue,Refunded,2630.36
RET0000211,O00005148,P00125,2025-11-24,Quality Issue,Approved,-10
RET0000212,O00015694,P00776,2025-06-04,Size Issue,Approved,266663.07
RET0000213,O00015980,P00625,2025-05-08,Wrong Item,Approved,19029.90
RET0000214,O00017748,P01100,2026-04-06,Not as Described,Requested,2477.03
RET0000215,O00004382,P00682,2025-01-31,Late Delivery,Rejected,17854.73
RET0000216,O00012992,P00086,2025-02-27,Damaged,Approved,6923.98
RET0000217,O00005544,P00394,2024-03-30,Changed Mind,Requested,810.74
RET0000218,O00005590,P00914,2026-07-20,Not as Described,Approved,226591.99
RET0000219,O00006293,P00398,2024-01-19,Quality Issue,Refunded,53341.99
RET0000220,O00010885,P00277,2025-12-18,Size Issue,Rejected,51037.15
RET0000221,O00019412,P00040,2026-05-22,Size Issue,Refunded,14409.61
RET0000222,O00011562,P00798,2024-07-17,Late Delivery,Refunded,38963.19
RET0000223,O00005575,P00699,2026-06-04,Late Delivery,Rejected,103532.44
RET0000224,O00001494,P00820,2025-01-23,Damaged,Requested,353428.73
RET0000225,O00012352,P00500,2025-06-21,Damaged,Refunded,15605.32
RET0000226,O00021489,P01007,2025-08-15,Not as Described,Rejected,35349.66
RET0000227,O00022805,P01115,2024-06-11,Changed Mind,Refunded,31611.31
RET0000228,O00012143,P01051,2024-05-01,Damaged,Rejected,136751.04
BADRET229,O00004931,P00155,2024-04-16,Not as Described,Rejected,150167.24
RET0000230,O00002509,P00991,2025-09-12,Quality Issue,Requested,18918.95
RET0000231,O00023207,P00319,2025-01-24,Not as Described,Refunded,84712.18
RET0000232,O00012870,P00805,2025-12-27,Quality Issue,Requested,3068.07
RET0000233,O00004979,P01063,2025-02-23,Wrong Item,Rejected,1985.63
RET0000234,O00023825,P00402,2025-06-15,Late Delivery,Approved,154138.78
RET0000235,O00023413,P00929,2026-04-03,Quality Issue,Requested,24688.43
RET0000236,O00003701,P00330,2026-03-06,Quality Issue,Refunded,173913.96
RET0000237,O00000507,P00112,2024-08-09,Late Delivery,Rejected,9808.52
RET0000238,O00009838,P01153,2026-02-19,Changed Mind,Approved,45624.35
RET0000239,O00022973,P00649,2026-03-18,Not as Described,Refunded,5083.62
RET0000240,O00008557,P00856,2024-06-27,Size Issue,Refunded,4823.15
RET0000241,O00017138,P01040,2026-05-19,Damaged,Requested,125075.99
RET0000242,O00005846,P01108,2025-12-29,Late Delivery,Requested,993.68
RET0000243,O00022391,P00897,2026-07-07,Quality Issue,Rejected,58758.79
RET0000244,O00024148,P00334,2024-10-18,Wrong Item,Rejected,106121.42
RET0000245,O00010750,P00472,2024-05-20,Size Issue,Requested,3901.89
RET0000246,O00011567,P00181,2026-02-17,Late Delivery,Refunded,33365.14
RET0000247,O00005700,P00670,2025-03-27,Late Delivery,Requested,63804.15
RET0000248,O00018074,P00238,2024-09-26,Damaged,Refunded,150342.01
RET0000249,O00005068,P00632,2026-01-23,Wrong Item,Requested,114782.83
RET0000250,O00013608,P01025,2026-01-25,Wrong Item,Requested,28209.20
RET0000251,O00010984,P00490,2025-03-05,Damaged,Requested,105763.72
RET0000252,O00021259,P01127,2026-02-25,Quality Issue,Refunded,592.78
RET0000253,O00001766,P00025,2025-04-15,Changed Mind,Refunded,403873.15
RET0000254,O00002868,P01028,2024-07-25,Damaged,Requested,64404.77
RET0000255,O00024678,P01037,2025-01-18,Quality Issue,Rejected,1731.77
RET0000256,O00020565,P01168,2025-09-26,Not as Described,Approved,130044.08
RET0000257,O00020559,P00641,2024-12-19,Not as Described,Refunded,96075.85
RET0000258,O00012420,P01017,2025-04-03,Not as Described,Refunded,33169.56
RET0000259,O00010137,P00267,2024-05-13,Changed Mind,Approved,13437.02
RET0000260,O00000885,P00003,2025-04-04,Wrong Item,Requested,215965.67
RET0000261,O00012945,P00223,2025-01-12,Late Delivery,Approved,163945.63
RET0000262,O00006827,P00143,2024-06-11,Size Issue,Requested,788.03
RET0000263,O00021516,P00266,2025-01-03,Late Delivery,Approved,1082.22
RET0000264,O00017724,P00412,2024-02-13,Wrong Item,Rejected,47648.36
RET0000265,O00006158,P00183,2024-10-16,Quality Issue,Rejected,7353.69
RET0000266,O00004800,P00063,2025-09-05,Late Delivery,Refunded,61779.13
RET0000267,O00014542,P00351,2024-12-04,Changed Mind,Refunded,89728.24
RET0000268,O00010862,P00152,2025-12-22,Wrong Item,Requested,46852.62
RET0000269,O00006721,P00870,2025-07-02,Size Issue,Refunded,245902.34
RET0000270,O00009607,P01088,2025-09-09,Late Delivery,Requested,6263.32
RET0000271,O00017747,P00065,2024-05-15,Wrong Item,Rejected,101191.86
RET0000272,O00023428,P00658,2025-07-15,Wrong Item,Rejected,11592.41
RET0000273,O00004324,P00941,2026-01-24,Wrong Item,Refunded,1642.50
RET0000274,O00002882,P01067,2024-07-12,Quality Issue,Refunded,130179.13
RET0000275,O00015846,P00674,2024-04-13,Not as Described,Approved,17673.24
RET0000276,O00005203,P00463,2025-08-22,Wrong Item,Refunded,73355.35
RET0000277,O00006167,P00120,2025-08-27,Size Issue,Refunded,2783.18
RET0000278,O00002649,P00403,2026-03-30,Late Delivery,Requested,13346.47
RET0000279,O00007562,P00351,2025-05-17,Late Delivery,Rejected,47346.80
RET0000280,O00003905,P00803,2025-11-02,Damaged,Requested,3080.55
RET0000281,O00010437,P00409,2024-11-15,Late Delivery,Refunded,147162.72
RET0000282,O00004828,P00368,2026-05-08,Size Issue,Approved,26672.61
RET0000283,O00006238,P00325,2026-04-05,Late Delivery,Rejected,12648.64
RET0000284,O00007789,P00633,2025-03-14,Late Delivery,Rejected,12393.08
RET0000285,O00021962,P00751,2025-10-22,Wrong Item,Refunded,27923.67
RET0000286,O00001501,P00502,2024-06-16,Quality Issue,Requested,91165.95
RET0000287,O00024406,P01083,2024-08-29,Wrong Item,Requested,1908.86
RET0000288,O00017366,P00677,2024-07-19,Damaged,Rejected,710.72
RET0000289,O00006511,P00367,2025-05-16,Changed Mind,Refunded,37778.24
RET0000290,O00024192,P00473,2024-07-13,Wrong Item,Approved,15583.34
RET0000291,O00022572,P00896,2026-04-30,,Rejected,1635.69
RET0000292,O00024624,P00495,2024-03-19,Late Delivery,Requested,62947.48
RET0000293,O00005181,P00520,2025-05-24,Late Delivery,Rejected,43400.42
RET0000294,O00003663,P00246,2024-09-16,Late Delivery,Rejected,2283.74
RET0000295,O00015272,P00552,2025-03-12,Changed Mind,Rejected,30303.16
RET0000296,O00002381,P00761,2026-03-15,Quality Issue,Approved,2053.91
RET0000297,O00020489,P00633,2024-08-25,Changed Mind,Rejected,183023.26
RET0000298,O00005964,P01172,2024-12-05,Late Delivery,Rejected,390415.07
RET0000299,O00019536,P00969,2026-02-08,Not as Described,Approved,90958.69
RET0000300,O00003010,P01166,2025-03-04,Not as Described,Rejected,38646.96
RET0000301,O00004696,P00980,2025-07-04,Late Delivery,Refunded,2769.45
RET0000302,O00011913,P00285,2024-09-13,Not as Described,Approved,20940.52
RET0000303,O00002975,P00537,2026-02-13,Not as Described,Approved,241029.08
RET0000304,O00020053,P00267,2024-05-02,Size Issue,Approved,2349.34
RET0000305,O00019245,P00637,2024-06-07,Changed Mind,Rejected,57472.39
RET0000306,O00019373,P00669,2024-10-05,Not as Described,Refunded,63489.12
RET0000307,O00011379,P00503,2024-10-21,Not as Described,Requested,195878.53
RET0000308,O00015119,P00753,2024-07-21,Damaged,Rejected,291805.36
RET0000309,O00021086,P00329,2025-02-03,Late Delivery,Refunded,127916.52
RET0000310,O00023540,P00815,2024-10-20,Quality Issue,Requested,262257.93
RET0000311,O00022993,P00408,2026-03-15,Changed Mind,Requested,24492.24
RET0000312,O00015719,P00993,2024-01-07,Size Issue,Approved,8066.66
RET0000313,O00002286,P00897,2025-03-26,Not as Described,Refunded,488210.55
RET0000314,O00004377,P00927,2024-02-02,Size Issue,Refunded,78137.29
RET0000315,O00018087,P00302,2025-05-25,Quality Issue,Requested,65711.03
RET0000316,O00002854,P00253,2026-07-22,Not as Described,Approved,415872.28
RET0000317,O00007965,P01154,2026-05-13,Wrong Item,Requested,73977.96
RET0000318,O00018851,P00114,2024-05-01,Changed Mind,Requested,16930.47
RET0000319,O00018588,P00732,2025-07-16,Changed Mind,Refunded,37814.80
RET0000320,O00012153,P01167,2024-08-06,Quality Issue,Rejected,127146.04
RET0000321,O00006510,P01131,2026-02-19,Quality Issue,Rejected,2934.98
RET0000322,O00016273,P00919,2024-09-05,Not as Described,Rejected,66182.44
RET0000323,O00015640,P01097,2025-10-24,Wrong Item,Requested,5006.13
RET0000324,O00005048,P01176,2026-01-30,Size Issue,Rejected,155114.79
RET0000325,O00003520,P00287,2025-10-13,Size Issue,Refunded,1202.17
RET0000326,O00002829,P00775,2024-12-27,Changed Mind,Requested,15074.63
RET0000327,O00011827,P00685,2025-04-27,Quality Issue,Rejected,64940.85
RET0000328,O00012358,P01104,2026-05-20,Damaged,Refunded,11084.12
RET0000329,O00022660,P00934,2024-03-26,Size Issue,Approved,2164.95
RET0000330,O00014740,P00739,2026-06-03,Damaged,Approved,194172.34
RET0000331,O00000822,P00291,2025-04-22,Quality Issue,Rejected,81217.46
RET0000332,O00020388,P00973,2025-08-15,Wrong Item,Refunded,81733.52
RET0000333,O00000497,P00752,2025-05-05,Late Delivery,Refunded,215999.81
RET0000334,O00005080,P00075,2025-01-03,Not as Described,Refunded,61468.97
RET0000335,O00020099,P00066,2025-08-16,Not as Described,Rejected,43757.42
RET0000336,O00006468,P00561,2024-05-02,Size Issue,Refunded,3528.97
RET0000337,O00010259,P00575,2024-02-08,Not as Described,Refunded,84897.90
RET0000338,O00008909,P00257,2026-04-27,Wrong Item,Rejected,22678.39
RET0000339,O00012023,P00680,2026-02-23,Not as Described,Approved,33621.24
RET0000340,O00006438,P00661,2026-06-19,Wrong Item,Approved,11363.09
RET0000341,O00015393,P00902,2024-08-31,Size Issue,Requested,6613.41
RET0000342,O00014076,P00440,2024-09-28,Damaged,Approved,124636.05
RET0000343,O00019881,P00711,2025-01-25,Late Delivery,Refunded,5133.19
RET0000344,O00021690,P00023,2025-04-02,Wrong Item,Rejected,423332.54
RET0000345,O00014222,P00502,2024-04-18,Late Delivery,Rejected,117875.72
RET0000346,O99999999,P00755,2024-12-24,Quality Issue,Approved,40649.79
RET0000347,O00005472,P00350,2026-02-15,Late Delivery,Rejected,173784.76
RET0000348,O00009202,P00252,2025-10-08,Changed Mind,Refunded,15842.28
RET0000349,O00001148,P00048,2025-01-31,Wrong Item,Rejected,43845.11
RET0000350,O00004710,P00947,2026-02-03,Not as Described,Rejected,25384.34
RET0000351,O00001404,P00222,2024-08-09,Changed Mind,Rejected,69176.02
RET0000352,O00023772,P00869,2025-01-24,Size Issue,Requested,6014.49
RET0000353,O00004768,P01152,2026-05-14,Damaged,Rejected,1472.88
RET0000354,O00017560,P00848,2025-12-27,Late Delivery,Requested,22259.12
RET0000355,O00015735,P01052,2025-07-15,Wrong Item,Approved,12974.62
RET0000356,O00004037,P00679,2025-12-23,Damaged,Refunded,63101.09
RET0000357,O00022661,P01022,2025-05-12,Damaged,Rejected,217787.55
RET0000358,O00004029,P00440,2026-02-25,Wrong Item,Requested,28095.62
RET0000359,O00019220,P00915,2025-09-06,Size Issue,Refunded,30960.30
RET0000360,O00014256,P00997,2024-03-27,Late Delivery,Requested,17463.89
RET0000361,O00008490,P00354,2024-05-18,Wrong Item,Rejected,44011.11
RET0000362,O00022047,P99999,2025-10-26,Wrong Item,Approved,53071.92
RET0000363,O00008600,P00042,2025-08-01,Changed Mind,Rejected,118671.92
RET0000364,O00009055,P00508,2025-05-25,Late Delivery,Requested,59246.34
RET0000365,O00012903,P00436,2025-05-13,Wrong Item,Approved,5111.71
RET0000366,O00009280,P00448,2025-02-09,Not as Described,Rejected,65051.09
RET0000367,O00000383,P00576,2025-09-15,Not as Described,Approved,282910.55
