product_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity,supplier_id,product_rating,created_date,is_active
P00065,Orbit Men Model 65,Fashion,Men,Orbit,56193.00,29724.53,454,S0055,4.4,2021-05-03,N
P00066,Pixel Outdoor Model 66,Sports,Outdoor,Pixel,44782.00,21264.39,468,S0032,2.8,2023-10-17,0
P00067,Orbit Technology Model 67,Books,Technology,Orbit,2563.00,1636.78,-5,S0088,4.5,2025-09-03,1
P00068,PrimeFit Fitness Model 68,Sports,Fitness,PrimeFit,10386.00,5906.04,762,S0051,3.5,2024-06-06,Yes
P00069,Orbit Mobiles Model 69,Electronics,Mobiles,Orbit,20103.00,13907.89,850,S0059,4.7,2021-11-14,N
P00070,Nova Snacks Model 70,Grocery,Snacks,Nova,1053.00,855.68,60,S0013,3.8,2022-02-13,1
P00071,HomeCraft Bags Model 71,,Bags,HomeCraft,12136.00,8565.60,990,S0076,4.6,2023-01-29,false
P00072,Zenith Fiction Model 72,Books,Fiction,Zenith,4460.00,3263.12,545,S0098,2.7,2021-12-27,N
P00073,Swift Accessories Model 73,Electronics,Accessories,Swift,1605.00,913.73,96,S0062,4.9,2023-07-18,No
P00074,Orbit Audio Model 74,Electronics,Audio,Orbit,46716.00,24314.18,73,S0045,3.9,2021-07-06,false
P00075,Zenith Household Model 75,Grocery,Household,Zenith,2307.00,1501.94,486,S0016,3.8,2022-04-04,1
P00076,Swift Mobiles Model 76,Electronics,Mobiles,Swift,3603.00,1938.35,728,S0052,3.3,2022-03-17,No
P00077,HomeCraft Outdoor Model 77,Sports,Outdoor,HomeCraft,10814.00,6738.33,835,S0075,4.8,2021-06-30,Yes
P00078,GlowCare Outdoor Model 78,Sports,Outdoor,GlowCare,13166.00,9157.54,867,S0006,4.9,2023-07-07,Yes
P00079,Swift Skin Care Model 79,Beauty,Skin Care,Swift,3208.00,2236.54,323,S0090,2.5,2022-06-21,0
P00080,Apex Staples Model 80,Grocery,Staples,Apex,3427.00,2552.86,421,S0079,3.5,2024-09-18,Yes
P00081,Swift Yoga Model 81,Sports,Yoga,Swift,29940.00,22876.75,941,S0014,2.8,2025-02-16,No
P00082,HomeCraft Audio Model 82,Electronics,Audio,HomeCraft,57368.00,34298.39,37,S0006,3.0,2023-04-03,N
P00083,Apex Technology Model 83,Books,Technology,Apex,-250.00,2699.69,667,S0006,4.6,2021-04-16,0
P00084,Zenith Appliances Model 84,Home,Appliances,Zenith,34628.00,23880.77,10,S0028,4.1,2024-05-25,No
P00085,PrimeFit Skin Care Model 85,Beauty,Skin Care,PrimeFit,3898.00,1798.17,968,S0037,3.0,2025-03-23,No
P00086,PrimeFit Education Model 86,Books,Education, primefit ,3049.00,2050.24,515,S0056,3.3,2025-04-17,true
P00087,GreenLeaf Household Model 87,Grocery,Household,GreenLeaf,1144.00,555.79,192,S0086,3.6,2024-03-14,Yes
P00088,GlowCare Women Model 88,Fashion,Women,GlowCare,4383.00,2201.32,911,S0065,4.6,2022-04-09,0
P00089,GreenLeaf Watches Model 89,Fashion,Watches,GreenLeaf,67832.00,51497.72,382,S0097,4.9,2021-04-26,Yes
P00090,GlowCare Footwear Model 90,Fashion,Footwear,GlowCare,64781.00,35822.94,782,S0046,3.2,2022-03-31,N
P00091,Pixel Fragrance Model 91,Beauty,Fragrance,Pixel,4259.00,2881.10,565,S0072,4.6,2022-05-17,0
P00092,HomeCraft Cameras Model 92,Electronics,Cameras,HomeCraft,53244.00,24497.43,402,S0090,3.9,2021-10-04,Yes
P00093,HomeCraft Footwear Model 93,Fashion,Footwear,HomeCraft,43101.00,32522.10,561,S0029,3.7,2021-01-01,1
P00094,BookNest Accessories Model 94,Electronics,Accessories,BookNest,3557.00,1933.84,667,S0076,3.5,2021-04-29,N
P00095,PrimeFit Children Model 95,Books,Children,PrimeFit,2623.00,2082.63,854,S0051,4.5,2021-07-09,No
P00096,UrbanCo Snacks Model 96,Grocery,Snacks,UrbanCo,4331.00,2386.90,995,S0074,3.2,2022-01-02,No
P00097,PrimeFit Personal Care Model 97,Beauty,Personal Care,PrimeFit,2553.00,1449.56,400,S0077,4.3,2021-10-23,0
P00098,UrbanCo Makeup Model 98,Beauty,Makeup,UrbanCo,4555.00,3383.07,507,S0046,3.5,2021-02-13,1
P00099,Apex Watches Model 99,Fashion,Watches,Apex,17053.00,10664.86,905,S0026,4.1,2022-12-25,true
P00100,HomeCraft Outdoor Model 100,Sports,Outdoor,HomeCraft,57169.00,32043.34,236,S0072,4.8,2023-11-04,1
P00101,Apex Audio Model 101,Electronics,Audio,Apex,14092.00,7277.47,251,S0098,6.5,2025-12-06,Yes
P00102,Zenith Yoga Model 102,Sports,Yoga,Zenith,19024.00,12047.33,775,S0076,2.5,2023-12-28,Yes
P00103,Apex Men Model 103,Fashion,Men,Apex,65213.00,48752.86,580,S0058,4.3,2022-06-23,Yes
P00104,Nova Fitness Model 104,Sports,Fitness,Nova,17056.00,12962.57,190,S0021,3.8,2022-09-18,true
P00105,UrbanCo Team Sports Model 105,Sports,Team Sports,UrbanCo,42301.00,31189.10,692,S0036,3.2,2024-07-21,false
P00106,BookNest Team Sports Model 106,Sports,Team Sports,BookNest,47203.00,28803.78,473,S0019,2.9,2023-07-18,0
P00107,BookNest Staples Model 107,Grocery,Staples,BookNest,2995.00,1887.73,942,S0083,3.1,2022-01-27,Y
P00108,Apex Organic Model 108,Grocery,Organic,Apex,1202.00,962.22,56,S0070,4.7,2025-06-03,No
P00109,GreenLeaf Cycling Model 109,Sports,Cycling,GreenLeaf,9069.00,5459.77,many,S0001,4.0,2023-02-16,Yes
P00110,Swift Audio Model 110,Electronics,Audio,Swift,58636.00,29624.69,882,S0013,3.6,2025-07-25,N
P00111,GreenLeaf Staples Model 111,Grocery,Staples,GreenLeaf,4646.00,2106.24,315,S0072,2.9,2021-09-10,Y
P00112,BookNest Skin Care Model 112,Beauty,Skin Care,BookNest,468.00,220.94,14,S0040,3.0,2022-06-25,false
P00113,HomeCraft Bedding Model 113,Home,Bedding,HomeCraft,58714.00,46685.32,481,S0016,4.4,2022-12-20,Yes
P00114,BookNest Fitness Model 114,Sports,Fitness,BookNest,13635.00,9989.85,66,S0013,4.6,2024-07-09,false
P00115,Nova Kitchen Model 115,Home,Kitchen,Nova,44234.00,36056.40,373,S0027,3.8,2024-10-09,true
P00116,BookNest Watches Model 116,Fashion,Watches,BookNest,25638.00,16738.12,141,S0016,4.1,2022-10-21,1
P00117,Nova Furniture Model 117,Home,Furniture,Nova,19980.00,15384.19,146,S0054,4.5,2025-12-15,false
P00118,GlowCare Fragrance Model 118,Beauty,Fragrance,GlowCare,FREE,2418.77,532,S0037,3.4,2023-12-05,N
P00119,Swift Bags Model 119,Fashion,Bags,Swift,65661.00,32819.55,851,S0065,4.4,2025-06-03,Y
P00120,GlowCare Makeup Model 120,Beauty,Makeup,GlowCare,2540.00,1324.09,473,S0072,3.7,2021-07-21,Yes
P00121,Orbit Men Model 121,Fashion,Men,Orbit,44141.00,34393.86,467,S0042,4.7,2025-06-23,No
P00122,BookNest Outdoor Model 122,Sports,Outdoor,BookNest,71846.00,49056.05,263,S0028,4.4,2023-04-25,1
P00123,BookNest Snacks Model 123,Grocery,Snacks,BookNest,4624.00,2700.36,619,S0005,4.1,2023-08-13,1
P00124,GreenLeaf Outdoor Model 124,Sports,Outdoor,GreenLeaf,33042.00,26392.81,970,S0092,2.6,2022-09-17,1
P00125,HomeCraft Women Model 125,Fashion,Women,HomeCraft,70428.00,31879.57,579,S0009,4.9,2024-03-29,Yes
P00126,Nova Children Model 126,Books,Children,Nova,1079.00,824.25,738,S0003,2.7,2023-12-09,N
P00127,GreenLeaf Footwear Model 127,Fashion,Footwear,GreenLeaf,25732.00,12270.03,751,S0056,3.9,2022-06-16,Yes
P00128,GlowCare Decor Model 128,Home,Decor,GlowCare,59268.00,27880.58,574,S0017,4.3,2024-12-10,Y
P00129,GreenLeaf Fiction Model 129,Books,Fiction, greenleaf ,4955.00,3352.73,739,S0097,4.5,2021-09-06,false
P00130,PrimeFit Kitchen Model 130,Home,Kitchen,PrimeFit,22679.00,12872.28,488,S0001,4.7,2022-04-26,No
P00131,Apex Education Model 131,Books,Education,Apex,375.00,264.54,67,S0068,3.2,2023-08-28,Yes
P00132,GlowCare Organic Model 132,Grocery,Organic,GlowCare,2640.00,1726.30,504,S0055,3.0,2023-06-12,false
P00133,Orbit Cameras Model 133,Electronics,Cameras,Orbit,9113.00,4414.74,716,S0065,3.4,2024-10-31,N
P00134,GlowCare Fiction Model 134,Books,Fiction,GlowCare,2278.00,1719.19,-5,S0062,3.5,2022-07-01,N
P00135,Apex Staples Model 135,Grocery,Staples,Apex,3100.00,2504.65,546,S0095,2.7,2021-02-03,Yes
P00136,PrimeFit Yoga Model 136,Sports,Yoga,PrimeFit,53329.00,25088.24,971,S0009,3.6,2023-02-05,Y
P00137,Nova Snacks Model 137,Grocery,Snacks,Nova,4288.00,5145.60,206,S0070,4.2,2022-03-28,0
P00138,UrbanCo Footwear Model 138,Fashion,Footwear,UrbanCo,75844.00,34842.56,651,S0057,2.7,2022-06-20,0
P00139,Swift Cycling Model 139,Sports,Cycling,Swift,25605.00,17010.27,204,S0055,3.3,2022-05-30,Yes
P00140,UrbanCo Fiction Model 140,Books,Fiction,UrbanCo,354.00,262.73,784,S0024,4.3,2023-12-15,Y
P00141,UrbanCo Furniture Model 141,Home,Furniture,UrbanCo,40750.00,25755.46,76,S0082,4.4,2022-10-01,true
P00142,Swift Team Sports Model 142,,Team Sports,Swift,50568.00,26175.16,492,S0007,2.6,2022-10-25,true
P00143,Nova Bedding Model 143,Home,Bedding,Nova,2754.00,1383.05,660,S0095,3.4,2024-06-14,false
P00144,BookNest Outdoor Model 144,Sports,Outdoor,BookNest,46400.00,36569.31,510,S0050,3.2,2024-09-13,0
P00145,Nova Education Model 145,Books,Education,Nova,2173.00,1657.42,481,S0058,3.2,2023-05-22,No
P00146,PrimeFit Hair Care Model 146,Beauty,Hair Care,PrimeFit,3616.00,2760.36,827,S0025,3.7,2021-03-13,No
P00147,PrimeFit Men Model 147,Fashion,Men,PrimeFit,33599.00,17254.25,181,S0097,4.7,2021-05-10,N
P00148,Apex Personal Care Model 148,Beauty,Personal Care,Apex,266.00,127.63,383,S0039,3.1,2023-01-21,true
P00149,GlowCare Furniture Model 149,Home,Furniture,GlowCare,55583.00,35865.72,957,S0017,4.7,2022-12-05,0
P00150,Pixel Men Model 150,Fashion,Men,Pixel,26009.00,18658.64,931,S0007,4.4,2025-01-15,0
P00151,Orbit Decor Model 151,Home,Decor,Orbit,48333.00,23778.56,45,S0067,5.0,2023-08-04,N
P00152,GlowCare Appliances Model 152,Home,Appliances,GlowCare,35995.00,28814.48,240,S0037,4.3,2022-06-04,Y
P00153,UrbanCo Men Model 153,Fashion,Men,UrbanCo,73868.00,40570.25,502,S0037,4.6,2022-08-30,Yes
P00154,HomeCraft Technology Model 154,Books,Technology,HomeCraft,2994.00,2047.19,634,S0080,4.9,2021-10-02,0
P00155,Zenith Laptops Model 155,Electronics,Laptops,Zenith,71978.00,47017.32,221,S0065,4.2,2024-07-31,Yes
P00156,Nova Education Model 156,Books,Education,Nova,3358.00,1571.52,916,S0030,4.3,2024-05-30,true
P00157,GreenLeaf Skin Care Model 157,Beauty,Skin Care,GreenLeaf,3053.00,1376.00,658,S0088,2.5,2021-11-17,N
P00158,PrimeFit Team Sports Model 158,Sports,Team Sports,PrimeFit,25775.00,20942.89,873,S0054,4.3,2023-06-01,N
P00159,GlowCare Education Model 159,Books,Education,GlowCare,835.00,455.55,51,S0098,4.4,2022-09-01,No
P00160,HomeCraft Audio Model 160,Electronics,Audio,HomeCraft,65318.00,52748.69,2,S0032,3.4,2022-08-29,true
P00161,GlowCare Household Model 161,Grocery,Household,GlowCare,2051.00,969.77,484,S0088,2.9,2022-08-31,Y
P00162,Zenith Kitchen Model 162,Home,Kitchen,Zenith,34167.00,19048.63,846,S0056,3.6,2023-01-09,true
P00163,Pixel Snacks Model 163,Grocery,Snacks,Pixel,2795.00,1443.18,418,S0009,4.2,2025-12-21,0
P00164,GreenLeaf Makeup Model 164,Beauty,Makeup,GreenLeaf,2168.00,1182.32,948,S0002,3.5,2023-06-10,N
P00165,Nova Bedding Model 165,Home,Bedding,Nova,76851.00,51793.58,660,S0044,2.9,2022-04-01,N
P00166,Swift Beverages Model 166,Grocery,Beverages,Swift,-250.00,1409.51,853,S0019,3.0,2022-05-04,Y
P00167,HomeCraft Fiction Model 167,Books,Fiction,HomeCraft,3781.00,2628.86,395,S0062,2.7,2021-07-13,false
P00168,HomeCraft Fragrance Model 168,Beauty,Fragrance,HomeCraft,1100.00,767.74,979,S0033,4.8,2021-03-15,true
P00169,GlowCare Laptops Model 169,Electronics,Laptops,GlowCare,2913.00,1388.62,899,S0082,3.6,2025-10-13,false
P00170,BookNest Fitness Model 170,Sports,Fitness,BookNest,52885.00,42954.04,820,S0001,4.3,2022-01-22,Yes
P00171,BookNest Audio Model 171,Electronics,Audio,BookNest,16199.00,9802.78,583,S0052,3.6,2023-12-25,true
P00172,Nova Organic Model 172,Grocery,Organic, nova ,1040.00,717.36,10,S0003,3.1,2025-08-29,false
P00173,Pixel Organic Model 173,Grocery,Organic,Pixel,2758.00,2066.66,428,S0004,2.8,2022-03-04,true
P00174,UrbanCo Team Sports Model 174,Sports,Team Sports,UrbanCo,42930.00,21989.47,552,S0075,4.8,2022-08-07,1
P00175,PrimeFit Footwear Model 175,Fashion,Footwear,PrimeFit,68868.00,47256.52,389,S0007,4.7,2021-07-27,1
P00176,BookNest Business Model 176,Books,Business,BookNest,4520.00,3482.85,878,S0098,3.9,2022-06-04,1
P00177,Apex Organic Model 177,Grocery,Organic,Apex,FREE,2648.00,321,S0012,3.0,2021-09-15,N
P00178,Swift Laptops Model 178,Electronics,Laptops,Swift,47005.00,37089.01,940,S0089,3.3,2025-12-03,Yes
P00179,HomeCraft Children Model 179,Books,Children,HomeCraft,3511.00,2626.94,353,S0087,4.2,2024-07-04,true
P00180,GreenLeaf Kitchen Model 180,Home,Kitchen,GreenLeaf,65117.00,31875.69,967,S0011,3.7,2025-08-10,Yes
P00181,PrimeFit Laptops Model 181,Electronics,Laptops,PrimeFit,15947.00,12844.45,561,S0052,3.8,2024-07-23,1
P00182,PrimeFit Organic Model 182,Grocery,Organic,PrimeFit,2494.00,1703.11,702,S0012,3.7,2024-05-24,true
P00183,GlowCare Snacks Model 183,Grocery,Snacks,GlowCare,4808.00,3292.05,410,S0014,4.0,2022-03-28,true
P00184,GreenLeaf Outdoor Model 184,Sports,Outdoor,GreenLeaf,41296.00,21792.88,483,S0047,2.8,2024-01-06,true
P00185,PrimeFit Technology Model 185,Books,Technology,PrimeFit,1002.00,722.19,813,S0001,2.5,2022-01-24,Y
P00186,GreenLeaf Mobiles Model 186,Electronics,Mobiles,GreenLeaf,37353.00,28780.15,239,S0009,3.2,2022-07-27,true
P00187,Pixel Organic Model 187,Grocery,Organic,Pixel,2799.00,1413.45,598,S0035,3.8,2025-01-07,0
P00188,Pixel Household Model 188,Grocery,Household,Pixel,130.00,97.35,107,S0018,2.7,2023-05-27,No
P00189,Apex Business Model 189,Books,Business,Apex,3002.00,2270.65,720,S0090,2.8,2025-09-19,Yes
P00190,Pixel Snacks Model 190,Grocery,Snacks,Pixel,4994.00,3519.16,948,S0070,3.5,2024-09-12,No
P00191,Swift Household Model 191,Grocery,Household,Swift,1158.00,640.78,147,S0034,3.4,2021-03-16,false
P00192,Pixel Mobiles Model 192,Electronics,Mobiles,Pixel,54630.00,37457.31,541,S0012,3.5,2024-10-12,false
P00193,Nova Watches Model 193,Fashion,Watches,Nova,39379.00,31688.72,332,S0091,3.8,2025-12-23,Y
P00194,Pixel Skin Care Model 194,Beauty,Skin Care,Pixel,1184.00,879.10,678,S0040,5.0,2023-12-21,No
P00195,Zenith Cycling Model 195,Sports,Cycling,Zenith,37454.00,30008.25,771,S0095,5.0,2021-07-27,No
P00196,Zenith Snacks Model 196,Grocery,Snacks,Zenith,3013.00,2010.41,726,S0046,4.9,2021-09-29,N
P00197,Zenith Cycling Model 197,Sports,Cycling,Zenith,35871.00,17083.67,243,S0026,3.1,2024-11-21,false
P00198,Orbit Fitness Model 198,Sports,Fitness,Orbit,40045.00,19987.35,607,S0037,4.5,2025-08-30,0
P00199,Nova Furniture Model 199,Home,Furniture,Nova,75249.00,34930.99,766,S0056,4.4,2022-09-27,false
P00200,Swift Technology Model 200,Books,Technology,Swift,4661.00,2098.20,463,S0040,2.8,2025-01-19,Yes
P00201,BookNest Children Model 201,Books,Children,BookNest,2708.00,1822.70,-5,S0050,3.4,2025-12-09,true
P00202,Zenith Furniture Model 202,Home,Furniture,Zenith,59064.00,36689.15,124,S0018,6.5,2021-12-05,Yes
P00203,UrbanCo Watches Model 203,Fashion,Watches,UrbanCo,65243.00,44715.37,61,S0009,2.5,2024-09-21,true
P00204,Apex Beverages Model 204,Grocery,Beverages,Apex,4266.00,2444.65,713,S0053,3.2,2024-02-11,Y
P00205,GreenLeaf Decor Model 205,Home,Decor,GreenLeaf,35862.00,25978.13,111,S0094,3.3,2025-07-02,0
P00206,Nova Men Model 206,Fashion,Men,Nova,27639.00,18891.75,822,S0076,3.4,2025-06-24,Yes
P00207,HomeCraft Yoga Model 207,Sports,Yoga,HomeCraft,66596.00,49229.47,212,S0046,4.1,2021-01-18,No
P00208,Swift Beverages Model 208,Grocery,Beverages,Swift,4996.00,2736.42,683,S0080,4.2,2021-12-09,false
P00209,Swift Cycling Model 209,Sports,Cycling,Swift,7367.00,4652.00,349,S0016,4.7,2021-12-25,1
P00210,BookNest Audio Model 210,Electronics,Audio,BookNest,329.00,215.77,798,S0044,4.3,2021-06-28,Yes
BADP211,PrimeFit Outdoor Model 211,Sports,Outdoor,PrimeFit,74651.00,43047.90,487,S0008,3.7,2022-12-16,Y
P00212,Orbit Outdoor Model 212,Sports,Outdoor,Orbit,71035.00,43753.19,81,S0093,4.6,2025-04-22,false
P00213,BookNest Cameras Model 213,,Cameras,BookNest,41591.00,30132.10,539,S0017,3.4,2021-03-22,Yes
P00214,PrimeFit Outdoor Model 214,Sports,Outdoor,PrimeFit,7631.00,4872.23,0,S0067,3.8,2021-06-11,Y
P00215,Pixel Team Sports Model 215,Sports,Team Sports, pixel ,23197.00,11192.23,279,S0012,4.7,2023-08-27,1
P00216,Apex Fiction Model 216,Books,Fiction,Apex,570.00,320.52,137,S0010,3.5,2024-07-30,false
P00217,BookNest Watches Model 217,Fashion,Watches,BookNest,10872.00,6881.39,668,S0100,4.5,2025-07-18,Y
P00218,GreenLeaf Audio Model 218,Electronics,Audio,GreenLeaf,60202.00,48503.90,many,S0028,4.9,2025-07-22,1
P00219,BookNest Fragrance Model 219,Beauty,Fragrance,BookNest,3785.00,2619.74,471,S0051,4.4,2025-08-13,1
P00220,PrimeFit Laptops Model 220,Electronics,Laptops,PrimeFit,62290.00,49652.11,462,S0053,3.3,2024-12-01,No
P00221,UrbanCo Business Model 221,Books,Business,UrbanCo,3121.00,2160.99,195,S0095,4.7,2023-01-09,Yes
P00222,Zenith Cycling Model 222,Sports,Cycling,Zenith,14987.00,9207.87,573,S0095,4.3,2024-06-15,1
P00223,Apex Men Model 223,Fashion,Men,Apex,61656.00,43565.72,296,S0094,3.2,2024-06-04,Yes
P00224,Orbit Business Model 224,Books,Business,Orbit,2693.00,1884.45,720,S0058,4.6,2023-12-16,N
P00225,Swift Snacks Model 225,Grocery,Snacks,Swift,4548.00,2369.73,21,S0082,4.7,2022-09-12,N
P00226,HomeCraft Furniture Model 226,Home,Furniture,HomeCraft,43614.00,29122.87,288,S0048,3.4,2024-01-27,Y
P00227,Pixel Household Model 227,Grocery,Household,Pixel,4126.00,2095.17,823,S0007,4.3,2021-07-15,Yes
