order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000000037,O00000014,P00959,1,3332.00,0.00,3332.00
OI000000038,O00000015,P00686,1,78181.00,0.00,78181.00
OI000000039,O00000016,P00412,3,33515.00,15.00,85463.25
OI000000040,O00000017,P00229,3,3724.00,10.00,10054.80
OI000000041,O00000017,P00862,5,662.00,0.00,3310.00
OI000000042,O00000017,P00590,2,2296.00,10.00,4132.80
OI000000043,O00000017,P00762,4,66020.00,10.00,237672.00
OI000000044,O00000018,P01073,2,2314.00,0.00,4628.00
OI000000045,O00000018,P00527,3,50464.00,0.00,151392.00
OI000000046,O00000018,P00876,3,2474.00,10.00,6679.80
OI000000047,O00000018,P00250,2,6851.00,0.00,13702.00
OI000000048,O00000019,P00374,4,726.00,0.00,2904.00
OI000000049,O00000019,P00825,5,21677.00,15.00,92127.25
OI000000050,O00000020,P00227,3,4126.00,5.00,11759.10
OI000000051,O00000020,P00767,2,28090.00,0.00,56180.00
OI000000052,O00000020,P01039,5,2881.00,0.00,14405.00
OI000000053,O00000021,P00220,2,62290.00,20.00,99664.00
OI000000054,O00000021,P01084,4,27674.00,5.00,105161.20
OI000000055,O00000021,P01101,5,48453.00,20.00,193812.00
OI000000056,O00000022,P01037,2,325.00,15.00,552.50
OI000000057,O00000023,P00563,5,2616.00,0.00,13080.00
OI000000058,O00000023,P00571,3,24488.00,20.00,58771.20
OI000000059,O00000023,P00524,4,55852.00,15.00,189896.80
OI000000060,O00000024,P00431,4,12691.00,20.00,40611.20
OI000000061,O00000025,P00197,5,35871.00,20.00,143484.00
OI000000062,O00000025,P00967,3,49677.00,0.00,149031.00
OI000000063,O00000025,P00830,4,2858.00,10.00,10288.80
OI000000064,O00000026,P00279,3,23576.00,15.00,60118.80
OI000000065,O00000027,P00770,1,61616.00,0.00,61616.00
OI000000066,O00000027,P00151,5,48333.00,0.00,241665.00
OI000000067,O00000027,P00796,1,4041.00,0.00,4041.00
OI000000068,O00000027,P00577,1,96.00,0.00,96.00
OI000000069,O00000028,P00607,3,1748.00,15.00,4457.40
OI000000070,O00000028,P00373,2,117.00,0.00,234.00
OI000000071,O00000028,P00494,5,167.00,20.00,668.00
OI000000072,O00000028,P00976,5,130.00,0.00,650.00
OI000000073,O00000029,P00831,5,162.00,15.00,688.50
OI000000074,O00000029,P00760,3,4813.00,5.00,13717.05
OI000000075,O00000029,P00313,5,4808.00,0.00,24040.00
OI000000076,O00000029,P00728,1,66899.00,0.00,66899.00
OI000000077,O00000030,P00004,3,22353.00,15.00,57000.15
OI000000078,O00000031,P00086,5,3049.00,10.00,13720.50
OI000000079,O00000031,P00786,5,1827.00,15.00,7764.75
OI000000080,O00000031,P00449,3,76309.00,0.00,228927.00
OI000000081,O00000032,P00518,5,56911.00,0.00,284555.00
OI000000082,O00000032,P00671,2,64596.00,15.00,109813.20
OI000000083,O00000033,P00341,4,3466.00,5.00,13170.80
OI000000084,O00000033,P00803,5,2512.00,0.00,12560.00
OI000000085,O00000033,P00118,2,4160.00,0.00,8320.00
OI000000086,O00000033,P00282,3,995.00,5.00,2835.75
OI000000087,O00000034,P00768,4,50431.00,20.00,161379.20
OI000000088,O00000034,P01065,4,4475.00,10.00,16110.00
OI000000089,O00000035,P00075,3,2307.00,15.00,5882.85
OI000000090,O00000036,P00534,1,53025.00,20.00,42420.00
OI000000091,O00000037,P00677,3,1045.00,5.00,2978.25
OI000000092,O00000037,P00577,1,96.00,0.00,96.00
OI000000093,O00000038,P00245,3,4861.00,10.00,13124.70
OI000000094,O00000039,P00379,4,74832.00,0.00,299328.00
OI000000095,O00000039,P00586,5,4876.00,10.00,21942.00
OI000000096,O00000040,P00738,1,292.00,10.00,262.80
OI000000097,O00000040,P01057,1,820.00,10.00,738.00
OI000000098,O00000041,P00198,2,40045.00,0.00,80090.00
OI000000099,O00000041,P00109,5,9069.00,5.00,43077.75
OI000000100,O00000041,P00285,2,37952.00,20.00,60723.20
OI000000101,O00000042,P01157,4,15805.00,0.00,63220.00
OI000000102,O00000042,P00936,3,68233.00,10.00,184229.10
OI000000103,O00000043,P01152,3,2064.00,15.00,5263.20
OI000000104,O00000044,P00789,2,3755.00,5.00,7134.50
OI000000105,O00000045,P00449,4,76309.00,10.00,274712.40
OI000000106,O00000045,P00449,5,76309.00,15.00,324313.25
OI000000107,O00000045,P00453,3,54579.00,5.00,155550.15
OI000000108,O00000046,P00418,1,4705.00,0.00,4705.00
OI000000109,O00000047,P00088,2,4383.00,20.00,7012.80
OI000000110,O00000047,P00459,1,4619.00,0.00,4619.00
OI000000111,O00000047,P00882,5,71016.00,0.00,355080.00
OI000000112,O00000048,P00986,5,2958.00,0.00,14790.00
OI000000113,O00000049,P00013,1,3995.00,20.00,3196.00
OI000000114,O00000049,P01009,4,4670.00,10.00,16812.00
OI000000115,O00000049,P00669,1,73733.00,5.00,70046.35
OI000000116,O00000049,P00836,2,1875.00,0.00,3750.00
OI000000117,O00000050,P00935,4,75174.00,5.00,285661.20
OI000000118,O00000050,P00534,4,53025.00,10.00,190890.00
OI000000119,O00000051,P00988,1,3957.00,0.00,3957.00
OI000000120,O00000051,P00879,1,4460.00,10.00,4014.00
OI000000121,O00000051,P00859,5,3456.00,0.00,17280.00
OI000000122,O00000052,P00233,1,49870.00,10.00,44883.00
OI000000123,O00000052,P00964,3,33105.00,15.00,84417.75
OI000000124,O00000053,P00517,5,3081.00,0.00,15405.00
OI000000125,O00000053,P00349,1,33234.00,0.00,33234.00
OI000000126,O00000053,P01127,3,2564.00,0.00,7692.00
OI000000127,O00000054,P00377,2,26250.00,10.00,47250.00
OI000000128,O00000054,P00090,2,64781.00,0.00,129562.00
OI000000129,O00000055,P00124,4,33042.00,0.00,132168.00
OI000000130,O00000055,P00440,3,3915.00,10.00,10570.50
OI000000131,O00000055,P00844,4,12122.00,0.00,48488.00
OI000000132,O00000056,P00217,2,10872.00,0.00,21744.00
OI000000133,O00000056,P00199,1,75249.00,0.00,75249.00
OI000000134,O00000057,P00816,4,1016.00,10.00,3657.60
OI000000135,O00000057,P00819,2,73439.00,5.00,139534.10
OI000000136,O00000057,P00403,3,23969.00,15.00,61120.95
OI000000137,O00000057,P00344,1,79369.00,15.00,67463.65
OI000000138,O00000058,P00205,1,35862.00,0.00,35862.00
OI000000139,O00000058,P00329,3,31822.00,0.00,95466.00
OI000000140,O00000058,P00483,1,11594.00,15.00,9854.90
OI000000141,O00000058,P00993,3,12007.00,5.00,34219.95
OI000000142,O00000059,P00501,3,52809.00,10.00,142584.30
OI000000143,O00000059,P00396,1,3237.00,0.00,3237.00
OI000000144,O00000060,P00368,3,20865.00,5.00,59465.25
OI000000145,O00000060,P00260,5,2474.00,10.00,11133.00
OI000000146,O00000060,P00595,3,2924.00,0.00,8772.00
OI000000147,O00000060,P00384,4,63296.00,0.00,253184.00
OI000000148,O00000061,P01022,1,72237.00,0.00,72237.00
OI000000149,O00000061,P00837,4,4464.00,0.00,17856.00
OI000000150,O00000061,P01036,3,53560.00,20.00,128544.00
OI000000151,O00000062,P00149,1,55583.00,10.00,50024.70
OI000000152,O00000062,P00552,1,3045.00,0.00,3045.00
OI000000153,O00000062,P00926,4,34651.00,0.00,138604.00
OI000000154,O00000063,P00968,2,1785.00,15.00,3034.50
OI000000155,O00000063,P00412,2,33515.00,5.00,63678.50
OI000000156,O00000063,P01098,1,56862.00,5.00,54018.90
OI000000157,O00000063,P01121,2,69762.00,0.00,139524.00
OI000000158,O00000064,P01161,4,2576.00,0.00,10304.00
OI000000159,O00000064,P00003,5,884.00,0.00,4420.00
OI000000160,O00000064,P00330,5,57359.00,0.00,286795.00
OI000000161,O00000064,P00375,5,1238.00,0.00,6190.00
OI000000162,O00000065,P00526,2,3308.00,20.00,5292.80
OI000000163,O00000065,P01060,5,3521.00,0.00,17605.00
OI000000164,O00000065,P00938,5,694.00,5.00,3296.50
OI000000165,O00000065,P00906,1,35252.00,20.00,28201.60
OI000000166,O00000066,P00750,3,1871.00,20.00,4490.40
OI000000167,O00000066,P00267,5,5381.00,10.00,24214.50
OI000000168,O00000066,P00204,2,4266.00,15.00,7252.20
OI000000169,O00000066,P00194,1,1184.00,20.00,947.20
OI000000170,O00000067,P00053,5,1722.00,20.00,6888.00
OI000000171,O00000067,P00746,4,2410.00,20.00,7712.00
OI000000172,O00000067,P00633,2,244.00,10.00,439.20
OI000000173,O00000067,P01125,2,596.00,0.00,1192.00
OI000000174,O00000068,P01104,1,8409.00,0.00,8409.00
OI000000175,O00000068,P00728,1,66899.00,15.00,56864.15
OI000000176,O00000068,P00584,4,978.00,0.00,3912.00
OI000000177,O00000068,P00392,1,3137.00,5.00,2980.15
OI000000178,O00000069,P00642,5,2926.00,0.00,14630.00
OI000000179,O00000070,P00292,4,4960.00,0.00,19840.00
OI000000180,O00000070,P00529,2,3844.00,0.00,7688.00
OI000000181,O00000070,P00560,4,2686.00,0.00,10744.00
OI000000182,O00000071,P00508,5,48334.00,0.00,241670.00
OI000000183,O00000071,P00709,3,28406.00,0.00,85218.00
OI000000184,O00000071,P00895,3,41300.00,0.00,123900.00
OI000000185,O00000072,P00619,1,4303.00,0.00,4303.00
OI000000186,O00000072,P00646,3,1531.00,20.00,3674.40
OI000000187,O00000072,P00841,5,29419.00,15.00,125030.75
OI000000188,O00000073,P00998,2,969.00,20.00,1550.40
OI000000189,O00000073,P00344,4,79369.00,0.00,317476.00
OI000000190,O00000073,P00824,3,44892.00,10.00,121208.40
OI000000191,O00000073,P00682,2,25804.00,0.00,51608.00
OI000000192,O00000074,P01165,3,60611.00,10.00,163649.70
OI000000193,O00000074,P00941,2,2436.00,15.00,4141.20
OI000000194,O00000074,P00571,1,24488.00,0.00,24488.00
OI000000195,O00000074,P00793,4,38772.00,0.00,155088.00
OI000000196,O00000075,P00254,5,156.00,15.00,663.00
OI000000197,O00000075,P00494,5,167.00,0.00,835.00
OI000000198,O00000075,P00284,2,34171.00,5.00,64924.90
OI000000199,O00000075,P00025,5,35908.00,10.00,161586.00
OI000000200,O00000076,P00678,5,67471.00,5.00,320487.25
OI000000201,O00000076,P00749,5,33044.00,0.00,165220.00
OI000000202,O00000076,P00594,1,4674.00,10.00,4206.60
OI000000203,O00000076,P00873,3,29417.00,5.00,83838.45
OI000000204,O00000077,P00382,4,2936.00,20.00,9395.20
OI000000205,O00000077,P00514,5,39042.00,20.00,156168.00
OI000000206,O00000078,P00404,3,3182.00,5.00,9068.70
OI000000207,O00000078,P00062,5,68815.00,15.00,292463.75
OI000000208,O00000078,P00336,3,16909.00,10.00,45654.30
OI000000209,O00000079,P00834,4,17760.00,20.00,56832.00
OI000000210,O00000079,P00609,2,17234.00,20.00,27574.40
OI000000211,O00000079,P01115,4,30184.00,10.00,108662.40
OI000000212,O00000079,P01163,1,53481.00,0.00,53481.00
OI000000213,O00000080,P00519,1,46704.00,0.00,46704.00
OI000000214,O00000080,P00408,3,15621.00,10.00,42176.70
OI000000215,O00000080,P00674,3,6325.00,0.00,18975.00
OI000000216,O00000081,P01120,2,22158.00,0.00,44316.00
OI000000217,O00000081,P01106,1,4070.00,0.00,4070.00
OI000000218,O00000082,P00854,3,390.00,20.00,936.00
OI000000219,O00000082,P00248,3,7695.00,5.00,21930.75
OI000000220,O00000083,P00322,4,17103.00,15.00,58150.20
OI000000221,O00000083,P00917,4,36204.00,0.00,144816.00
OI000000222,O00000084,P00412,1,33515.00,0.00,33515.00
OI000000223,O00000084,P00437,5,3447.00,0.00,17235.00
OI000000224,O00000084,P01002,3,549.00,0.00,1647.00
OI000000225,O00000084,P00412,4,33515.00,0.00,134060.00
OI000000226,O00000085,P00561,1,836.00,0.00,836.00
OI000000227,O00000086,P00335,4,15712.00,0.00,62848.00
OI000000228,O00000086,P01032,4,65689.00,20.00,210204.80
OI000000229,O00000086,P00860,4,76.00,0.00,304.00
OI000000230,O00000086,P00432,1,25436.00,5.00,24164.20
OI000000231,O00000087,P00980,1,2970.00,0.00,2970.00
OI000000232,O00000087,P00561,2,836.00,0.00,1672.00
OI000000233,O00000088,P00901,1,17668.00,20.00,14134.40
OI000000234,O00000089,P00409,5,74361.00,0.00,371805.00
OI000000235,O00000089,P00234,3,52000.00,15.00,132600.00
OI000000236,O00000089,P00208,2,4996.00,20.00,7993.60
OI000000237,O00000090,P00980,2,2970.00,5.00,5643.00
OI000000238,O00000090,P00092,4,53244.00,0.00,212976.00
OI000000239,O00000090,P00083,1,3448.00,10.00,3103.20
OI000000240,O00000090,P01149,4,46858.00,0.00,187432.00
OI000000241,O00000091,P00173,1,2758.00,0.00,2758.00
OI000000242,O00000092,P00287,3,809.00,5.00,2305.65
OI000000243,O00000092,P00509,3,51089.00,0.00,153267.00
OI000000244,O00000092,P00241,2,36183.00,0.00,72366.00
OI000000245,O00000092,P00998,2,969.00,0.00,1938.00
OI000000246,O00000093,P00614,1,451.00,0.00,451.00
OI000000247,O00000093,P00982,4,801.00,20.00,2563.20
OI000000248,O00000093,P00904,5,63452.00,20.00,253808.00
OI000000249,O00000094,P00631,2,27003.00,0.00,54006.00
OI000000250,O00000094,P00013,5,3995.00,15.00,16978.75
OI000000251,O00000094,P00988,2,3957.00,15.00,6726.90
OI000000252,O00000095,P00550,5,25316.00,5.00,120251.00
OI000000253,O00000095,P01132,3,3989.00,0.00,11967.00
OI000000254,O00000095,P00259,2,49376.00,20.00,79001.60
OI000000255,O00000096,P01109,3,9327.00,0.00,27981.00
OI000000256,O00000097,P00920,1,45668.00,5.00,43384.60
OI000000257,O00000097,P01114,3,14608.00,0.00,43899.00
OI000000258,O00000097,P01003,2,3430.00,5.00,6517.00
OI000000259,O00000098,P00243,3,36039.00,15.00,91899.45
OI000000260,O00000098,P00980,5,2970.00,0.00,14850.00
OI000000261,O00000099,P00388,2,291.00,0.00,582.00
OI000000262,O00000100,P01115,3,30184.00,5.00,86024.40
OI000000263,O00000100,P00954,4,326.00,10.00,1173.60
OI000000264,O00000100,P00405,2,218.00,5.00,414.20
OI000000265,O00000100,P00606,4,3541.00,15.00,12039.40
OI000000266,O00000101,P00007,3,4628.00,0.00,13884.00
OI000000267,O00000101,P00088,3,4383.00,0.00,13149.00
OI000000268,O00000101,P01001,5,50462.00,0.00,252310.00
OI000000269,O00000102,P00577,5,96.00,0.00,480.00
OI000000270,O00000103,P01072,2,2722.00,10.00,4899.60
OI000000271,O00000104,P00693,1,2160.00,5.00,2052.00
OI000000272,O00000104,P00991,2,24514.00,15.00,41673.80
OI000000273,O00000105,P01045,3,1635.00,10.00,4414.50
OI000000274,O00000105,P00042,1,68879.00,0.00,68879.00
OI000000275,O00000105,P00791,3,10265.00,0.00,30795.00
OI000000276,O00000106,P00907,2,22380.00,5.00,42522.00
OI000000277,O00000106,P00368,1,20865.00,10.00,18778.50
OI000000278,O00000107,P00355,1,1214.00,10.00,1092.60
OI000000279,O00000107,P00688,2,4255.00,5.00,8084.50
OI000000280,O00000107,P00153,5,73868.00,0.00,369340.00
OI000000281,O00000107,P00321,5,25438.00,0.00,127190.00
OI000000282,O00000108,P00008,5,1716.00,0.00,8580.00
OI000000283,O00000109,P00826,4,4992.00,5.00,18969.60
OI000000284,O00000109,P00590,5,2296.00,15.00,9758.00
OI000000285,O00000109,P01070,2,3344.00,0.00,6688.00
OI000000286,O00000109,P00072,2,4460.00,0.00,8920.00
OI000000287,O00000110,P00844,1,12122.00,0.00,12122.00
OI000000288,O00000111,P00419,5,4376.00,10.00,19692.00
OI000000289,O00000111,P01025,3,22703.00,10.00,61298.10
OI000000290,O00000111,P01059,2,81.00,10.00,145.80
OI000000291,O00000111,P01129,5,835.00,0.00,4175.00
OI000000292,O00000112,P00313,3,4808.00,10.00,12981.60
OI000000293,O00000112,P00127,3,25732.00,0.00,77196.00
OI000000294,O00000112,P00305,1,413.00,0.00,413.00
OI000000295,O00000112,P00488,5,1730.00,5.00,8217.50
OI000000296,O00000113,P01020,4,4232.00,10.00,15235.20
OI000000297,O00000114,P00647,4,71045.00,5.00,269971.00
OI000000298,O00000114,P00869,4,6974.00,10.00,25106.40
OI000000299,O00000115,P00437,3,3447.00,20.00,8272.80
OI000000300,O00000116,P00958,3,1676.00,20.00,4022.40
OI000000301,O00000116,P00893,1,2079.00,0.00,2079.00
OI000000302,O00000117,P00134,3,2278.00,5.00,6492.30
OI000000303,O00000117,P00765,2,9009.00,10.00,16216.20
OI000000304,O00000118,P00358,4,2453.00,0.00,9812.00
OI000000305,O00000119,P00209,4,7367.00,20.00,23574.40
OI000000306,O00000120,P01025,3,22703.00,20.00,54487.20
OI000000307,O00000120,P00700,5,4459.00,0.00,22295.00
OI000000308,O00000120,P00399,4,3172.00,15.00,10784.80
OI000000309,O00000121,P00666,5,2411.00,15.00,10246.75
OI000000310,O00000121,P00755,5,11997.00,0.00,59985.00
OI000000311,O00000121,P00128,5,59268.00,5.00,281523.00
OI000000312,O00000122,P00786,2,1827.00,15.00,3105.90
OI000000313,O00000123,P00038,1,74331.00,20.00,59464.80
OI000000314,O00000123,P01090,5,1313.00,10.00,5908.50
OI000000315,O00000124,P00988,3,3957.00,20.00,9496.80
OI000000316,O00000124,P00116,2,25638.00,20.00,41020.80
OI000000317,O00000124,P00923,4,3229.00,15.00,10978.60
OI000000318,O00000124,P00056,5,5613.00,15.00,23855.25
OI000000319,O00000125,P00007,1,4628.00,0.00,4628.00
OI000000320,O00000125,P00341,3,3466.00,5.00,9878.10
OI000000321,O00000125,P00627,3,3408.00,0.00,10224.00
OI000000322,O00000126,P00395,3,4495.00,10.00,12136.50
OI000000323,O00000126,P00001,3,1194.00,0.00,3582.00
OI000000324,O00000127,P00658,5,4670.00,0.00,23350.00
OI000000325,O00000127,P00167,1,3781.00,0.00,3781.00
OI000000326,O00000127,P00584,5,978.00,0.00,4890.00
OI000000327,O00000127,P00726,5,3965.00,5.00,18833.75
OI000000328,O00000128,P00636,2,77131.00,15.00,131122.70
OI000000329,O00000128,P00332,4,3746.00,15.00,12736.40
OI000000330,O00000128,P00148,4,266.00,10.00,957.60
OI000000331,O00000129,P00338,1,66981.00,5.00,63631.95
OI000000332,O00000130,P00652,4,78798.00,0.00,315192.00
OI000000333,O00000131,P00108,2,1202.00,0.00,2404.00
OI000000334,O00000131,P00271,4,28511.00,5.00,108341.80
OI000000335,O00000131,P00516,5,59601.00,0.00,298005.00
OI000000336,O00000131,P00781,3,18619.00,20.00,44685.60
OI000000337,O00000132,P00869,5,6974.00,0.00,34870.00
OI000000338,O00000132,P01019,2,2143.00,0.00,4286.00
OI000000339,O00000133,P00347,3,3342.00,15.00,8522.10
OI000000340,O00000134,P00598,4,306.00,0.00,1224.00
OI000000341,O00000134,P00783,2,1899.00,0.00,3798.00
OI000000342,O00000134,P01084,5,27674.00,5.00,131451.50
OI000000343,O00000134,P00307,2,64932.00,5.00,123370.80
OI000000344,O00000135,P00297,3,4910.00,5.00,13993.50
OI000000345,O00000135,P00386,2,4266.00,10.00,7678.80
OI000000346,O00000136,P00436,3,2930.00,5.00,8350.50
OI000000347,O00000136,P00236,4,3540.00,0.00,14160.00
OI000000348,O00000137,P00787,2,940.00,0.00,1880.00
OI000000349,O00000137,P00205,1,35862.00,10.00,32275.80
OI000000350,O00000137,P00078,2,13166.00,20.00,21065.60
OI000000351,O00000138,P00439,4,23482.00,15.00,79838.80
OI000000352,O00000138,P00621,1,72043.00,5.00,68440.85
OI000000353,O00000139,P00014,5,66670.00,15.00,283347.50
OI000000354,O00000139,P00248,1,7695.00,5.00,7310.25
OI000000355,O00000140,P00855,2,548.00,0.00,1096.00
OI000000356,O00000140,P00454,4,42793.00,15.00,145496.20
OI000000357,O00000140,P00531,3,54897.00,0.00,164691.00
OI000000358,O00000141,P01172,2,66830.00,10.00,120294.00
OI000000359,O00000141,P00357,2,4500.00,0.00,9000.00
OI000000360,O00000141,P00935,4,75174.00,5.00,285661.20
OI000000361,O00000142,P00064,3,59206.00,15.00,150975.30
OI000000362,O00000142,P00943,2,4787.00,0.00,9574.00
OI000000363,O00000142,P00351,1,65226.00,0.00,65226.00
OI000000364,O00000142,P00906,5,35252.00,15.00,149821.00
OI000000365,O00000143,P00056,1,5613.00,5.00,5332.35
OI000000366,O00000144,P00205,2,35862.00,5.00,68137.80
OI000000367,O00000145,P00554,2,21518.00,0.00,43036.00
OI000000368,O00000145,P01055,4,4237.00,0.00,16948.00
OI000000369,O00000146,P00029,5,67156.00,10.00,302202.00
OI000000370,O00000146,P00109,1,9069.00,20.00,7255.20
OI000000371,O00000146,P00638,4,9806.00,0.00,39224.00
OI000000372,O00000147,P00754,1,45016.00,20.00,36012.80
OI000000373,O00000147,P00971,2,55825.00,20.00,89320.00
OI000000374,O00000147,P00303,1,2953.00,5.00,2805.35
OI000000375,O00000147,P00796,5,4041.00,0.00,20205.00
OI000000376,O00000148,P00203,4,65243.00,0.00,260972.00
OI000000377,O00000148,P00637,3,1959.00,5.00,5583.15
OI000000378,O00000148,P00049,2,61894.00,0.00,123788.00
OI000000379,O00000148,P00738,4,292.00,15.00,992.80
OI000000380,O00000149,P00495,5,69133.00,15.00,293815.25
OI000000381,O00000150,P00935,5,75174.00,0.00,375870.00
OI000000382,O00000151,P01002,3,549.00,20.00,1317.60
OI000000383,O00000152,P01107,1,3752.00,0.00,3752.00
OI000000384,O00000152,P00452,5,4858.00,10.00,21861.00
OI000000385,O00000153,P01050,4,8132.00,15.00,27648.80
OI000000386,O00000153,P00371,5,73464.00,0.00,367320.00
OI000000387,O00000153,P01077,3,56596.00,5.00,161298.60
OI000000388,O00000153,P01061,1,23166.00,15.00,19691.10
OI000000389,O00000154,P00555,5,36814.00,10.00,165663.00
OI000000390,O00000154,P00100,4,57169.00,0.00,228676.00
OI000000391,O00000154,P00131,5,375.00,0.00,1875.00
OI000000392,O00000155,P00774,3,651.00,15.00,1660.05
OI000000393,O00000155,P00703,2,72168.00,0.00,144336.00
OI000000394,O00000155,P01074,2,76952.00,10.00,138513.60
OI000000395,O00000156,P00989,4,57534.00,20.00,184108.80
OI000000396,O00000156,P00438,3,3278.00,5.00,9342.30
OI000000397,O00000157,P01160,2,54601.00,0.00,109202.00
OI000000398,O00000158,P00897,1,44065.00,0.00,44065.00
OI000000399,O00000158,P01038,1,7015.00,15.00,5962.75
OI000000400,O00000159,P00421,3,2326.00,0.00,6978.00
OI000000401,O00000159,P00722,two,3460.00,10.00,3114.00
OI000000402,O00000160,P00251,1,16771.00,5.00,15932.45
OI000000403,O00000160,P00416,1,454.00,20.00,363.20
OI000000404,O00000160,P01000,5,1397.00,0.00,6985.00
OI000000405,O00000160,P00186,3,37353.00,5.00,106456.05
OI000000406,O00000161,P00916,5,51086.00,0.00,255430.00
OI000000407,O00000161,P00354,3,60443.00,15.00,154129.65
OI000000408,O00000161,P00657,4,58594.00,0.00,234376.00
OI000000409,O00000161,P00316,4,44880.00,0.00,179520.00
OI000000410,O00000162,P00761,3,1328.00,15.00,3386.40
OI000000411,O00000162,P00186,3,37353.00,0.00,112059.00
OI000000412,O00000163,P00109,2,9069.00,0.00,18138.00
OI000000413,O00000163,P00894,4,44431.00,15.00,151065.40
OI000000414,O00000163,P00311,2,71508.00,20.00,114412.80
OI000000415,O00000164,P00034,1,19712.00,5.00,18726.40
OI000000416,O00000164,P00983,1,4954.00,5.00,4706.30
OI000000417,O00000165,P00638,4,9806.00,10.00,35301.60
OI000000418,O00000166,P00826,3,4992.00,15.00,12729.60
OI000000419,O00000166,P01113,4,FREE,0.00,114764.00
OI000000420,O00000167,P01163,4,53481.00,20.00,171139.20
OI000000421,O00000167,P00877,5,10439.00,15.00,44365.75
OI000000422,O00000167,P00971,2,55825.00,20.00,89320.00
OI000000423,O00000168,P01117,2,3773.00,0.00,7546.00
OI000000424,O00000168,P00556,2,1896.00,15.00,3223.20
OI000000425,O00000169,P00791,1,10265.00,15.00,8725.25
OI000000426,O00000169,P00732,5,1201.00,15.00,5104.25
OI000000427,O00000169,P00031,1,50906.00,0.00,50906.00
OI000000428,O00000170,P00069,4,20103.00,0.00,80412.00
OI000000429,O00000170,P00180,1,65117.00,10.00,58605.30
OI000000430,O00000170,P00457,1,4075.00,0.00,4075.00
OI000000431,O00000171,P00203,5,65243.00,150,326215.00
OI000000432,O00000171,P00759,1,3366.00,0.00,3366.00
OI000000433,O00000172,P00510,3,3963.00,20.00,9511.20
OI000000434,O00000172,P00230,2,37950.00,5.00,72105.00
OI000000435,O00000172,P00056,2,5613.00,0.00,11226.00
OI000000436,O00000173,P01085,4,60325.00,0.00,241300.00
OI000000437,O00000173,P00564,1,3183.00,0.00,3183.00
OI000000438,O00000173,P00836,4,1875.00,0.00,7500.00
OI000000439,O00000174,P00418,5,4705.00,15.00,19996.25
OI000000440,O00000174,P01056,3,33992.00,10.00,91778.40
OI000000441,O00000174,P00597,1,3756.00,0.00,3756.00
OI000000442,O00000174,P00366,5,4323.00,10.00,19453.50
OI000000443,O00000175,P00424,1,11834.00,10.00,10650.60
OI000000444,O00000176,P00511,5,54131.00,0.00,270655.00
OI000000445,O00000177,P00269,2,41316.00,0.00,82632.00
OI000000446,O00000178,P00424,2,11834.00,15.00,20117.80
OI000000447,O00000179,P00316,1,44880.00,20.00,35904.00
OI000000448,O00000179,P01165,5,60611.00,5.00,287902.25
OI000000449,O00000179,P00172,3,1040.00,0.00,3120.00
OI000000450,O00000179,P00219,4,3785.00,5.00,14383.00
OI000000451,O00000180,P00561,3,836.00,0.00,2508.00
OI000000452,O00000181,P00227,3,4126.00,5.00,11759.10
