shipment_id,order_id,shipment_date,delivery_date,carrier,tracking_number,shipment_status,shipping_cost
SHP00000032,O00000037,2024-03-06,2024-03-13,DHL,TRK28999356202,Delivered,99.00
SHP00000033,O00000038,2026-03-21,2026-03-28,Delhivery,TRK77778835060,Delivered,99.00
SHP00000034,O00000039,2025-07-04,2025-07-05,FedEx,TRK29157783775,Delivered,99.00
SHP00000035,O00000040,2025-04-22,,FedEx,TRK88759195615,In Transit,0.00
SHP00000036,O00000041,2026-01-12,2026-01-14,DHL,TRK23232255802,Delivered,0.00
SHP00000037,O00000042,2026-03-03,,India Post,TRK53080144450,Processing,149.00
SHP00000038,O00000043,2024-04-22,,India Post,TRK12225046613,In Transit,99.00
SHP00000039,O00000044,2025-10-09,2025-10-15,India Post,TRK51125739746,Delivered,0.00
SHP00000040,O00000045,2025-08-23,2025-08-28,Delhivery,TRK45376727818,Delivered,49.00
SHP00000041,O00000046,2026-05-25,2026-05-27,BlueDart,TRK13677706483,Delivered,0.00
SHP00000042,O00000047,2024-09-16,,DTDC,TRK40664803708,Processing,0.00
SHP00000043,O00000048,2024-10-13,,india post,TRK20848386968,Processing,0.00
SHP00000044,O00000049,2026-04-04,2026-04-11,Delhivery,TRK47660265775,Delivered,79.00
SHP00000045,O00000050,2025-10-03,,BlueDart,TRK51351827140,In Transit,149.00
SHP00000046,O00000051,2024-01-08,2024-01-14,BlueDart,TRK87865505972,Delivered,149.00
SHP00000047,O00000052,2025-11-19,,Delhivery,TRK32641520122,Processing,0.00
SHP00000048,O00000053,2025-06-08,,BlueDart,TRK14872091421,Processing,99.00
SHP00000049,O00000054,2025-09-23,2025-09-25,Delhivery,TRK79692826146,Delivered,79.00
SHP00000050,O00000055,2024-02-28,,India Post,TRK26402571894,In Transit,99.00
SHP00000051,O00000057,2024-08-19,2024-08-25,Delhivery,TRK87175933878,Delivered,99.00
SHP00000052,O00000059,2025-02-04,2025-02-05,BlueDart,TRK87676454295,Delivered,49.00
SHP00000053,O00000060,2026-02-19,,India Post,TRK61490953594,In Transit,49.00
SHP00000054,O00000061,2025-10-15,2025-10-16,DHL,TRK78948131847,Delivered,79.00
SHP00000055,O00000062,2025-11-21,,FedEx,TRK28942757847,Processing,79.00
SHP00000056,O00000063,2025-12-22,,Delhivery,TRK30646531329,Processing,99.00
SHP00000057,O00000064,2026-05-06,2026-05-11,India Post,TRK11876176047,Delivered,149.00
SHP00000058,O00000065,2024-06-05,,India Post,TRK86778485584,Processing,49.00
SHP00000059,O00000066,2024-10-23,2024-10-26,Delhivery,TRK50885353624,Delivered,99.00
SHP00000060,O00000067,2026-04-07,2026-04-14,DTDC,TRK68452477144,Delivered,99.00
SHP00000061,O00000068,2026-06-05,2026-06-08,India Post,TRK62402747210,Delivered,49.00
SHP00000062,O00000070,2024-03-21,,Delhivery,TRK25544883605,Processing,149.00
SHP00000063,O00000071,2024-03-29,,DHL,TRK81063744120,In Transit,49.00
SHP00000064,O00000072,2026-01-24,2026-01-28,India Post,TRK87360172039,Delivered,79.00
SHP00000065,O00000073,2026-06-19,,India Post,TRK90573249576,In Transit,79.00
SHP00000066,O00000074,2024-07-15,,Delhivery,TRK64090276587,In Transit,79.00
SHP00000067,O00000075,2025-12-31,,Delhivery,TRK62397732815,In Transit,49.00
SHP00000068,O00000076,2025-04-14,,DTDC,TRK76904502479,Processing,0.00
SHP00000069,O00000078,2025-05-28,2025-06-02,DTDC,TRK21528320297,Delivered,49.00
SHP00000070,O00000080,2025-07-28,,FedEx,TRK55080806208,In Transit,0.00
SHP00000071,O00000081,2024-04-25,,DHL,TRK95025313771,Processing,149.00
SHP00000072,O00000082,2026-06-18,2026-06-20,India Post,TRK90598816017,Delivered,79.00
SHP00000073,O00000084,2025-10-14,2025-10-19,FedEx,TRK29663197715,Delivered,149.00
SHP00000074,O00000085,2024-07-20,2024-07-23,DTDC,TRK18516371558,Delivered,0.00
SHP00000075,O00000086,2025-02-23,2025-03-02,BlueDart,TRK92676307569,Delivered,0.00
SHP00000076,O00000088,2024-05-02,,Delhivery,TRK87309213104,In Transit,0.00
SHP00000077,O00000089,2024-08-07,,FedEx,TRK13820858960,In Transit,79.00
SHP00000078,O00000090,2025-11-13,2025-11-17,DHL,TRK88021823022,Delivered,99.00
SHP00000079,O00000091,2025-02-23,2025-02-27,DTDC,TRK10676744873,Delivered,49.00
SHP00000080,O00000092,2025-03-27,,BlueDart,TRK64052676546,Processing,79.00
SHP00000081,O00000093,2024-07-26,2024-08-01,BlueDart,TRK23649158054,Delivered,99.00
SHP00000082,O00000094,2025-07-22,2025-07-25,BlueDart,TRK77523947857,Delivered,49.00
SHP00000083,O00000095,2024-11-05,,Delhivery,TRK19199264873,In Transit,99.00
SHP00000084,O00000096,2025-07-27,,Delhivery,TRK19298833755,In Transit,99.00
SHP00000085,O00000098,2026-02-17,,Delhivery,TRK12024122803,In Transit,79.00
SHP00000086,O00000099,2025-11-16,,bluedart,TRK36562558798,In Transit,99.00
SHP00000087,O00000100,2025-01-01,2025-01-07,India Post,TRK28319992871,Delivered,49.00
SHP00000088,O00000101,2024-07-26,2024-07-29,India Post,TRK53241350861,Delivered,149.00
SHP00000089,O00000102,2025-04-22,,DTDC,TRK12093376345,Processing,149.00
SHP00000090,O00000103,2026-02-15,,FedEx,TRK99339491370,Processing,49.00
SHP00000091,O00000104,2024-08-18,,BlueDart,TRK53594313752,Processing,49.00
SHP00000092,O00000105,2025-01-16,,Delhivery,TRK11886755454,In Transit,79.00
SHP00000093,O00000107,2025-03-07,2025-03-13,FedEx,TRK63008517110,Delivered,99.00
SHP00000094,O00000108,2026-03-07,2026-03-11,DHL,TRK58192310539,Delivered,99.00
SHP00000095,O00000109,2025-04-20,,Delhivery,TRK33818090674,In Transit,0.00
SHP00000096,O00000110,2026-03-05,2026-03-07,FedEx,TRK33631773802,Delivered,149.00
SHP00000097,O00000111,2024-11-10,,DTDC,TRK96710866763,Processing,49.00
SHP00000098,O00000112,2024-07-29,2024-08-04,DHL,TRK74308644632,Delivered,0.00
SHP00000099,O00000113,2024-03-18,2024-03-25,BlueDart,TRK80184827510,Delivered,0.00
SHP00000100,O00000114,2025-12-09,2025-12-13,India Post,TRK96760054454,Delivered,0.00
SHP00000101,O00000115,2025-05-08,,India Post,TRK48728348197,Processing,0.00
SHP00000102,O00000116,2024-08-05,2024-08-06,DHL,TRK71432888724,Delivered,0.00
SHP00000103,O00000117,2026-06-03,,DHL,TRK44570860035,In Transit,79.00
SHP00000104,O00000120,2024-05-23,2024-05-30,FedEx,TRK25485458656,Delivered,149.00
SHP00000105,O00000121,2025-09-12,2025-09-19,BlueDart,TRK64138119568,Delivered,49.00
SHP00000106,O00000122,2026-01-01,2026-01-07,DTDC,TRK64442109119,Delivered,0.00
SHP00000107,O00000123,2025-07-14,2025-07-16,BlueDart,TRK13295203187,Delivered,149.00
SHP00000108,O00000124,2024-03-08,2024-03-11,FedEx,TRK49093005625,Delivered,79.00
SHP00000109,O00000126,2026-01-09,2026-01-16,India Post,TRK97794809860,Delivered,149.00
SHP00000110,O00000127,2025-09-15,2025-09-21,DTDC,TRK87462504855,Delivered,79.00
SHP00000111,O00000128,2024-10-26,2024-10-30,BlueDart,TRK12982617001,Delivered,79.00
SHP00000112,O00000129,2024-04-29,,India Post,TRK75649981302,In Transit,99.00
SHP00000113,O00000131,2025-05-10,2025-05-13,FedEx,TRK23029334710,Delivered,99.00
SHP00000114,O00000132,2025-12-19,2025-12-20,Delhivery,TRK42708186982,Delivered,49.00
SHP00000115,O00000133,2025-07-05,,India Post,TRK72410585642,In Transit,79.00
SHP00000116,O00000134,2024-05-05,2024-05-09,India Post,TRK89879059678,Delivered,79.00
SHP00000117,O00000135,2026-01-06,2026-01-11,DTDC,TRK87428760112,Delivered,99.00
SHP00000118,O00000136,2026-04-02,2026-04-04,Delhivery,TRK79235438490,Delivered,79.00
SHP00000119,O00000137,2024-10-01,,FedEx,TRK14855739334,Processing,99.00
SHP00000120,O00000138,2024-06-06,2024-06-10,India Post,TRK60613025858,Delivered,79.00
SHP00000121,O00000140,2025-04-08,,DHL,TRK91593158337,Processing,0.00
SHP00000122,O00000142,2024-06-02,2024-06-08,DHL,TRK69673483979,Delivered,79.00
SHP00000123,O00000143,2025-04-13,2025-04-20,Delhivery,TRK85077567027,Delivered,79.00
SHP00000124,O00000144,2025-07-26,2025-07-30,India Post,TRK77384005244,Delivered,49.00
SHP00000125,O00000145,2024-07-18,2024-07-19,DHL,TRK88432506136,Delivered,49.00
SHP00000126,O00000146,2025-08-15,,FedEx,TRK11216757049,In Transit,149.00
SHP00000127,O00000147,2024-11-10,,FedEx,TRK81749786044,Processing,149.00
SHP00000128,O00000148,2026-02-19,,India Post,TRK45985188065,Processing,99.00
SHP00000129,O00000149,2024-04-26,,india post,TRK77327219193,Processing,49.00
SHP00000130,O00000151,2024-10-05,2024-10-09,India Post,TRK82153578047,Delivered,79.00
SHP00000131,O00000152,2024-12-07,2024-12-12,DTDC,TRK77289741555,Delivered,149.00
SHP00000132,O00000153,2026-03-22,2026-03-27,India Post,TRK31459272440,Delivered,49.00
SHP00000133,O00000154,2025-11-28,2025-11-29,Delhivery,TRK96375075230,Delivered,149.00
SHP00000134,O00000155,2025-09-13,,India Post,TRK57510347033,In Transit,99.00
SHP00000135,O00000156,2026-06-04,2026-06-11,Delhivery,TRK97727426482,Delivered,0.00
SHP00000136,O00000157,2025-07-22,2025-07-24,Delhivery,TRK55121064993,Delivered,49.00
SHP00000137,O00000158,2025-03-04,2025-03-08,DHL,TRK83748110359,Delivered,149.00
SHP00000138,O00000159,2024-03-07,2024-03-13,India Post,TRK88503336230,Delivered,149.00
SHP00000139,O00000160,2025-10-25,2025-10-26,DHL,TRK53819193721,Delivered,49.00
SHP00000140,O00000161,2025-04-21,2025-04-22,Delhivery,TRK28214493547,Delivered,0.00
SHP00000141,O00000163,2024-02-02,,DTDC,TRK12126301540,In Transit,99.00
SHP00000142,O00000166,2026-01-01,2026-01-05,BlueDart,TRK44427589828,Delivered,99.00
SHP00000143,O00000167,2025-06-18,2025-06-22,Delhivery,TRK41564005995,Delivered,79.00
SHP00000144,O00000168,2024-05-23,2024-05-27,DHL,TRK14066990137,Delivered,149.00
SHP00000145,O00000170,2025-07-02,2025-07-03,Delhivery,TRK17455217860,Delivered,49.00
SHP00000146,O00000171,2026-06-18,2026-06-23,FedEx,TRK59987393089,Delivered,79.00
SHP00000147,O00000172,2024-03-14,,DHL,TRK18450843661,Processing,149.00
SHP00000148,O00000174,2025-08-19,2025-08-25,DTDC,TRK20706780098,Delivered,0.00
SHP00000149,O00000175,2024-05-04,2024-05-11,FedEx,TRK23129493771,Delivered,99.00
SHP00000150,O00000176,2024-11-25,2024-12-02,BlueDart,TRK10000469466,Delivered,0.00
SHP00000151,O00000177,2025-12-25,2025-12-26,BlueDart,TRK61862425074,Delivered,99.00
SHP00000152,O00000178,2025-02-20,,FedEx,TRK44295156671,Processing,0.00
SHP00000153,O00000179,2024-09-19,2024-09-22,BlueDart,TRK84007035275,Delivered,0.00
SHP00000154,O00000180,2026-01-01,,India Post,TRK71863487555,In Transit,99.00
SHP00000155,O00000181,2025-09-01,2025-09-08,DHL,TRK87666751455,Delivered,149.00
SHP00000156,O00000182,2024-12-05,2024-12-08,DHL,TRK57078210434,Delivered,149.00
SHP00000157,O00000183,2025-09-23,2025-09-28,BlueDart,TRK44675111669,Delivered,99.00
SHP00000158,O00000184,2026-06-23,2026-06-24,Delhivery,TRK26571392430,Delivered,79.00
SHP00000159,O00000185,2024-08-23,,DHL,TRK23832542126,In Transit,0.00
SHP00000160,O00000186,2024-12-29,,DHL,TRK52695138521,Processing,49.00
SHP00000161,O00000187,2026-04-20,,FedEx,TRK16239328787,Processing,149.00
SHP00000162,O00000189,2024-12-06,,Delhivery,TRK30687517809,In Transit,99.00
SHP00000163,O00000190,2024-10-08,2024-10-12,FedEx,TRK45634365146,Delivered,0.00
SHP00000164,O00000192,2025-01-12,,DHL,TRK75630550931,In Transit,79.00
SHP00000165,O00000193,2026-01-07,2026-01-10,BlueDart,TRK39461496840,Delivered,99.00
SHP00000166,O00000195,2026-03-18,2026-03-22,DTDC,TRK33550185287,Delivered,99.00
SHP00000167,O00000196,2025-01-26,2025-01-24,FedEx,TRK86968518046,Delivered,99.00
SHP00000168,O00000197,2026-05-21,2026-05-25,DHL,TRK99957552689,Delivered,149.00
SHP00000169,O00000199,2025-09-08,2025-09-12,Delhivery,TRK67755185765,Delivered,79.00
SHP00000170,O00000200,2025-04-23,,India Post,TRK59300114094,In Transit,49.00
SHP00000171,O00000201,2025-10-14,,FedEx,TRK70800600551,In Transit,149.00
SHP00000172,O00000202,2024-05-06,,dhl,TRK28107005304,Processing,49.00
SHP00000173,O00000203,2024-06-28,2024-07-01,DTDC,TRK12527191969,Delivered,149.00
SHP00000174,O00000204,2024-10-08,,BlueDart,TRK11567587002,In Transit,149.00
SHP00000175,O00000206,2024-02-15,,Delhivery,TRK70262156098,Processing,0.00
SHP00000176,O00000207,2026-05-06,,DTDC,TRK27472699903,Processing,149.00
SHP00000177,O00000208,2024-04-27,,Delhivery,TRK27739824881,Processing,79.00
SHP00000178,O00000209,2024-11-01,,DHL,TRK57105540188,Processing,0.00
SHP00000179,O00000210,2025-12-03,,India Post,,Processing,0.00
SHP00000180,O00000211,2025-06-02,2025-06-03,Delhivery,TRK12549734858,Delivered,49.00
SHP00000181,O00000212,2025-04-10,,FedEx,TRK10560172891,Processing,149.00
SHP00000182,O00000213,2024-01-15,2024-01-22,BlueDart,TRK13142009203,Delivered,0.00
SHP00000183,O00000215,2025-05-06,2025-05-07,DHL,TRK56065213217,Delivered,99.00
SHP00000184,O00000216,2025-03-13,,DHL,TRK45301543633,In Transit,0.00
SHP00000185,O00000217,2026-06-24,2026-06-25,DHL,TRK70414912871,Delivered,0.00
SHP00000186,O00000218,2024-10-17,,FedEx,TRK93482115056,Processing,49.00
SHP00000187,O00000219,2026-02-02,2026-02-07,DTDC,TRK65209624113,Delivered,0.00
SHP00000188,O00000220,2026-01-01,2026-01-08,DHL,TRK49063189759,Delivered,99.00
SHP00000189,O00000222,2025-08-26,,DTDC,TRK79799336182,In Transit,149.00
SHP00000190,O00000223,2024-10-16,2024-10-18,DTDC,TRK53495118015,Delivered,99.00
SHP00000191,O00000224,2025-04-26,,DTDC,TRK19853380847,Processing,79.00
SHP00000192,O00000225,2025-03-17,,FedEx,TRK30579851746,In Transit,0.00
SHP00000193,O00000226,2025-04-13,,FedEx,TRK62701994671,LOST??,49.00
SHP00000194,O00000227,2024-06-10,,Delhivery,TRK24509208251,In Transit,149.00
SHP00000195,O00000229,2025-12-17,,FedEx,TRK69751531362,In Transit,149.00
SHP00000196,O00000230,2026-06-16,,FedEx,TRK43306548505,Processing,99.00
SHP00000197,O00000231,2025-09-11,,DTDC,TRK23742283826,Processing,79.00
SHP00000198,O00000232,2025-04-16,2025-04-21,BlueDart,TRK77194786602,Delivered,0.00
SHP00000199,O00000233,2024-01-11,2024-01-18,FedEx,TRK53600185195,Delivered,99.00
SHP00000200,O00000235,2025-10-25,2025-10-27,FedEx,TRK21231789525,Delivered,99.00
SHP00000201,O00000236,2026-06-18,2026-06-25,FedEx,TRK98687042184,Delivered,149.00
SHP00000202,O00000237,2024-06-15,2024-06-17,DHL,TRK33309647728,Delivered,149.00
SHP00000203,O00000238,2024-02-07,2024-02-12,DHL,TRK36035845158,Delivered,0.00
SHP00000204,O00000239,2024-02-24,2024-02-25,Delhivery,TRK23805744167,Delivered,0.00
SHP00000205,O00000240,2024-02-07,,DHL,TRK50074395016,Processing,99.00
SHP00000206,O00000241,2025-04-24,2025-05-01,FedEx,TRK25543576364,Delivered,49.00
SHP00000207,O00000242,2025-03-12,,India Post,TRK99958289704,Processing,49.00
SHP00000208,O00000243,2026-05-13,2026-05-20,Delhivery,TRK28374528038,Delivered,149.00
SHP00000209,O00000244,2024-07-08,2024-07-12,India Post,TRK27203715127,Delivered,79.00
SHP00000210,O00000245,2024-11-22,,Delhivery,TRK35933402811,In Transit,0.00
SHP00000211,O00000246,2025-02-04,2025-02-09,FedEx,TRK81377481765,Delivered,-25.00
SHP00000212,O00000247,2024-02-01,2024-02-07,FedEx,TRK32661736105,Delivered,99.00
SHP00000213,O00000248,2024-12-16,2024-12-20,BlueDart,TRK10450334504,Delivered,149.00
SHP00000214,O00000249,2025-08-24,,Delhivery,TRK27239608126,Processing,79.00
SHP00000215,O00000250,2024-05-17,,delhivery,TRK56697961534,Processing,0.00
SHP00000216,O00000251,2025-05-19,,DHL,TRK21601372576,Processing,0.00
SHP00000217,O00000252,2024-02-28,2024-03-03,India Post,TRK41118506265,Delivered,79.00
SHP00000218,O00000253,2024-08-07,,India Post,TRK31249934593,Processing,149.00
SHP00000219,O00000255,2024-09-01,2024-09-08,BlueDart,TRK22738353288,Delivered,99.00
SHP00000220,O00000256,2025-06-18,2025-06-25,DTDC,TRK80465566683,Delivered,149.00
SHP00000221,O00000257,2025-05-19,,India Post,TRK88489464762,In Transit,49.00
SHP00000222,O00000258,2025-04-25,,FedEx,TRK46462346814,Processing,99.00
SHP00000223,O00000259,invalid_date,2025-05-01,DHL,TRK16482903875,Delivered,0.00
SHP00000224,O00000260,2024-03-07,2024-03-10,India Post,TRK28692449543,Delivered,149.00
SHP00000225,O00000261,2025-12-10,2025-12-13,India Post,TRK54009423970,Delivered,99.00
SHP00000226,O00000263,2024-08-02,,FedEx,TRK67362645549,In Transit,149.00
SHP00000227,O00000265,2024-08-02,2024-08-08,BlueDart,TRK79390178676,Delivered,149.00
SHP00000228,O00000266,2025-11-23,,DTDC,TRK67740749428,Processing,49.00
SHP00000229,O00000268,2026-06-13,,DHL,TRK53266564507,Processing,149.00
SHP00000230,O00000270,2025-04-27,2025-05-01,FedEx,TRK46507091676,Delivered,0.00
SHP00000231,O00000271,2026-01-06,2026-01-13,Delhivery,TRK31090070846,Delivered,79.00
SHP00000232,O00000272,2024-12-05,2024-12-12,DHL,TRK65352235660,Delivered,0.00
SHP00000233,O00000273,2025-02-11,2025-02-15,DTDC,TRK16845324387,Delivered,99.00
SHP00000234,O00000274,2026-05-11,2026-05-18,DHL,TRK51627116363,Delivered,149.00
SHP00000235,O00000275,2026-06-20,,BlueDart,TRK23827805672,Processing,79.00
SHP00000236,O00000276,2026-01-19,,Delhivery,TRK19657901963,In Transit,49.00
SHP00000237,O00000277,2024-08-24,2024-08-30,Delhivery,TRK75372045943,Delivered,49.00
SHP00000238,O00000278,2024-07-24,2024-07-30,Delhivery,TRK10927482433,Delivered,149.00
SHP00000239,O99999999,2024-10-30,,DTDC,TRK90350703447,Processing,149.00
SHP00000240,O00000280,2025-08-12,2025-08-17,Delhivery,TRK77475442681,Delivered,149.00
SHP00000241,O00000281,2024-11-16,2024-11-22,BlueDart,TRK70355798920,Delivered,149.00
SHP00000242,O00000282,2024-11-06,2024-11-08,FedEx,TRK71032594683,Delivered,79.00
SHP00000243,O00000283,2026-05-09,2026-05-10,FedEx,TRK56287337209,Delivered,0.00
SHP00000244,O00000284,2024-05-18,2024-05-25,BlueDart,TRK88050971220,Delivered,0.00
SHP00000245,O00000286,2024-10-23,,India Post,TRK36339968918,Processing,79.00
SHP00000246,O00000287,2024-02-02,2024-02-03,India Post,TRK19530853937,Delivered,99.00
SHP00000247,O00000288,2024-08-23,2024-08-28,DTDC,TRK37368563511,Delivered,0.00
SHP00000248,O00000289,2024-01-06,,India Post,TRK12041127273,In Transit,99.00
SHP00000249,O00000290,2024-09-21,2024-09-27,Delhivery,TRK20508786321,Delivered,79.00
SHP00000250,O00000291,2026-04-17,,Delhivery,TRK60594590272,In Transit,79.00
SHP00000251,O00000292,2026-02-26,2026-03-05,DHL,TRK34977090861,Delivered,99.00
SHP00000252,O00000293,2025-06-05,2025-06-10,FedEx,TRK41622968919,Delivered,149.00
SHP00000253,O00000294,2024-01-24,2024-01-25,BlueDart,TRK85753055929,Delivered,79.00
SHP00000254,O00000295,2024-12-29,2024-12-30,FedEx,TRK64646568709,Delivered,99.00
SHP00000255,O00000296,2025-06-21,2025-06-23,FedEx,TRK51443885388,Delivered,149.00
SHP00000256,O00000297,2024-11-24,2024-11-28,India Post,TRK96830497795,Delivered,79.00
SHP00000257,O00000298,2026-06-20,2026-06-21,DTDC,TRK43097094786,Delivered,79.00
SHP00000258,O00000299,2025-11-30,,delhivery,TRK30551990034,Processing,49.00
SHP00000259,O00000300,2024-07-04,,Delhivery,TRK99768395414,In Transit,49.00
SHP00000260,O00000301,2025-11-10,2025-11-17,FedEx,TRK98911451100,Delivered,0.00
SHP00000261,O00000302,2026-03-23,2026-03-29,India Post,TRK63144989010,Delivered,149.00
SHP00000262,O00000304,2025-08-27,2025-08-29,FedEx,TRK42378967548,Delivered,0.00
SHP00000263,O00000305,2024-10-27,2024-10-30,BlueDart,TRK87452748368,Delivered,0.00
SHP00000264,O00000306,2025-05-23,,BlueDart,TRK93457569419,In Transit,0.00
SHP00000265,O00000307,2024-08-19,2024-08-22,Delhivery,TRK12703618334,Delivered,49.00
SHP00000266,O00000308,2026-01-31,2026-02-03,DHL,TRK76788693336,Delivered,99.00
SHP00000267,O00000309,2026-05-17,,DHL,TRK56488868030,Processing,49.00
SHP00000268,O00000311,2024-12-08,,India Post,TRK46351259222,Processing,99.00
SHP00000269,O00000312,2025-02-27,2025-03-05,FedEx,TRK38328401596,Delivered,79.00
SHP00000270,O00000313,2024-06-03,2024-06-08,DHL,TRK49301496531,Delivered,149.00
BADSHIP271,O00000314,2026-05-24,,BlueDart,TRK64123512655,In Transit,0.00
SHP00000272,O00000315,2024-10-31,,FedEx,TRK22229693750,In Transit,49.00
SHP00000273,O00000316,2024-02-19,2024-02-26,DHL,TRK13439460352,Delivered,99.00
SHP00000274,O00000317,2025-12-09,,FedEx,TRK10865927582,In Transit,79.00
SHP00000275,O00000319,2025-08-26,2025-08-31,DTDC,TRK58933030945,Delivered,0.00
SHP00000276,O00000320,2025-08-01,2025-08-06,FedEx,TRK42882714433,Delivered,149.00
SHP00000277,O00000321,2025-11-12,,FedEx,TRK41075242263,In Transit,99.00
SHP00000278,O00000322,2025-03-17,,India Post,TRK81291672169,In Transit,0.00
SHP00000279,O00000324,2025-09-07,,India Post,TRK57625942579,Processing,99.00
SHP00000280,O00000325,2026-06-10,,FedEx,TRK40574710244,Processing,0.00
SHP00000281,O00000326,2025-04-19,2025-04-24,BlueDart,TRK69967399083,Delivered,49.00
SHP00000282,O00000327,2025-02-07,2025-02-08,DTDC,TRK53514536933,Delivered,49.00
SHP00000283,O00000328,2025-04-10,,DTDC,TRK84774083787,In Transit,79.00
SHP00000284,O00000329,2025-09-20,2025-09-25,DHL,TRK83455111212,Delivered,49.00
SHP00000285,O00000331,2026-07-01,,India Post,TRK34346224529,Processing,99.00
SHP00000286,O00000332,2025-01-26,2025-01-27,DTDC,TRK21090776009,Delivered,149.00
SHP00000287,O00000334,2024-11-28,,India Post,TRK84928744206,Processing,49.00
SHP00000288,O00000335,2025-05-16,,India Post,TRK95801659864,Processing,99.00
SHP00000289,O00000336,2026-01-29,,India Post,TRK60054291787,Processing,49.00
SHP00000290,O00000337,2024-04-24,2024-05-01,DTDC,TRK27933655334,Delivered,79.00
SHP00000291,O00000338,2024-12-13,,India Post,TRK95609814516,In Transit,149.00
SHP00000292,O00000339,2024-01-02,2024-01-06,Delhivery,TRK11173029056,Delivered,149.00
SHP00000293,O00000340,2024-01-18,,India Post,TRK55841974327,Processing,0.00
SHP00000294,O00000341,2024-10-20,,DTDC,TRK67574101307,In Transit,79.00
SHP00000295,O00000342,2024-01-06,,FedEx,TRK20274061568,Processing,0.00
SHP00000296,O00000343,2025-11-03,2025-11-10,DTDC,TRK21461127150,Delivered,99.00
SHP00000297,O00000344,2024-10-20,,India Post,TRK65343512190,In Transit,49.00
SHP00000298,O00000345,2026-03-17,2026-03-20,Delhivery,TRK85186534601,Delivered,79.00
SHP00000299,O00000346,2025-04-13,2025-04-16,India Post,TRK22530370089,Delivered,49.00
SHP00000300,O00000347,2025-07-17,,Delhivery,TRK59599135197,In Transit,0.00
SHP00000301,O00000348,2026-06-01,2026-06-07,india post,TRK89609040330,Delivered,149.00
SHP00000302,O00000350,2024-08-23,2024-08-29,FedEx,TRK17272730624,Delivered,79.00
SHP00000303,O00000351,2025-12-27,2025-12-30,FedEx,TRK82077519974,Delivered,0.00
SHP00000304,O00000353,2024-02-12,2024-02-15,DHL,TRK42428370500,Delivered,79.00
SHP00000305,O00000354,2025-12-02,,DHL,TRK56337905535,Processing,149.00
SHP00000306,O00000355,2024-10-18,,FedEx,TRK80550780887,Processing,79.00
SHP00000307,O00000356,2024-07-12,,Delhivery,TRK33819968666,Processing,49.00
SHP00000308,O00000357,2024-03-31,2024-04-03,DHL,TRK39526965210,Delivered,99.00
